,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,55,2009-04-22 00:00:00,21.22,"[18.268300736155378, 19.50139141438023, 20.317330751478156, 22.262964213904247, 24.028001942896154, 24.982154415790593, 26.141456695001065]","[22.157924815961156, 23.362152146404942, 24.25816731213046, 26.384258946523936, 28.155499514275959, 29.191961396052353, 30.489510826249735]",26.141456695001065,1.5558496319223107,128.54712685370018,6.0,127.32,156.84874017000638,29.52874017,0.231925386192
1,57,2009-04-24 00:00:00,22.157924816,"[19.50139141438023, 20.317330751478156, 22.262964213904247, 24.028001942896154, 24.982154415790593, 26.141456695001065]","[23.362152146404942, 24.25816731213046, 26.384258946523936, 28.155499514275959, 29.191961396052353, 30.489510826249735]",26.141456695001065,1.5443042928098851,129.50815518106018,6.0,132.947548896,156.84874017000638,23.9011912742,0.179779104412
2,59,2009-04-28 00:00:00,23.3621521464,"[20.317330751478156, 22.262964213904247, 24.028001942896154, 24.982154415790593, 26.141456695001065]","[24.25816731213046, 26.384258946523936, 28.155499514275959, 29.191961396052353, 30.489510826249735]",26.141456695001065,1.5763346242609215,126.87661421747414,5.0,116.810760732,130.7072834750053,13.896522743,0.118966117983
3,60,2009-04-29 00:00:00,24.2581673121,"[22.262964213904247, 24.028001942896154, 24.982154415790593, 26.141456695001065]","[26.384258946523936, 28.155499514275959, 29.191961396052353, 30.489510826249735]",26.141456695001065,1.6485178930478752,121.3210974800088,5.0,121.290836561,130.7072834750053,9.41644691435,0.0776352705725
4,63,2009-05-04 00:00:00,26.3842589465,"[24.028001942896154, 24.982154415790593, 26.141456695001065]","[28.155499514275959, 29.191961396052353, 30.489510826249735]",26.141456695001065,1.6509990285519216,121.13877509390083,5.0,131.921294733,130.7072834750053,-1.21401125761,-0.00920254201625
5,66,2009-05-07 00:00:00,28.1554995143,"[24.982154415790593, 26.141456695001065]","[29.191961396052353, 30.489510826249735]",26.141456695001065,1.683922792104704,118.77029097635985,4.0,112.621998057,104.56582678000426,-8.0561712771,-0.0715328391973
6,67,2009-05-08 00:00:00,29.1919613961,[26.141456695001065],[30.489510826249735],26.141456695001065,1.7392216524994688,114.99396854482357,4.0,116.767845584,104.56582678000426,-12.2020188042,-0.104498106847
7,157,2009-09-16 00:00:00,27.57,"[26.149013479391989, 27.325622805422391]","[29.475246630152, 30.666594298644402]",27.32562280542239,1.3304932603040038,150.32019023854514,5.0,137.85,136.62811402711196,-1.22188597289,-0.00886388083343
8,158,2009-09-17 00:00:00,29.4752466302,[27.325622805422391],[30.666594298644402],27.32562280542239,1.3363885972888037,149.65706861443573,5.0,147.376233151,136.62811402711196,-10.7481191236,-0.0729297994247
9,226,2009-12-23 00:00:00,30.29,[nan],[nan],,,,,,,,
