,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,64,2009-05-05 00:00:00,45.4,"[41.219311296943758, 43.154345732096573]","[46.620172175764061, 48.648913566975857]",43.15434573209657,2.1603443515281198,92.57783364884861,2.0,90.8,86.30869146419315,-4.49130853581,-0.0494637503943
1,65,2009-05-06 00:00:00,46.6201721758,[43.154345732096573],[48.648913566975857],43.15434573209657,2.1978271339517135,90.99896753044365,2.0,93.2403443515,86.30869146419315,-6.93165288733,-0.0743417770016
2,81,2009-05-29 00:00:00,47.83,"[44.48500778753376, 47.733257398157072]","[49.716248053116566, 53.20418565046073]",47.73325739815707,2.0924961062331215,95.57962827469096,2.0,95.66,95.46651479631414,-0.193485203686,-0.00202263436845
3,82,2009-06-01 00:00:00,49.7162480531,[47.733257398157072],[53.20418565046073],47.73325739815707,2.188371300921465,91.392169105757,2.0,99.4324961062,95.46651479631414,-3.96598130992,-0.0398861686594
4,89,2009-06-10 00:00:00,52.11,[47.715337488277555],[53.446165627930604],47.715337488277555,2.2923312558612206,87.2474252962453,2.0,104.22,95.43067497655511,-8.78932502344,-0.0843343410425
5,124,2009-07-30 00:00:00,52.59,"[49.048009611288052, 51.911053674187471]","[53.800497597177987, 56.759736581453133]",51.91105367418747,1.9009951943559735,105.20805133742422,2.0,105.18,103.82210734837494,-1.35789265163,-0.012910179232
6,126,2009-08-03 00:00:00,53.8004975972,[51.911053674187471],[56.759736581453133],51.91105367418747,1.9394731629062658,103.1207875546489,2.0,107.600995194,103.82210734837494,-3.77888784598,-0.0351194506998
7,153,2009-09-10 00:00:00,55.79,"[52.781475258094865, 54.398401495190122, 55.700320731938632]","[57.154631185476283, 58.787899626202467, 60.012419817015342]",55.70032073193863,1.7492623709525674,114.3339062916498,2.0,111.58,111.40064146387726,-0.179358536123,-0.0016074434139
8,154,2009-09-11 00:00:00,57.1546311855,"[54.398401495190122, 55.700320731938632]","[58.787899626202467, 60.012419817015342]",55.70032073193863,1.7557992524049388,113.90823849939432,2.0,114.309262371,111.40064146387726,-2.90862090708,-0.0254451900637
9,157,2009-09-16 00:00:00,58.7878996262,[55.700320731938632],[60.012419817015342],55.70032073193863,1.724839634030685,115.95280862872495,2.0,117.575799252,111.40064146387726,-6.17515778853,-0.0525206532959
10,177,2009-10-14 00:00:00,59.15,"[55.983569520305458, 56.856391044290191, 58.077392917471897]","[60.079107619923633, 60.910902238927456, 62.130651770632028]",58.0773929174719,1.6382152398472698,122.08407975660508,2.0,118.3,116.1547858349438,-2.14521416506,-0.0181336784874
11,178,2009-10-15 00:00:00,60.0791076199,"[56.856391044290191, 58.077392917471897]","[60.910902238927456, 62.130651770632028]",58.0773929174719,1.6218044778549063,123.31942766894547,2.0,120.15821524,116.1547858349438,-4.0034294049,-0.0333179832682
12,180,2009-10-19 00:00:00,60.9109022389,[58.077392917471897],[62.130651770632028],58.0773929174719,1.6213035412640528,123.35752985777701,2.0,121.821804478,116.1547858349438,-5.66701864291,-0.0465189189013
13,200,2009-11-16 00:00:00,61.69,"[59.526137725397675, 60.437679331604706]","[64.293465568650589, 65.340580167098821]",60.437679331604706,1.9069311373011633,104.88055708349044,2.0,123.38,120.87535866320941,-2.50464133679,-0.0203002215658
