,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,51,2009-04-16 00:00:00,54.91,"[52.56326878987754, 53.480765350383663]","[55.993182802530619, 56.879808662404088]",53.48076535038366,1.3719656050612306,145.77624924574843,3.0,164.73,160.442296051151,-4.28770394885,-0.0260286769189
1,52,2009-04-17 00:00:00,55.9931828025,[53.480765350383663],[56.879808662404088],53.48076535038366,1.359617324808169,147.10021441380087,3.0,167.979548408,160.442296051151,-7.53725235644,-0.0448700596465
2,96,2009-06-19 00:00:00,57.26,[54.936000860100968],[58.053499784974754],54.93600086010097,1.2469995699495144,160.38497912881968,3.0,171.78,164.8080025803029,-6.9719974197,-0.040586782045
3,112,2009-07-14 00:00:00,57.43,"[55.324928788701314, 56.242040820212793, 57.157591840242048, 57.691032248229945, 58.530833527690596, 59.106291851306061]","[58.093767802824672, 58.889489794946805, 59.798102039939494, 60.339491937942519, 61.092291618077347, 61.673427037173482]",59.10629185130606,1.1075356056493424,180.58110184434298,3.0,172.29,177.3188755539182,5.02887555392,0.0291884355094
4,115,2009-07-17 00:00:00,58.0937678028,"[56.242040820212793, 57.157591840242048, 57.691032248229945, 58.530833527690596, 59.106291851306061]","[58.889489794946805, 59.798102039939494, 60.339491937942519, 61.092291618077347, 61.673427037173482]",59.10629185130606,1.058979589893605,188.861052572405,3.0,174.281303408,177.3188755539182,3.03757214544,0.0174291337397
5,117,2009-07-21 00:00:00,58.8894897949,"[57.157591840242048, 57.691032248229945, 58.530833527690596, 59.106291851306061]","[59.798102039939494, 60.339491937942519, 61.092291618077347, 61.673427037173482]",59.10629185130606,1.0562040798789787,189.35734467425678,3.0,176.668469385,177.3188755539182,0.650406169078,0.00368150678694
6,118,2009-07-22 00:00:00,59.7981020399,"[57.691032248229945, 58.530833527690596, 59.106291851306061]","[60.339491937942519, 61.092291618077347, 61.673427037173482]",59.10629185130606,1.05938387588503,188.7889787192731,3.0,179.39430612,177.3188755539182,-2.0754305659,-0.0115690994368
7,123,2009-07-29 00:00:00,60.3394919379,"[58.530833527690596, 59.106291851306061]","[61.092291618077347, 61.673427037173482]",59.10629185130606,1.0245832361547023,195.2013198562639,3.0,181.018475814,177.3188755539182,-3.69960025991,-0.0204376942369
8,124,2009-07-30 00:00:00,61.0922916181,[59.106291851306061],[61.673427037173482],59.10629185130606,1.0268540743469667,194.76964156488452,3.0,183.276874854,177.3188755539182,-5.95799930031,-0.0325081890721
9,306,2010-04-21 00:00:00,65.18,[nan],[nan],,,,,,,,
