,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,89,2009-06-10 00:00:00,71.29,[65.659986201041036],[72.960003449739744],65.65998620104104,2.920006899479481,68.49298884727015,1.0,71.29,65.65998620104104,-5.63001379896,-0.0789734015845
1,153,2009-09-10 00:00:00,71.5,"[68.984802234529553, 69.869831450038291, 70.676722883659565]","[72.428799441367602, 73.282542137490424, 74.043319279085111]",70.67672288365956,1.3775988827352206,145.18014097318394,2.0,143.0,141.35344576731913,-1.64655423268,-0.0115143652635
2,157,2009-09-16 00:00:00,72.4287994414,"[69.869831450038291, 70.676722883659565]","[73.282542137490424, 74.043319279085111]",70.67672288365956,1.3650842749808534,146.51110093756313,2.0,144.857598883,141.35344576731913,-3.50415311542,-0.0241903299685
3,159,2009-09-18 00:00:00,73.2825421375,[70.676722883659565],[74.043319279085111],70.67672288365956,1.3466385581702203,148.5179514477553,2.0,146.565084275,141.35344576731913,-5.21163850766,-0.0355585270083
4,175,2009-10-12 00:00:00,73.37,"[71.412838633348159, 73.035736866596721, 74.10695002326689, 75.318422395998368, 76.047255005393993, 77.632283381717556, 78.776996464400085]","[74.77179034166295, 76.416065783350817, 77.548262494183277, 78.732894401000408, 79.913186248651499, 80.591929154570607, 81.668250883899987]",78.77699646440009,1.3435806833259145,148.85596561638397,2.0,146.74,157.55399292880017,10.8139929288,0.0736949225078
5,177,2009-10-14 00:00:00,74.7717903417,"[73.035736866596721, 74.10695002326689, 75.318422395998368, 76.047255005393993, 77.632283381717556, 78.776996464400085]","[76.416065783350817, 77.548262494183277, 78.732894401000408, 79.913186248651499, 80.591929154570607, 81.668250883899987]",78.77699646440009,1.3521315667016376,147.91460012125592,2.0,149.543580683,157.55399292880017,8.01041224547,0.0535657378864
6,178,2009-10-15 00:00:00,76.4160657834,"[74.10695002326689, 75.318422395998368, 76.047255005393993, 77.632283381717556, 78.776996464400085]","[77.548262494183277, 78.732894401000408, 79.913186248651499, 80.591929154570607, 81.668250883899987]",78.77699646440009,1.376524988366556,145.29340309130794,2.0,152.832131567,157.55399292880017,4.7218613621,0.0308957371313
7,180,2009-10-19 00:00:00,77.5482624942,"[75.318422395998368, 76.047255005393993, 77.632283381717556, 78.776996464400085]","[78.732894401000408, 79.913186248651499, 80.591929154570607, 81.668250883899987]",78.77699646440009,1.3657888020008158,146.4355248095529,2.0,155.096524988,157.55399292880017,2.45746794043,0.0158447646755
8,197,2009-11-11 00:00:00,78.732894401,"[76.047255005393993, 77.632283381717556, 78.776996464400085]","[79.913186248651499, 80.591929154570607, 81.668250883899987]",78.77699646440009,1.546372497303005,129.33494377895087,2.0,157.465788802,157.55399292880017,0.0882041267994,0.000560147873836
9,234,2010-01-06 00:00:00,79.9131862487,"[77.632283381717556, 78.776996464400085]","[80.591929154570607, 81.668250883899987]",78.77699646440009,1.183858309141225,168.93913609060255,2.0,159.826372497,157.55399292880017,-2.2723795685,-0.0142178010612
10,237,2010-01-11 00:00:00,80.5919291546,[78.776996464400085],[81.668250883899987],78.77699646440009,1.156501767799958,172.93531715084617,2.0,161.183858309,157.55399292880017,-3.62986538034,-0.0225200303456
11,295,2010-04-06 00:00:00,77.75,"[75.881491071040045, 77.394463407032958, 78.542740236681297, 79.52725691042464, 80.057746893575313, 80.77377583073519]","[78.529627232239989, 80.176384148241766, 81.364314940829672, 82.318185772393846, 82.935563276606175, 83.7315560423162]",80.77377583073519,1.0592544644799804,188.8120434764332,2.0,155.5,161.54755166147038,6.04755166147,0.0388910074693
12,298,2010-04-09 00:00:00,78.5296272322,"[77.394463407032958, 78.542740236681297, 79.52725691042464, 80.057746893575313, 80.77377583073519]","[80.176384148241766, 81.364314940829672, 82.318185772393846, 82.935563276606175, 83.7315560423162]",80.77377583073519,1.112768296483524,179.7319357785651,2.0,157.059254464,161.54755166147038,4.48829719699,0.0285770947551
13,299,2010-04-12 00:00:00,80.1763841482,"[78.542740236681297, 79.52725691042464, 80.057746893575313, 80.77377583073519]","[81.364314940829672, 82.318185772393846, 82.935563276606175, 83.7315560423162]",80.77377583073519,1.1286298816593474,177.2060116873334,2.0,160.352768296,161.54755166147038,1.19478336499,0.00745096812284
14,302,2010-04-15 00:00:00,81.3643149408,"[79.52725691042464, 80.057746893575313, 80.77377583073519]","[82.318185772393846, 82.935563276606175, 83.7315560423162]",80.77377583073519,1.116371544787683,179.15182533431286,2.0,162.728629882,161.54755166147038,-1.18107822019,-0.00725796205036
15,305,2010-04-20 00:00:00,82.3181857724,"[80.057746893575313, 80.77377583073519]","[82.935563276606175, 83.7315560423162]",80.77377583073519,1.15112655321234,173.7428429931348,2.0,164.636371545,161.54755166147038,-3.08881988332,-0.0187614671918
16,309,2010-04-26 00:00:00,82.9355632766,[80.77377583073519],[83.7315560423162],80.77377583073519,1.1831120846324086,169.04569110384816,2.0,165.871126553,161.54755166147038,-4.32357489174,-0.026065868012
17,314,2010-05-03 00:00:00,83.14,[80.685373643971104],[84.091156589007213],80.6853736439711,1.3623131780144444,146.80912085978474,2.0,166.28,161.3707472879422,-4.90925271206,-0.0295240119801
18,377,2010-08-02 00:00:00,77.25,"[75.325187256796909, 76.133427893957077]","[79.081203185800774, 79.866643026510744]",76.13342789395708,1.5024063716015434,133.11977623391127,2.0,154.5,152.26685578791415,-2.23314421209,-0.0144540078452
19,378,2010-08-03 00:00:00,79.0812031858,[76.133427893957077],[79.866643026510744],76.13342789395708,1.4932860530214667,133.9328118650318,2.0,158.162406372,152.26685578791415,-5.89555058369,-0.0372752964433
20,406,2010-09-13 00:00:00,79.48,"[76.872620126707403, 77.67231759889502, 78.651451513845743, 79.588984991245766, 80.794217256869345, 81.620506394025881, 82.222381567271768, 83.100299364462785]","[80.169344968323159, 80.869420600276243, 81.837137121538575, 82.840253752188559, 84.176445685782667, 84.96987340149353, 85.694404608182055, 86.462425158884315]",83.10029936446278,1.3186899366462979,151.66567548747776,2.0,158.96,166.20059872892557,7.24059872893,0.0455498158589
