,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,50,2013-02-14 00:00:00,28.43,[27.224847415229366],[29.206288146192659],27.224847415229366,0.7925762923853166,252.3416381760364,9.0,255.87,245.0236267370643,-10.8463732629,-0.0423901718175
1,52,2013-02-19 00:00:00,28.81,[27.202249792244505],[29.374437551938875],27.202249792244505,0.868875103877748,230.18268000476658,8.0,230.48,217.61799833795604,-12.862001662,-0.0558052831571
2,62,2013-03-05 00:00:00,28.94,"[27.281029134411675, 27.713921673910402, 28.387371619639961, 28.964503038657963]","[29.41724271639708, 29.946519581522399, 30.715657095090009, 31.333874240335508]",28.964503038657963,0.8544854327941611,234.05899307844425,8.0,231.52,231.7160243092637,0.196024309264,0.00084668412778
3,66,2013-03-11 00:00:00,29.4172427164,"[27.713921673910402, 28.387371619639961, 28.964503038657963]","[29.946519581522399, 30.715657095090009, 31.333874240335508]",28.964503038657963,0.8930391630447991,223.95434408285524,8.0,235.337941731,231.7160243092637,-3.62191742191,-0.0153902825667
4,71,2013-03-18 00:00:00,29.9465195815,"[28.387371619639961, 28.964503038657963]","[30.715657095090009, 31.333874240335508]",28.964503038657963,0.93131419018002,214.7502981365941,7.0,209.625637071,202.75152127060574,-6.87411580005,-0.0327923430364
5,72,2013-03-19 00:00:00,30.7156570951,[28.964503038657963],[31.333874240335508],28.964503038657963,0.9477484806710189,211.02645277615983,7.0,215.009599666,202.75152127060574,-12.258078395,-0.0570117725631
6,102,2013-05-01 00:00:00,31.19,"[30.216105401416307, 31.153300131345492, 32.114135124778223, 32.582629102606724, 33.140092647476393, 34.143633614347443]","[32.09597364964592, 33.124174967163626, 34.196466218805448, 34.691717724348315, 35.314976838130903, 36.414091596413144]",34.14363361434744,0.751947299291845,265.9760866065378,9.0,280.71,307.292702529127,26.5827025291,0.0946980960034
7,103,2013-05-02 00:00:00,32.0959736496,"[31.153300131345492, 32.114135124778223, 32.582629102606724, 33.140092647476393, 34.143633614347443]","[33.124174967163626, 34.196466218805448, 34.691717724348315, 35.314976838130903, 36.414091596413144]",34.14363361434744,0.7883499343272525,253.6944461987839,8.0,256.767789197,273.14906891477955,16.3812797176,0.0637980323343
8,104,2013-05-03 00:00:00,33.1241749672,"[32.114135124778223, 32.582629102606724, 33.140092647476393, 34.143633614347443]","[34.196466218805448, 34.691717724348315, 35.314976838130903, 36.414091596413144]",34.14363361434744,0.83293243761089,240.11551353872395,7.0,231.86922477,239.0054353004321,7.13621053029,0.0307768766526
9,107,2013-05-08 00:00:00,34.1964662188,"[32.582629102606724, 33.140092647476393, 34.143633614347443]","[34.691717724348315, 35.314976838130903, 36.414091596413144]",34.14363361434744,0.8436354486966369,237.06922262333487,7.0,239.375263532,239.0054353004321,-0.369828231206,-0.00154497263314
10,108,2013-05-09 00:00:00,34.6917177243,"[33.140092647476393, 34.143633614347443]","[35.314976838130903, 36.414091596413144]",34.14363361434744,0.8699536762618052,229.8972985083538,7.0,242.84202407,239.0054353004321,-3.83658877001,-0.0157987019944
11,110,2013-05-13 00:00:00,35.3149768381,[34.143633614347443],[36.414091596413144],34.14363361434744,0.9081831928262794,220.21988689043792,6.0,211.889861029,204.86180168608468,-7.0280593427,-0.0331684551048
12,251,2013-12-02 00:00:00,31.64,"[30.946034233223145, 31.23119308820969, 32.152138433799209]","[32.450866441694217, 32.804576727947577, 33.824340391550194]",32.15213843379921,0.601932883388428,332.26295741503753,11.0,348.04,353.6735227717913,5.63352277179,0.0161864233186
13,254,2013-12-05 00:00:00,32.4508664417,"[31.23119308820969, 32.152138433799209]","[32.804576727947577, 33.824340391550194]",32.15213843379921,0.6293534558951539,317.7864491353785,10.0,324.508664417,321.5213843379921,-2.98728007895,-0.0092055479761
14,255,2013-12-06 00:00:00,32.8045767279,[32.152138433799209],[33.824340391550194],32.15213843379921,0.6688807831003961,299.0069457115512,9.0,295.241190552,289.3692459041929,-5.87194464734,-0.0198886362583
15,272,2014-01-02 00:00:00,33.4899,"[32.453911870818168, 33.159555463413398]","[34.63652203229546, 35.446361134146656]",33.1595554634134,0.8730440645909173,229.08351148772095,7.0,234.4293,232.11688824389378,-2.31241175611,-0.00986400486674
