,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,67,2009-05-08 00:00:00,15.4,"[14.572716142019775, 14.917758133642623, 15.455410379831845]","[15.706820964495057, 16.045560466589343, 16.598647405042041]",15.455410379831845,0.45364192899011246,440.8763547171125,29.0,446.6,448.2069010151235,1.60690101512,0.00359807661246
1,75,2009-05-20 00:00:00,15.7068209645,"[14.917758133642623, 15.455410379831845]","[16.045560466589343, 16.598647405042041]",15.455410379831845,0.4511209331786884,443.3401008256477,28.0,439.790987006,432.75149063529165,-7.03949637057,-0.0160064589284
2,78,2009-05-26 00:00:00,16.0455604666,[15.455410379831845],[16.598647405042041],15.455410379831845,0.45729481008407813,437.3546246090745,27.0,433.230132598,417.2960802554598,-15.9340523425,-0.0367796492984
3,83,2009-06-02 00:00:00,16.41,"[15.513018542528515, 15.898945296705124, 16.332468223762554, 16.655688143328131, 16.883903736161724, 17.634085377251971, 17.946087052969904, 18.23687149938732]","[16.65924536436787, 16.850263675823719, 17.27938294405936, 17.636077964167971, 17.86652406595957, 18.653978655687006, 18.975978236757523, 19.19078212515317]",18.23687149938732,0.45849072873574226,436.213836976566,27.0,443.07,492.3955304834576,49.3255304835,0.111326721474
4,101,2009-06-26 00:00:00,16.6592453644,"[15.898945296705124, 16.332468223762554, 16.655688143328131, 16.883903736161724, 17.634085377251971, 17.946087052969904, 18.23687149938732]","[16.850263675823719, 17.27938294405936, 17.636077964167971, 17.86652406595957, 18.653978655687006, 18.975978236757523, 19.19078212515317]",18.23687149938732,0.38052735164743845,525.5863977559793,32.0,533.09585166,583.5798879803942,50.4840363206,0.0946997358232
5,104,2009-07-01 00:00:00,16.8502636758,"[16.332468223762554, 16.655688143328131, 16.883903736161724, 17.634085377251971, 17.946087052969904, 18.23687149938732]","[17.27938294405936, 17.636077964167971, 17.86652406595957, 18.653978655687006, 18.975978236757523, 19.19078212515317]",18.23687149938732,0.3787658881187226,528.0306550132383,31.0,522.358173951,565.3430164810069,42.9848425305,0.0822899777855
6,113,2009-07-15 00:00:00,17.2793829441,"[16.655688143328131, 16.883903736161724, 17.634085377251971, 17.946087052969904, 18.23687149938732]","[17.636077964167971, 17.86652406595957, 18.653978655687006, 18.975978236757523, 19.19078212515317]",18.23687149938732,0.39215592833593516,510.00121520201185,30.0,518.381488322,547.1061449816195,28.7246566598,0.0554121960505
7,114,2009-07-16 00:00:00,17.6360779642,"[16.883903736161724, 17.634085377251971, 17.946087052969904, 18.23687149938732]","[17.86652406595957, 18.653978655687006, 18.975978236757523, 19.19078212515317]",18.23687149938732,0.3930481319191384,508.8435327842899,29.0,511.446260961,528.8692734822323,17.4230125214,0.0340661646223
8,119,2009-07-23 00:00:00,17.866524066,"[17.634085377251971, 17.946087052969904, 18.23687149938732]","[18.653978655687006, 18.975978236757523, 19.19078212515317]",18.23687149938732,0.40795731137401453,490.2473725164846,27.0,482.396149781,492.3955304834576,9.99938070255,0.0207285665673
9,121,2009-07-27 00:00:00,18.6539786557,"[17.946087052969904, 18.23687149938732]","[18.975978236757523, 19.19078212515317]",18.23687149938732,0.41195647351504816,485.48818348085575,26.0,485.003445048,474.1586589840703,-10.8447860638,-0.0223602248077
10,133,2009-08-12 00:00:00,18.9759782368,[18.23687149938732],[19.19078212515317],18.23687149938732,0.38156425030633984,524.1581197384962,28.0,531.327390629,510.63240198284495,-20.6949886464,-0.0389495987057
11,207,2009-11-25 00:00:00,18.68,[nan],[nan],,,,,,,,
