,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,110,2013-05-08 00:00:00,24.9,[24.470389924331336],[25.057402518917169],24.470389924331336,0.23480503783433324,851.77048092601,34.0,846.6,831.9932574272655,-14.6067425727,-0.0172534166935
1,341,2014-04-08 00:00:00,18.75,"[18.402933041566683, 18.555286389488348]","[18.961766739608329, 19.111178402627914]",18.555286389488348,0.22353347921665834,894.7205613265265,48.0,900.0,890.6537466954408,-9.34625330456,-0.010384725894
2,342,2014-04-09 00:00:00,18.9617667396,[18.555286389488348],[19.111178402627914],18.555286389488348,0.2223568052558254,899.4552686161168,47.0,891.203036762,872.0984603059524,-19.1045764556,-0.021436839494
3,353,2014-04-25 00:00:00,19.05,"[18.735499882285961, 19.080816014961552, 19.177775214213476, 19.486357024286278]","[19.29112502942851, 19.62979599625961, 19.75555619644663, 20.065910743928431]",19.486357024286278,0.22225005885701926,899.887275749459,47.0,895.35,915.8587801414551,20.5087801415,0.02290588054
4,359,2014-05-05 00:00:00,19.2911250294,"[19.080816014961552, 19.177775214213476, 19.486357024286278]","[19.62979599625961, 19.75555619644663, 20.065910743928431]",19.486357024286278,0.21959199251922348,910.780023012413,47.0,906.682876383,915.8587801414551,9.17590375832,0.010120301152
5,360,2014-05-06 00:00:00,19.6297959963,"[19.177775214213476, 19.486357024286278]","[19.75555619644663, 20.065910743928431]",19.486357024286278,0.23111239289326227,865.3798158386455,44.0,863.711023835,857.3997090685962,-6.31131476683,-0.00730720645292
6,363,2014-05-09 00:00:00,19.7555561964,[19.486357024286278],[20.065910743928431],19.486357024286278,0.23182148785686074,862.7327943106419,44.0,869.244472644,857.3997090685962,-11.8447635751,-0.0136265043355
7,376,2014-05-29 00:00:00,19.95,[19.533880107346558],[20.11652997316336],19.533880107346558,0.23305994632672072,858.1483139948259,43.0,857.85,839.956844615902,-17.8931553841,-0.0208581399826
8,384,2014-06-10 00:00:00,20.0,"[19.616376020918441, 19.77155721987252]","[20.170905994770386, 20.357110695031867]",19.77155721987252,0.22181198954077846,901.6645151331259,45.0,900.0,889.7200748942633,-10.2799251057,-0.0114221390064
9,385,2014-06-11 00:00:00,20.1709059948,[19.77155721987252],[20.357110695031867],19.77155721987252,0.2342213900637395,853.8929768351785,42.0,847.17805178,830.4054032346459,-16.7726485457,-0.019798256707
10,395,2014-06-25 00:00:00,20.25,"[19.854733284532951, 19.994816620306302, 20.184145789290991]","[20.486316678866761, 20.638545844923421, 20.866463552677253]",20.18414578929099,0.25263335773352363,791.661092558327,39.0,789.75,787.1816857823486,-2.56831421765,-0.0032520597881
11,396,2014-06-26 00:00:00,20.4863166789,"[19.994816620306302, 20.184145789290991]","[20.638545844923421, 20.866463552677253]",20.18414578929099,0.2574916898468474,776.7240959075507,38.0,778.480033797,766.9975399930577,-11.4824938039,-0.014749888636
12,397,2014-06-27 00:00:00,20.6385458449,[20.184145789290991],[20.866463552677253],20.18414578929099,0.27292710535450515,732.7963990246403,36.0,742.987650417,726.6292484144757,-16.3584020028,-0.0220170577446
13,609,2015-05-01 00:00:00,15.26,[14.949502002555692],[15.400124499361079],14.949502002555692,0.18024899872215472,1109.5762052375699,73.0,1113.98,1091.3136461865654,-22.6663538134,-0.0203471820081
14,732,2015-10-26 00:00:00,12.6,"[12.278543716723446, 12.466133008886002]","[12.842864070819139, 13.008466747778501]",12.466133008886002,0.22572814163827754,886.0215591571825,70.0,882.0,872.6293106220202,-9.37068937798,-0.0106243643741
15,737,2015-11-02 00:00:00,12.8428640708,[12.466133008886002],[13.008466747778501],12.466133008886002,0.21693349555699926,921.9415355221159,72.0,924.686213099,897.5615766397922,-27.1246364592,-0.0293338822132
