,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,69,2012-11-14 00:00:00,20.0,[19.140336674510117],[20.839915831372473],19.140336674510117,0.6798316627449419,294.1904753192345,15.0,300.0,287.10505011765173,-12.8949498823,-0.0429831662745
1,149,2013-03-13 00:00:00,20.18,"[22.083715382440278, 23.580124613318265]","[23.816446154389929, 25.454968846670432]",23.580124613318265,0.6930923087798598,288.5618516703582,14.0,282.52,330.1217445864557,47.6017445865,0.168489822266
2,150,2013-03-14 00:00:00,23.8164461544,[23.580124613318265],[25.454968846670432],23.580124613318265,0.7499376933408668,266.68882198603484,11.0,261.980907698,259.3813707465009,-2.59953695179,-0.00992261983756
3,188,2013-05-08 00:00:00,25.08,[23.986804482246725],[25.478298879438317],23.986804482246725,0.5965977588766365,335.2342462308104,13.0,326.04,311.82845826920743,-14.2115417308,-0.0435883380284
4,203,2013-05-30 00:00:00,25.18,"[24.281739670684921, 24.681495052793139, 25.187538792344093, 25.646161852726888, 26.189881768481715, 26.65311829605475, 27.399748962962661, 27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[26.067065082328771, 26.492126236801713, 26.953115301913979, 27.425959536818279, 28.05252955787957, 28.449220425986312, 29.112562759259333, 29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7141301646575402,280.0609887357295,11.0,276.98,369.19249129350663,92.2124912935,0.332921118108
5,205,2013-06-03 00:00:00,26.0670650823,"[24.681495052793139, 25.187538792344093, 25.646161852726888, 26.189881768481715, 26.65311829605475, 27.399748962962661, 27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[26.492126236801713, 26.953115301913979, 27.425959536818279, 28.05252955787957, 28.449220425986312, 29.112562759259333, 29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7242524736034299,276.1467958886276,11.0,286.737715906,369.19249129350663,82.4547753879,0.287561666338
6,209,2013-06-07 00:00:00,26.4921262368,"[25.187538792344093, 25.646161852726888, 26.189881768481715, 26.65311829605475, 27.399748962962661, 27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[26.953115301913979, 27.425959536818279, 28.05252955787957, 28.449220425986312, 29.112562759259333, 29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7062306038279537,283.1936182260411,11.0,291.413388605,369.19249129350663,77.7791026887,0.266902982945
7,210,2013-06-10 00:00:00,26.9531153019,"[25.646161852726888, 26.189881768481715, 26.65311829605475, 27.399748962962661, 27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[27.425959536818279, 28.05252955787957, 28.449220425986312, 29.112562759259333, 29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.711919073636556,280.93080717500567,10.0,269.531153019,335.6295375395515,66.0983845204,0.245234674285
8,213,2013-06-13 00:00:00,27.4259595368,"[26.189881768481715, 26.65311829605475, 27.399748962962661, 27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[28.05252955787957, 28.449220425986312, 29.112562759259333, 29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7450591157591422,268.4350755123902,10.0,274.259595368,335.6295375395515,61.3699421714,0.223765888989
9,215,2013-06-17 00:00:00,28.0525295579,"[26.65311829605475, 27.399748962962661, 27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[28.449220425986312, 29.112562759259333, 29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7184408519726259,278.38060635173963,10.0,280.525295579,335.6295375395515,55.1042419608,0.196432346135
10,223,2013-06-27 00:00:00,28.449220426,"[27.399748962962661, 27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[29.112562759259333, 29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.6851255185186692,291.9173123669749,10.0,284.49220426,335.6295375395515,51.1373332797,0.179749506362
11,228,2013-07-05 00:00:00,29.1125627593,"[27.930835692950904, 28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[29.592291076762276, 30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.6645821535245493,300.94097312020597,10.0,291.125627593,335.6295375395515,44.503909947,0.152868403634
12,230,2013-07-09 00:00:00,29.5922910768,"[28.516529212888187, 28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[30.234617696777953, 30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.6872353935559057,291.0210997212417,10.0,295.922910768,335.6295375395515,39.7066267719,0.134178954475
13,236,2013-07-17 00:00:00,30.2346176968,"[28.839467085180647, 29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[30.64013322870484, 31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7202664574096764,277.67501588130057,9.0,272.111559271,302.0665837855963,29.9550245146,0.110083616421
14,237,2013-07-18 00:00:00,30.6401332287,"[29.385223730921613, 30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[31.215819067269596, 31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7322381345391925,273.1351872650866,9.0,275.761199058,302.0665837855963,26.3053847273,0.0953919000102
15,238,2013-07-19 00:00:00,31.2158190673,"[30.079147544375534, 30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[31.912713113906115, 32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7334262278122329,272.69272956952767,9.0,280.942371605,302.0665837855963,21.1242121802,0.075190552637
16,239,2013-07-22 00:00:00,31.9127131139,"[30.582490167156756, 31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[32.40437745821081, 33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7287549164216213,274.44068711337513,9.0,287.214418025,302.0665837855963,14.8521657604,0.0517110730811
17,246,2013-07-31 00:00:00,32.4043774582,"[31.442140258294387, 32.219533245379665, 32.672056583110681, 33.562953753955149]","[33.32696493542641, 34.157616688655089, 34.619485854222326, 35.546761561511211]",33.56295375395515,0.7539298708528083,265.2766626341119,8.0,259.235019666,268.5036300316412,9.26861036595,0.0357536970812
