,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,61,2009-04-30 00:00:00,8.99,"[8.3998411067754013, 8.7405565988647993, 9.0080273304754819, 9.2694111657541214, 9.5160721434833224, 9.7113865963180626, 10.120699091367289, 10.274664136798926, 10.480206414287979]","[9.2250397233061499, 9.5523608502838009, 9.7979931673811294, 10.05764720856147, 10.245981964129168, 10.434653350920483, 10.844825227158177, 10.993833965800269, 11.204948396428005]",10.480206414287979,0.33007944661229954,605.9147337183748,67.0,602.33,702.1738297572946,99.8438297573,0.165762671222
1,63,2009-05-04 00:00:00,9.22503972331,"[8.7405565988647993, 9.0080273304754819, 9.2694111657541214, 9.5160721434833224, 9.7113865963180626, 10.120699091367289, 10.274664136798926, 10.480206414287979]","[9.5523608502838009, 9.7979931673811294, 10.05764720856147, 10.245981964129168, 10.434653350920483, 10.844825227158177, 10.993833965800269, 11.204948396428005]",10.480206414287979,0.32472170056760036,615.9120245133236,67.0,618.077661462,702.1738297572946,84.0961682958,0.136060844032
2,65,2009-05-06 00:00:00,9.55236085028,"[9.0080273304754819, 9.2694111657541214, 9.5160721434833224, 9.7113865963180626, 10.120699091367289, 10.274664136798926, 10.480206414287979]","[9.7979931673811294, 10.05764720856147, 10.245981964129168, 10.434653350920483, 10.844825227158177, 10.993833965800269, 11.204948396428005]",10.480206414287979,0.31598633476225935,632.9387634768296,66.0,630.455816119,691.6936233430066,61.2378072243,0.0971325914658
3,67,2009-05-08 00:00:00,9.79799316738,"[9.2694111657541214, 9.5160721434833224, 9.7113865963180626, 10.120699091367289, 10.274664136798926, 10.480206414287979]","[10.05764720856147, 10.245981964129168, 10.434653350920483, 10.844825227158177, 10.993833965800269, 11.204948396428005]",10.480206414287979,0.31529441712293915,634.3277557052851,65.0,636.86955588,681.2134169287186,44.3438610489,0.0696278549344
4,74,2009-05-19 00:00:00,10.0576472086,"[9.5160721434833224, 9.7113865963180626, 10.120699091367289, 10.274664136798926, 10.480206414287979]","[10.245981964129168, 10.434653350920483, 10.844825227158177, 10.993833965800269, 11.204948396428005]",10.480206414287979,0.2919639282583382,685.0161291946797,68.0,683.920010182,712.6540361715826,28.7340259894,0.0420137231864
5,78,2009-05-26 00:00:00,10.2459819641,"[9.7113865963180626, 10.120699091367289, 10.274664136798926, 10.480206414287979]","[10.434653350920483, 10.844825227158177, 10.993833965800269, 11.204948396428005]",10.480206414287979,0.28930670184096796,691.3078706000392,67.0,686.480791597,702.1738297572946,15.6930381606,0.022860127119
6,82,2009-06-01 00:00:00,10.4346533509,"[10.120699091367289, 10.274664136798926, 10.480206414287979]","[10.844825227158177, 10.993833965800269, 11.204948396428005]",10.480206414287979,0.28965045431635483,690.4874375980124,66.0,688.687121161,691.6936233430066,3.00650218225,0.00436555598308
7,83,2009-06-02 00:00:00,10.8448252272,"[10.274664136798926, 10.480206414287979]","[10.993833965800269, 11.204948396428005]",10.480206414287979,0.2876679316005371,695.2460737880405,64.0,694.068814538,670.7332105144307,-23.3356040237,-0.0336214558771
8,86,2009-06-05 00:00:00,10.9938339658,[10.480206414287979],[11.204948396428005],10.480206414287979,0.28989679285601044,689.9006988992062,63.0,692.611539845,660.2530041001427,-32.3585357453,-0.0467196023799
9,115,2009-07-17 00:00:00,11.15,"[10.634566524788271, nan]","[11.341358368802931, nan]",,0.28271673760586424,707.421858690306,63.0,702.45,,,
10,118,2009-07-22 00:00:00,11.3413583688,[nan],[nan],,,,,,,,
