,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,50,2009-04-15 00:00:00,14.53,[13.398486858830561],[15.15037828529236],13.39848685883056,0.7007565705847202,285.40581479402675,20.0,290.6,267.9697371766112,-22.6302628234,-0.0778742698671
1,61,2009-04-30 00:00:00,14.8,"[13.742184641052933, 15.449471638550273]","[15.564453839736766, 17.38763209036243]",15.449471638550273,0.7289076794735332,274.3831703686448,19.0,281.2,293.5399611324552,12.3399611325,0.043883218821
2,63,2009-05-04 00:00:00,15.5644538397,[15.449471638550273],[17.38763209036243],15.449471638550273,0.7752641807248637,257.9765774977533,17.0,264.595715276,262.6410178553546,-1.95469742017,-0.00738748705033
3,73,2009-05-18 00:00:00,17.0,"[17.912670595916858, 19.64522527522152, 21.395964011460446]","[20.184332351020785, 21.838693681194616, 23.713508997134888]",21.395964011460446,0.9086647020415721,220.10319048450265,13.0,221.0,278.1475321489858,57.147532149,0.258586118321
4,81,2009-05-29 00:00:00,20.184332351,"[19.64522527522152, 21.395964011460446]","[21.838693681194616, 23.713508997134888]",21.395964011460446,0.877387362389239,227.94948796090952,11.0,222.027655861,235.35560412606492,13.3279482648,0.0600283249091
5,82,2009-06-01 00:00:00,21.8386936812,[21.395964011460446],[23.713508997134888],21.395964011460446,0.9270179942697772,215.74554241262848,10.0,218.386936812,213.95964011460447,-4.42729669734,-0.0202727175992
6,86,2009-06-05 00:00:00,23.25,"[21.731464349609602, 22.336686996746533]","[24.167133912597599, 24.865828250813365]",22.336686996746533,0.9742678251951977,205.28236161337807,9.0,209.25,201.03018297071878,-8.21981702928,-0.0392822797098
7,89,2009-06-10 00:00:00,24.1671339126,[22.336686996746533],[24.865828250813365],22.336686996746533,1.0116565016267327,197.69556136732396,8.0,193.337071301,178.69349597397226,-14.6435753268,-0.0757411665972
8,157,2009-09-16 00:00:00,21.2,"[20.23057669578629, 21.036973436478135, 21.540468526421513, 21.969945100100439]","[21.854855826053427, 22.415756640880467, 22.902382868394621, 23.35751372497489]",21.96994510010044,0.6497116521068553,307.82886431457575,15.0,318.0,329.54917650150657,11.5491765015,0.0363181650991
9,175,2009-10-12 00:00:00,21.8548558261,"[21.036973436478135, 21.540468526421513, 21.969945100100439]","[22.415756640880467, 22.902382868394621, 23.35751372497489]",21.96994510010044,0.5515132817609334,362.63859205968276,17.0,371.532549043,373.4890667017075,1.9565176588,0.00526607335976
10,177,2009-10-14 00:00:00,22.4157566409,"[21.540468526421513, 21.969945100100439]","[22.902382868394621, 23.35751372497489]",21.96994510010044,0.5447657367892424,367.1302846224624,16.0,358.652106254,351.519121601607,-7.13298465248,-0.0198883110627
11,178,2009-10-15 00:00:00,22.9023828684,[21.969945100100439],[23.35751372497489],21.96994510010044,0.5550274499497803,360.3425380458143,16.0,366.438125894,351.519121601607,-14.9190042927,-0.0407135700094
12,197,2009-11-11 00:00:00,23.08,[21.935143571017459],[23.566214107245635],21.93514357101746,0.6524282144912699,306.5471350835889,13.0,300.04,285.156866423227,-14.8831335768,-0.0496038314117
13,234,2010-01-06 00:00:00,23.44,"[22.682436795345978, 23.058357395997941]","[23.829390801163505, 24.172910651000514]",23.05835739599794,0.4587816023270113,435.93727164639785,19.0,445.36,438.10879052396086,-7.25120947604,-0.0162816810581
