,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,65,2009-05-06 00:00:00,4.6,"[4.212687471898322, 4.4944331630041425, 4.744493088974143]","[4.8843281320254199, 5.1888917092489644, 5.4888767277564643]",4.744493088974143,0.26865626405083914,744.4456979501249,162.0,745.2,768.6078804138111,23.4078804138,0.0314115410813
1,73,2009-05-18 00:00:00,4.88432813203,"[4.4944331630041425, 4.744493088974143]","[5.1888917092489644, 5.4888767277564643]",4.744493088974143,0.27778341849792854,719.9853795502607,147.0,717.996235408,697.440484079199,-20.5557513285,-0.0286293302316
2,77,2009-05-22 00:00:00,5.18889170925,[4.744493088974143],[5.4888767277564643],4.744493088974143,0.2977534555129284,671.6966547221683,129.0,669.367030493,612.0396084776645,-57.3274220155,-0.0856442271637
3,104,2009-07-01 00:00:00,5.34,[4.9483649068198732],[5.5741587732950313],4.948364906819873,0.2503175465900632,798.9851399731614,150.0,801.0,742.254736022981,-58.745263977,-0.0733399050899
4,122,2009-07-28 00:00:00,5.46,"[5.2692715346639964, 5.5453228711593709, 5.872056727601402, 6.074046196660265, 6.3303438868272526, 6.4694103578615954]","[5.8701821163340009, 6.1136692822101573, 6.4694858180996491, 6.6814884508349328, 6.9799140282931864, 7.1326474105346014]",6.469410357861595,0.24036423266800178,832.0705530104636,152.0,829.92,983.3503743949625,153.430374395,0.184873691916
5,127,2009-08-04 00:00:00,5.87018211633,"[5.5453228711593709, 5.872056727601402, 6.074046196660265, 6.3303438868272526, 6.4694103578615954]","[6.1136692822101573, 6.4694858180996491, 6.6814884508349328, 6.9799140282931864, 7.1326474105346014]",6.469410357861595,0.22733856442031453,879.745152389677,150.0,880.52731745,970.4115536792393,89.8842362291,0.102080008704
6,128,2009-08-05 00:00:00,6.11366928221,"[5.872056727601402, 6.074046196660265, 6.3303438868272526, 6.4694103578615954]","[6.4694858180996491, 6.6814884508349328, 6.9799140282931864, 7.1326474105346014]",6.469410357861595,0.2389716361992988,836.9194067583944,137.0,837.572691663,886.3092190270386,48.7365273642,0.0581878180239
7,130,2009-08-07 00:00:00,6.4694858181,"[6.074046196660265, 6.3303438868272526, 6.4694103578615954]","[6.6814884508349328, 6.9799140282931864, 7.1326474105346014]",6.469410357861595,0.24297690166986713,823.1235093767889,127.0,821.624698899,821.6151154484226,-0.00958345023287,-1.16640240315e-05
8,131,2009-08-10 00:00:00,6.68148845083,"[6.3303438868272526, 6.4694103578615954]","[6.9799140282931864, 7.1326474105346014]",6.469410357861595,0.25982805658637376,769.7398141971427,115.0,768.371171846,743.9821911540835,-24.3889806919,-0.0317411448862
9,133,2009-08-12 00:00:00,6.97991402829,[6.4694103578615954],[7.1326474105346014],6.469410357861595,0.2652948210692023,753.8782671819661,108.0,753.830715056,698.6963186490523,-55.1343964066,-0.073138962509
10,141,2009-08-24 00:00:00,7.0,[6.4956513755179994],[7.2135871561205009],6.495651375517999,0.2871743122410005,696.4411212105815,99.0,693.0,643.069486176282,-49.9305138237,-0.0720498034974
11,156,2009-09-15 00:00:00,7.1306,[6.4738061238899443],[7.3815484690275142],6.473806123889944,0.3630969380550281,550.8170932845751,77.0,549.0562,498.4830715395257,-50.5731284605,-0.0921092020461
12,165,2009-09-28 00:00:00,7.38,"[6.6960675268420662, 7.1678641504999616, 7.5481709429749646, 7.8938423958262156]","[7.6759831182894835, 8.2505339623750089, 8.6379572642562596, 9.0140394010434459]",7.893842395826216,0.3919662365789671,510.24802989557287,69.0,509.22,544.6751253120088,35.455125312,0.0696263408979
13,166,2009-09-29 00:00:00,7.67598311829,"[7.1678641504999616, 7.5481709429749646, 7.8938423958262156]","[8.2505339623750089, 8.6379572642562596, 9.0140394010434459]",7.893842395826216,0.43306792475001876,461.8213184812675,60.0,460.558987097,473.63054374957295,13.0715566522,0.0283819380761
14,167,2009-09-30 00:00:00,8.25053396238,"[7.5481709429749646, 7.8938423958262156]","[8.6379572642562596, 9.0140394010434459]",7.893842395826216,0.43591452851251783,458.80553851339863,56.0,462.029901893,442.0551741662681,-19.9747277267,-0.0432325432724
15,168,2009-10-01 00:00:00,8.63795726426,[7.8938423958262156],[9.0140394010434459],7.893842395826216,0.44807880208689194,446.35005956210307,52.0,449.173777741,410.4798045829632,-38.6939731584,-0.086144773083
16,181,2009-10-20 00:00:00,8.79,"[8.1398935701931325, 8.3873988916834747, 8.8694389470993009]","[9.127526607451717, 9.3656502770791317, 9.8825152632251747]",8.869438947099301,0.39505321490343387,506.2609098090435,58.0,509.82,514.4274589317595,4.60745893176,0.00903742287819
17,182,2009-10-21 00:00:00,9.12752660745,"[8.3873988916834747, 8.8694389470993009]","[9.3656502770791317, 9.8825152632251747]",8.869438947099301,0.3913005541582622,511.1160663450265,56.0,511.141490017,496.6885810375609,-14.4529089797,-0.028275749987
18,183,2009-10-22 00:00:00,9.36565027708,[8.8694389470993009],[9.8825152632251747],8.869438947099301,0.4052305264503492,493.54623342894917,53.0,496.379464685,470.08026419626293,-26.2992004889,-0.0529820477276
19,291,2010-03-30 00:00:00,10.8,[nan],[nan],,,,,,,,
