,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,63,2009-05-04 00:00:00,34.26,"[31.381146315062409, 33.264263787579267, 34.703813569131988, 36.01391336339281]","[35.054713421234396, 36.696434053105179, 37.911546607717007, 39.021521659151801]",36.01391336339281,1.469426842468796,136.10749049879774,4.0,137.04,144.05565345357124,7.01565345357,0.0511942020839
1,82,2009-06-01 00:00:00,35.0547134212,"[33.264263787579267, 34.703813569131988, 36.01391336339281]","[36.696434053105179, 37.911546607717007, 39.021521659151801]",36.01391336339281,1.3728681062103658,145.68041831205147,4.0,140.218853685,144.05565345357124,3.83679976863,0.0273629377776
2,86,2009-06-05 00:00:00,36.6964340531,"[34.703813569131988, 36.01391336339281]","[37.911546607717007, 39.021521659151801]",36.01391336339281,1.2830932154340062,155.87332049943853,4.0,146.785736212,144.05565345357124,-2.73008275885,-0.0185991011749
3,90,2009-06-11 00:00:00,37.9115466077,[36.01391336339281],[39.021521659151801],36.01391336339281,1.2030433183035945,166.24505282321755,4.0,151.646186431,144.05565345357124,-7.5905329773,-0.0500542292289
4,102,2009-06-29 00:00:00,38.42,[36.594288784889812],[39.563927803777545],36.59428878488981,1.1878556075550915,168.37063253138217,4.0,153.68,146.37715513955925,-7.30284486044,-0.0475198129909
5,116,2009-07-20 00:00:00,38.97,"[37.850750183646568, 38.866915688703976, 39.977300020915628]","[40.474812454088365, 41.520771077824008, 42.505674994771091]",39.97730002091563,1.049624908176719,190.54425866037775,5.0,194.85,199.88650010457815,5.03650010458,0.0258480888097
6,119,2009-07-23 00:00:00,40.4748124541,"[38.866915688703976, 39.977300020915628]","[41.520771077824008, 42.505674994771091]",39.97730002091563,1.0615421556480142,188.40514145941833,5.0,202.37406227,199.88650010457815,-2.48756216586,-0.012291902124
7,134,2009-08-13 00:00:00,41.5207710778,[39.977300020915628],[42.505674994771091],39.97730002091563,1.0113499895421874,197.75547739960422,5.0,207.603855389,199.88650010457815,-7.71735528454,-0.037173468046
8,140,2009-08-21 00:00:00,42.0,"[40.375515811645222, 41.175028020009812]","[42.968621047088696, 43.768742994997545]",41.17502802000981,1.0372420941773899,192.81901604525112,5.0,210.0,205.87514010004907,-4.12485989995,-0.0196421899998
9,142,2009-08-25 00:00:00,42.9686210471,[41.175028020009812],[43.768742994997545],41.17502802000981,1.0374859899950943,192.77368747981424,4.0,171.874484188,164.70011208003925,-7.17437210832,-0.0417419266286
10,152,2009-09-09 00:00:00,43.26,"[41.908084134191512, 42.643263577824825]","[44.522978966452122, 45.226684105543796]",42.643263577824825,1.0459579329042445,191.21227891514985,4.0,173.04,170.5730543112993,-2.4669456887,-0.014256505367
11,156,2009-09-15 00:00:00,44.5229789665,[42.643263577824825],[45.226684105543796],42.643263577824825,1.0333682110875873,193.54185454331554,4.0,178.091915866,170.5730543112993,-7.51886155451,-0.0422189941523
12,406,2010-09-13 00:00:00,45.99,[nan],[nan],,,,,,,,
