,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,86,2009-06-05 00:00:00,18.97,[17.958359221734504],[19.247910194566373],17.958359221734504,0.5158203891327477,387.7318621240648,20.0,379.4,359.16718443469006,-20.2328155653,-0.0533284543103
1,173,2009-10-08 00:00:00,18.55,"[18.042055480305592, 18.243374405810226]","[18.851986129923603, 19.064156398547443]",18.243374405810226,0.3239722598472053,617.336805608992,33.0,612.15,602.0313553917374,-10.1186446083,-0.0165296816275
2,179,2009-10-16 00:00:00,18.8519861299,[18.243374405810226],[19.064156398547443],18.243374405810226,0.328312797094886,609.175157866898,32.0,603.263556158,583.7879809859272,-19.4755751716,-0.0322836925467
3,219,2009-12-14 00:00:00,18.97,"[18.623267617896968, 18.851824025152016]","[19.506683095525755, 19.724543993711997]",18.851824025152016,0.3533661910515145,565.9851028896071,30.0,569.1,565.5547207545604,-3.54527924544,-0.00622962439894
4,221,2009-12-16 00:00:00,19.5066830955,[18.851824025152016],[19.724543993711997],18.851824025152016,0.3490879874239917,572.9214616516897,29.0,565.69380977,546.7028967294085,-18.9909130408,-0.033571010877
5,269,2010-02-26 00:00:00,19.55,[19.154101113643598],[19.898974721589102],19.1541011136436,0.2979494431782015,671.2548205045022,34.0,664.7,651.2394378638824,-13.4605621361,-0.0202505824223
6,445,2010-11-05 00:00:00,16.13,[15.659276926745417],[16.322680768313646],15.659276926745417,0.2653615366272922,753.68873176562,47.0,758.11,735.9860155570345,-22.123984443,-0.029183079557
7,467,2010-12-08 00:00:00,16.19,[15.697711273137958],[16.388072181715511],15.697711273137958,0.2761443634310209,724.2588532862042,45.0,728.55,706.3970072912082,-22.1529927088,-0.0304069627463
8,492,2011-01-13 00:00:00,16.25,"[15.802741336422908, 15.992104269601763, 16.286674209365824, 16.517348773095161]","[16.386814665894271, 16.589473932599557, 16.865831447658543, 17.058162806726209]",16.51734877309516,0.23362933178854556,856.0568934940799,53.0,861.25,875.4194849740436,14.169484974,0.0164522321905
9,493,2011-01-14 00:00:00,16.3868146659,"[15.992104269601763, 16.286674209365824, 16.517348773095161]","[16.589473932599557, 16.865831447658543, 17.058162806726209]",16.51734877309516,0.2389478651991183,837.0026651350806,51.0,835.727547961,842.3847874278532,6.65723946725,0.00796580115552
10,500,2011-01-26 00:00:00,16.5894739326,"[16.286674209365824, 16.517348773095161]","[16.865831447658543, 17.058162806726209]",16.51734877309516,0.23166289531708859,863.3234067382695,52.0,862.652644495,858.9021362009483,-3.75050829423,-0.00434764597102
11,509,2011-02-08 00:00:00,16.8658314477,[16.517348773095161],[17.058162806726209],16.51734877309516,0.21632561345241963,924.5322216270501,55.0,927.620729621,908.4541825202339,-19.166547101,-0.0206620512985
12,539,2011-03-23 00:00:00,16.95,"[16.514587975055715, 16.74085857630293]","[17.12135300623607, 17.352285355924266]",16.74085857630293,0.2427060124721418,824.0422145411677,49.0,830.55,820.3020702388436,-10.2479297612,-0.0123387270618
13,540,2011-03-24 00:00:00,17.1213530062,[16.74085857630293],[17.352285355924266],16.74085857630293,0.2445707118485348,817.7594058108727,48.0,821.824944299,803.5612116625407,-18.2637326368,-0.0222233856048
14,546,2011-04-01 00:00:00,17.23,"[16.821288153259015, 17.008600680400448]","[17.457177961685243, 17.622849829899888]",17.00860068040045,0.25435592337049145,786.2997540996231,46.0,792.58,782.3956312984207,-10.1843687016,-0.0128496413
15,549,2011-04-06 00:00:00,17.4571779617,[17.008600680400448],[17.622849829899888],17.00860068040045,0.2456996597997751,814.0019410811699,47.0,820.487364199,799.404231978821,-21.0831322204,-0.0256958646048
16,563,2011-04-27 00:00:00,17.5,[17.088858415114668],[17.665285396221332],17.088858415114668,0.23057079244266618,867.4125542146977,50.0,875.0,854.4429207557334,-20.5570792443,-0.0234938048506
17,742,2012-01-11 00:00:00,13.04,"[12.493728928659152, 12.66778584020914]","[13.226567767835212, 13.395553539947715]",12.66778584020914,0.29313553567042405,682.2782490105959,52.0,678.08,658.7248636908753,-19.3551363091,-0.0285440306588
18,745,2012-01-17 00:00:00,13.2265677678,[12.66778584020914],[13.395553539947715],12.66778584020914,0.29110707989542983,687.0324145735071,52.0,687.781523927,658.7248636908753,-29.0566602366,-0.0422469334021
19,788,2012-03-19 00:00:00,13.26,"[12.858710413571533, 13.614086148248308]","[13.485322396607117, 14.346478462937922]",13.614086148248308,0.25064479321423366,797.9419697302627,60.0,795.6,816.8451688948985,21.2451688949,0.0267033294305
20,790,2012-03-21 00:00:00,13.4853223966,[13.614086148248308],[14.346478462937922],13.614086148248308,0.2929569258758459,682.694219984952,51.0,687.751442227,694.3183935606637,6.5669513337,0.00954843702317
21,904,2012-08-31 00:00:00,12.17,[12.151137245462284],[12.799715688634429],12.151137245462284,0.2594313772688578,770.9167723098236,63.0,766.71,765.5216464641238,-1.18835353588,-0.00154993874591
22,912,2012-09-13 00:00:00,12.67,"[12.310810276482883, 12.474519762658739]","[12.928547430879279, 13.106370059335315]",12.474519762658739,0.24709486175855858,809.4057422991825,64.0,810.88,798.3692648101593,-12.5107351898,-0.0154285901611
23,913,2012-09-14 00:00:00,12.9285474309,[12.474519762658739],[13.106370059335315],12.474519762658739,0.25274011867063073,791.326683915341,61.0,788.641393284,760.9457055221831,-27.6956877615,-0.0351182273684
24,977,2012-12-18 00:00:00,11.74,[11.348004936089588],[11.925498765977604],11.348004936089588,0.2309975319552063,865.8101162690467,74.0,868.76,839.7523652706295,-29.0076347294,-0.0333896987999
25,989,2013-01-07 00:00:00,11.84,"[11.453865510840798, 11.62401362353382, 11.748853680477307, 11.915443235882792]","[12.024033622289801, 12.193996594116545, 12.312786579880672, 12.421139191029303]",11.915443235882792,0.22806724457960154,876.9343461340178,74.0,876.16,881.7427994553266,5.58279945533,0.00637189492253
26,991,2013-01-09 00:00:00,12.0240336223,"[11.62401362353382, 11.748853680477307, 11.915443235882792]","[12.193996594116545, 12.312786579880672, 12.421139191029303]",11.915443235882792,0.22799318823309048,877.2191904063754,73.0,877.754454427,869.8273562194438,-7.92709820771,-0.00903111134068
27,994,2013-01-14 00:00:00,12.1939965941,"[11.748853680477307, 11.915443235882792]","[12.312786579880672, 12.421139191029303]",11.915443235882792,0.22557315976134587,886.6303074869279,73.0,890.161751371,869.8273562194438,-20.3343951511,-0.0228434833554
28,1005,2013-01-30 00:00:00,12.3127865799,[11.915443235882792],[12.421139191029303],11.915443235882792,0.20227838205860443,988.7364035868927,80.0,985.02292639,953.2354588706233,-31.7874675198,-0.0322707895098
29,1018,2013-02-19 00:00:00,12.32,[11.969679095427653],[12.420080226143087],11.969679095427653,0.18016045228617403,1110.121546999183,90.0,1108.8,1077.2711185884887,-31.5288814115,-0.0284351383581
30,1033,2013-03-12 00:00:00,12.33,"[11.970817379637007, 12.119954550866279, 12.221956823322964, 12.448516033048975, 12.619437749643597, 13.129465862161418, 13.312522043570645, 13.45285143736351, 13.637208865495333, 14.121299848917863, 14.380734856471969, 14.580077135413195, 14.764290179272969, 14.931575670309321, 15.119447042454162]","[12.507295655090749, 12.657511362283431, 12.769510794169259, 13.000370991737757, 13.195140562589101, 13.780133534459646, 13.971869489107339, 14.111787140659123, 14.290697783626166, 14.782175037770534, 15.054816285882007, 15.204980716146702, 15.371427455181758, 15.54210608242267, 15.720138239386459]",15.119447042454162,0.21459131018149696,932.0041889433643,76.0,937.08,1149.0779752265164,211.997975227,0.226232525746
