,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,61,2009-04-30 00:00:00,7.12,[6.4806084028561903],[7.554847899285952],6.48060840285619,0.42969579857190476,465.44555628586687,65.0,462.8,421.2395461856524,-41.5604538143,-0.0898021906101
1,71,2009-05-14 00:00:00,7.3699,"[7.5810234491922293, 8.5498986628959877]","[8.7672441377019421, 9.8500253342760029]",8.549898662895988,0.47448827540388505,421.5067270729919,57.0,420.0843,487.3442237850713,67.2599237851,0.160110539206
2,73,2009-05-18 00:00:00,8.7672441377,[8.5498986628959877],[9.8500253342760029],8.549898662895988,0.5200506685520063,384.57791152709484,44.0,385.758742059,376.19554116742347,-9.56320089146,-0.0247906264947
3,78,2009-05-26 00:00:00,9.94,"[8.8503078372806545, 9.6075979228890755]","[10.387423040679836, 11.235600519277732]",9.607597922889076,0.6148460813596731,325.2846623950488,33.0,328.02,317.0507314553395,-10.9692685447,-0.0334408528281
4,82,2009-06-01 00:00:00,10.3874230407,[9.6075979228890755],[11.235600519277732],9.607597922889076,0.6512010385554623,307.12481731241303,30.0,311.62269122,288.22793768667225,-23.3947535337,-0.0750739730862
5,102,2009-06-29 00:00:00,10.91,[10.243656751741177],[12.001585812064706],10.243656751741177,0.7031716241294113,284.4255842200938,26.0,283.66,266.3350755452706,-17.3249244547,-0.0610763747258
6,113,2009-07-15 00:00:00,11.79,"[10.477102824535947, 11.014747683309151, 11.511510299143694, 12.400934784186509, 12.796031642728323, 13.137843557562313, 13.562828810699987, 14.420028001656739, 14.862365257920445]","[12.318224293866013, 12.833813079172714, 13.322122425214078, 14.249766303953374, 14.613492089317919, 15.103039110609423, 15.521792797325004, 16.482492999585816, 16.896783685519885]",14.862365257920445,0.7364485877320259,271.57360789559243,23.0,271.17,341.83440093217024,70.6644009322,0.260590776753
7,114,2009-07-16 00:00:00,12.3182242939,"[11.014747683309151, 11.511510299143694, 12.400934784186509, 12.796031642728323, 13.137843557562313, 13.562828810699987, 14.420028001656739, 14.862365257920445]","[12.833813079172714, 13.322122425214078, 14.249766303953374, 14.613492089317919, 15.103039110609423, 15.521792797325004, 16.482492999585816, 16.896783685519885]",14.862365257920445,0.7276261583454247,274.86642378936347,22.0,271.000934465,326.9720356742498,55.9711012092,0.206534716641
8,115,2009-07-17 00:00:00,12.8338130792,"[11.511510299143694, 12.400934784186509, 12.796031642728323, 13.137843557562313, 13.562828810699987, 14.420028001656739, 14.862365257920445]","[13.322122425214078, 14.249766303953374, 14.613492089317919, 15.103039110609423, 15.521792797325004, 16.482492999585816, 16.896783685519885]",14.862365257920445,0.7242448504281535,276.1497025236224,22.0,282.343887742,326.9720356742498,44.6281479325,0.158063092102
9,116,2009-07-20 00:00:00,13.3221224252,"[12.400934784186509, 12.796031642728323, 13.137843557562313, 13.562828810699987, 14.420028001656739, 14.862365257920445]","[14.249766303953374, 14.613492089317919, 15.103039110609423, 15.521792797325004, 16.482492999585816, 16.896783685519885]",14.862365257920445,0.7395326079067458,270.44108381657696,20.0,266.442448504,297.2473051584089,30.8048566541,0.115615423995
10,118,2009-07-22 00:00:00,14.249766304,"[12.796031642728323, 13.137843557562313, 13.562828810699987, 14.420028001656739, 14.862365257920445]","[14.613492089317919, 15.103039110609423, 15.521792797325004, 16.482492999585816, 16.896783685519885]",14.862365257920445,0.7269841786358381,275.1091507593651,19.0,270.745559775,282.38493990048846,11.6393801254,0.0429901053042
11,120,2009-07-24 00:00:00,14.6134920893,"[13.137843557562313, 13.562828810699987, 14.420028001656739, 14.862365257920445]","[15.103039110609423, 15.521792797325004, 16.482492999585816, 16.896783685519885]",14.862365257920445,0.7860782212188439,254.4276060592195,17.0,248.429365518,252.66020938464754,4.23084386624,0.0170303694067
12,122,2009-07-28 00:00:00,15.1030391106,"[13.562828810699987, 14.420028001656739, 14.862365257920445]","[15.521792797325004, 16.482492999585816, 16.896783685519885]",14.862365257920445,0.7835855946500067,255.236953519202,17.0,256.75166488,252.66020938464754,-4.09145549571,-0.0159354584813
13,124,2009-07-30 00:00:00,15.5217927973,"[14.420028001656739, 14.862365257920445]","[16.482492999585816, 16.896783685519885]",14.862365257920445,0.824985999171631,242.4283566034092,16.0,248.348684757,237.7978441267271,-10.5508406305,-0.0424839802989
14,127,2009-08-04 00:00:00,16.4824929996,[14.862365257920445],[16.896783685519885],14.862365257920445,0.813767371039777,245.77048320879896,15.0,247.237394994,222.93547886880668,-24.301916125,-0.0982938528599
15,135,2009-08-14 00:00:00,16.4899,[14.730822528258837],[17.229794367935291],14.730822528258837,0.9995887358705817,200.0822866674383,12.0,197.8788,176.76987033910603,-21.1089296609,-0.106676054539
16,139,2009-08-20 00:00:00,16.73,"[14.759727204407625, 16.068703801977879, 16.846768611878989, 17.489430181285037]","[17.310068198898094, 18.645324049505529, 19.438307847030256, 20.090142454678741]",17.489430181285037,1.020136397796188,196.05221461763568,12.0,200.76,209.87316217542045,9.11316217542,0.0453933162753
17,141,2009-08-24 00:00:00,17.3100681989,"[16.068703801977879, 16.846768611878989, 17.489430181285037]","[18.645324049505529, 19.438307847030256, 20.090142454678741]",17.489430181285037,1.0306480990110596,194.05265501571924,11.0,190.410750188,192.38373199413542,1.97298180626,0.0103617143691
18,142,2009-08-25 00:00:00,18.6453240495,"[16.846768611878989, 17.489430181285037]","[19.438307847030256, 20.090142454678741]",17.489430181285037,1.0366156940605067,192.93553160147903,10.0,186.453240495,174.89430181285036,-11.5589386822,-0.061993766649
19,143,2009-08-26 00:00:00,19.438307847,[17.489430181285037],[20.090142454678741],17.489430181285037,1.0402849093574813,192.25502379297942,10.0,194.38307847,174.89430181285036,-19.4887766575,-0.100259635822
20,154,2009-09-11 00:00:00,19.57,"[17.622610600897719, 18.681431067310193, 19.378979513944682]","[20.206847349775572, 21.267142233172454, 21.938755121513829]",19.37897951394468,1.0336946995511405,193.4807250988572,10.0,195.7,193.78979513944682,-1.91020486055,-0.00976088329358
21,156,2009-09-15 00:00:00,20.2068473498,"[18.681431067310193, 19.378979513944682]","[21.267142233172454, 21.938755121513829]",19.37897951394468,1.034284466344904,193.3703990612828,10.0,202.068473498,193.78979513944682,-8.27867835831,-0.0409696684248
22,157,2009-09-16 00:00:00,21.2671422332,[19.378979513944682],[21.938755121513829],19.37897951394468,1.0239102430276588,195.32962128458502,9.0,191.404280099,174.41081562550212,-16.993464473,-0.0887830954684
23,161,2009-09-22 00:00:00,21.7,"[19.819618165229905, 20.702637256968409]","[22.545095458692522, 23.424340685757898]",20.70263725696841,1.090190917385047,183.45410589158445,8.0,173.6,165.62109805574727,-7.97890194425,-0.0459614167296
24,162,2009-09-23 00:00:00,22.5450954587,[20.702637256968409],[23.424340685757898],20.70263725696841,1.0886813715157946,183.70848003170633,8.0,180.36076367,165.62109805574727,-14.7396656138,-0.081723237992
25,174,2009-10-09 00:00:00,22.88,"[20.521965808199337, 21.300453672304908, 22.407212417292417]","[23.644383547950167, 24.362386581923772, 25.323196895676894]",22.407212417292417,1.248967095900331,160.13232106473382,7.0,160.16,156.85048692104692,-3.30951307895,-0.0206637929505
26,177,2009-10-14 00:00:00,23.644383548,"[21.300453672304908, 22.407212417292417]","[24.362386581923772, 25.323196895676894]",22.407212417292417,1.2247731638475465,163.29554394522557,7.0,165.510684836,156.85048692104692,-8.6601979146,-0.0523241017533
27,180,2009-10-19 00:00:00,24.3623865819,[22.407212417292417],[25.323196895676894],22.407212417292417,1.1663937913537903,171.46867677327685,7.0,170.536706073,156.85048692104692,-13.6862191524,-0.0802538026419
28,192,2009-11-04 00:00:00,24.97,"[22.692496914233033, 23.887372068521383, 25.169931096733777, 26.069362814802236]","[26.389375771441738, 27.640656982869654, 28.582517225816552, 29.320159296299444]",26.069362814802236,1.478751542883482,135.24922490360436,5.0,124.85,130.34681407401118,5.49681407401,0.0440273454066
29,193,2009-11-05 00:00:00,26.3893757714,"[23.887372068521383, 25.169931096733777, 26.069362814802236]","[27.640656982869654, 28.582517225816552, 29.320159296299444]",26.069362814802236,1.501313965739308,133.21663860064865,5.0,131.946878857,130.34681407401118,-1.6000647832,-0.012126583039
30,200,2009-11-16 00:00:00,27.6406569829,"[25.169931096733777, 26.069362814802236]","[28.582517225816552, 29.320159296299444]",26.069362814802236,1.3650344516331105,146.51644854876918,5.0,138.203284914,130.34681407401118,-7.85647084034,-0.0568472076854
31,202,2009-11-18 00:00:00,28.5825172258,[26.069362814802236],[29.320159296299444],26.069362814802236,1.3003185925988823,153.80845981773584,5.0,142.912586129,130.34681407401118,-12.5657720551,-0.087926279941
32,210,2009-12-01 00:00:00,28.67,"[26.362484161959568, 27.23685995386159, 28.824016956168514, 29.637510302942083, 30.685401399790422, 32.999922487041957, 33.951926362689854]","[29.621878959510106, 30.490785011534602, 32.181495760957873, 33.10299742426448, 33.991149650052392, 36.225019378239509, 37.237018409327533]",33.95192636268985,1.3037579190202155,153.40271156343317,5.0,143.35,169.75963181344926,26.4096318134,0.184231822905
33,211,2009-12-02 00:00:00,29.6218789595,"[27.23685995386159, 28.824016956168514, 29.637510302942083, 30.685401399790422, 32.999922487041957, 33.951926362689854]","[30.490785011534602, 32.181495760957873, 33.10299742426448, 33.991149650052392, 36.225019378239509, 37.237018409327533]",33.95192636268985,1.3015700230692049,153.6605764232217,5.0,148.109394798,169.75963181344926,21.6502370159,0.146177337673
34,212,2009-12-03 00:00:00,30.4907850115,"[28.824016956168514, 29.637510302942083, 30.685401399790422, 32.999922487041957, 33.951926362689854]","[32.181495760957873, 33.10299742426448, 33.991149650052392, 36.225019378239509, 37.237018409327533]",33.95192636268985,1.3429915219157447,148.92126773421836,5.0,152.453925058,169.75963181344926,17.3057067558,0.113514340475
35,214,2009-12-07 00:00:00,32.181495761,"[29.637510302942083, 30.685401399790422, 32.999922487041957, 33.951926362689854]","[33.10299742426448, 33.991149650052392, 36.225019378239509, 37.237018409327533]",33.95192636268985,1.3861948485289597,144.27986095334396,4.0,128.725983044,135.8077054507594,7.08172240693,0.0550139314494
