,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,67,2009-05-08 00:00:00,4.9,"[4.6223977778348972, 4.8442778889431528]","[5.2194005555412755, 5.4389305277642119]",4.844277888943153,0.23880111108255112,837.517041245516,171.0,837.9,828.3715190092792,-9.52848099072,-0.0113718593994
1,68,2009-05-11 00:00:00,5.21940055554,[4.8442778889431528],[5.4389305277642119],4.844277888943153,0.2378610555284236,840.8270095148075,161.0,840.323489442,779.9287401198476,-60.3947493223,-0.0718708331745
2,89,2009-06-10 00:00:00,5.32,"[4.9303063389205048, 5.2007910219744797]","[5.5424234152698739, 5.8248022445063805]",5.20079102197448,0.24484683053974754,816.8372020953432,154.0,819.28,800.9218173840699,-18.3581826159,-0.0224077026364
3,90,2009-06-11 00:00:00,5.54242341527,[5.2007910219744797],[5.8248022445063805],5.20079102197448,0.24960448901276014,801.2676406223436,145.0,803.651395214,754.1146981862995,-49.5366970278,-0.0616395334132
4,240,2010-01-14 00:00:00,4.17,[3.9243447221845429],[4.256413819453865],3.924344722184543,0.1328276389077288,1505.710721387841,361.0,1505.37,1416.68844470862,-88.6815552914,-0.0589101385649
5,279,2010-03-12 00:00:00,4.22,"[4.054679478780975, 4.1099120681198382]","[4.298830130304756, 4.34752198297004]",4.109912068119838,0.09766026060951241,2047.9158948764814,485.0,2046.7,1993.3073530381216,-53.3926469619,-0.0260871876493
6,282,2010-03-17 00:00:00,4.2988301303,[4.1099120681198382],[4.34752198297004],4.109912068119838,0.09504396594008067,2104.289294136648,490.0,2106.42676385,2013.8569133787207,-92.5698504706,-0.0439463892404
7,454,2010-11-18 00:00:00,3.17,"[3.0583090188582882, 3.1162488895196048, 3.2131945575664429, 3.2766080882037145, 3.3327887996038528, 3.4376493596236601, 3.506766891642477, 3.6477847992023729, 3.7163955592422542, 3.7898990196732432, 3.9655184219923467, 4.0437425008927299]","[3.2979227452854278, 3.3459377776200987, 3.421701360608389, 3.4808479779490713, 3.5293028000990372, 3.6405876600940852, 3.7108082770893809, 3.8380538001994067, 3.9084011101894367, 3.9900252450816893, 4.1711203945019131, 4.2515643747768177]",4.04374250089273,0.09584549057085595,2086.691807917092,658.0,2085.86,2660.7825655874162,574.922565587,0.275628549178
8,456,2010-11-22 00:00:00,3.29792274529,"[3.1162488895196048, 3.2131945575664429, 3.2766080882037145, 3.3327887996038528, 3.4376493596236601, 3.506766891642477, 3.6477847992023729, 3.7163955592422542, 3.7898990196732432, 3.9655184219923467, 4.0437425008927299]","[3.3459377776200987, 3.421701360608389, 3.4808479779490713, 3.5293028000990372, 3.6405876600940852, 3.7108082770893809, 3.8380538001994067, 3.9084011101894367, 3.9900252450816893, 4.1711203945019131, 4.2515643747768177]",4.04374250089273,0.09187555524019747,2176.85759261127,660.0,2176.62901189,2668.8700505892016,492.241038701,0.226148340398
9,468,2010-12-09 00:00:00,3.34593777762,"[3.2131945575664429, 3.2766080882037145, 3.3327887996038528, 3.4376493596236601, 3.506766891642477, 3.6477847992023729, 3.7163955592422542, 3.7898990196732432, 3.9655184219923467, 4.0437425008927299]","[3.421701360608389, 3.4808479779490713, 3.5293028000990372, 3.6405876600940852, 3.7108082770893809, 3.8380538001994067, 3.9084011101894367, 3.9900252450816893, 4.1711203945019131, 4.2515643747768177]",4.04374250089273,0.0834027212167785,2398.003291525278,717.0,2399.03738655,2899.3633731400873,500.325986586,0.208552809302
10,470,2010-12-13 00:00:00,3.42170136061,"[3.2766080882037145, 3.3327887996038528, 3.4376493596236601, 3.506766891642477, 3.6477847992023729, 3.7163955592422542, 3.7898990196732432, 3.9655184219923467, 4.0437425008927299]","[3.4808479779490713, 3.5293028000990372, 3.6405876600940852, 3.7108082770893809, 3.8380538001994067, 3.9084011101894367, 3.9900252450816893, 4.1711203945019131, 4.2515643747768177]",4.04374250089273,0.08169595589814262,2448.1015957430895,715.0,2446.51647283,2891.275888138302,444.759415303,0.181792937118
