,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,64,2009-05-05 00:00:00,1.59,"[1.3648077036572099, 2.4525673184743493, 2.9539389525506321]","[1.8337980740856974, 3.0618581703814125, 3.6365152618623422]",2.953938952550632,0.18759614817139503,1066.1199707430685,671.0,1066.89,1982.093037161474,915.203037161,0.857823240598
1,65,2009-05-06 00:00:00,1.83379807409,"[2.4525673184743493, 2.9539389525506321]","[3.0618581703814125, 3.6365152618623422]",2.953938952550632,0.24371634076282528,820.6261401020778,448.0,821.54153719,1323.3646507426831,501.823113552,0.610831091108
2,66,2009-05-07 00:00:00,3.06185817038,[2.9539389525506321],[3.6365152618623422],2.953938952550632,0.27303052372468406,732.5188307578171,239.0,731.784102721,705.9914096596011,-25.7926930616,-0.0352463150889
3,86,2009-06-05 00:00:00,3.5,"[3.070655000319563, 3.5800140808989847]","[3.9698362499201094, 4.4924964797752533]",3.5800140808989847,0.3596724998402186,556.0614172305313,159.0,556.5,569.2222388629385,12.7222388629,0.0228611659711
4,89,2009-06-10 00:00:00,3.96983624992,[3.5800140808989847],[4.4924964797752533],3.5800140808989847,0.36499295955050737,547.9557749450896,138.0,547.837402489,494.0419431640599,-53.7954593249,-0.0981960324003
5,102,2009-06-29 00:00:00,4.42,[3.8022592465157676],[4.8994351883710578],3.8022592465157676,0.438870376742116,455.7154244145344,103.0,455.26,391.63270239112404,-63.6272976089,-0.139760351467
6,120,2009-07-24 00:00:00,4.75,"[4.6013591565022818, 6.4015691425175447]","[5.7121602108744298, 7.7121077143706138]",6.401569142517545,0.4443204217488594,450.12560803033455,95.0,451.25,608.1490685391667,156.899068539,0.347698766846
7,125,2009-07-31 00:00:00,5.71216021087,[6.4015691425175447],[7.7121077143706138],6.401569142517545,0.524215428741228,381.52253641265366,67.0,382.714734129,428.9051325486755,46.1903984201,0.120691455805
8,131,2009-08-10 00:00:00,7.62,"[6.6931305497211318, 6.961425321123321, 7.3500565831900406]","[8.2142173625697179, 8.5721436697191695, 8.9374858542024889]",7.350056583190041,0.6084347251394343,328.71233632197146,43.0,327.66,316.05243307717177,-11.6075669228,-0.0354256452507
9,133,2009-08-12 00:00:00,8.21421736257,"[6.961425321123321, 7.3500565831900406]","[8.5721436697191695, 8.9374858542024889]",7.350056583190041,0.6442873394383394,310.42050302331097,38.0,312.140259778,279.30215016122156,-32.8381096164,-0.10520305724
10,138,2009-08-19 00:00:00,8.57214366972,[7.3500565831900406],[8.9374858542024889],7.350056583190041,0.6349717084049791,314.9746632056902,37.0,317.16931578,271.9520935780315,-45.2172222016,-0.142564932835
11,154,2009-09-11 00:00:00,8.9,[8.0748872586347353],[9.5812781853413149],8.074887258634735,0.6025563706826325,331.9191526818001,37.0,329.3,298.7708285694852,-30.5291714305,-0.0927092967826
12,182,2009-10-21 00:00:00,9.29,"[8.3110568520601973, 8.6838038089843295]","[9.7097357869849503, 10.079049047753919]",8.68380380898433,0.5594715739699012,357.48018184523477,38.0,353.02,329.98454474140453,-23.0354552586,-0.0652525501632
13,184,2009-10-23 00:00:00,9.70973578698,[8.6838038089843295],[10.079049047753919],8.68380380898433,0.5580980955078358,358.3599399636223,37.0,359.260224118,321.3007409324202,-37.959483186,-0.105660133345
