,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,75,2013-08-08 00:00:00,16.6,"[16.119835870705778, 16.308344077170489]","[16.832541032323558, 17.01041398070738]",16.30834407717049,0.2850820646471114,701.5523766729059,42.0,697.2,684.9504512411605,-12.2495487588,-0.0175696339054
1,76,2013-08-09 00:00:00,16.8325410323,[16.308344077170489],[17.01041398070738],16.30834407717049,0.2808279614147558,712.1797950333703,42.0,706.966723358,684.9504512411605,-22.0162721164,-0.0311418789443
2,146,2013-11-18 00:00:00,16.12,"[15.741000421270009, 15.929031786877054]","[16.3022498946825, 16.505242053280739]",15.929031786877054,0.22449978936499648,890.8694327317867,55.0,886.6,876.096748278238,-10.5032517218,-0.0118466633451
3,150,2013-11-22 00:00:00,16.3022498947,[15.929031786877054],[16.505242053280739],15.929031786877054,0.2304841065614732,867.7387911198872,53.0,864.019244418,844.2386847044838,-19.7805597137,-0.0228936564104
4,159,2013-12-06 00:00:00,16.39,"[15.941914141549322, 16.227328434471854, 16.456962012748264]","[16.552021464612668, 16.868167891382033, 17.110759496812936]",16.456962012748264,0.24404292922533885,819.5279438533887,50.0,819.5,822.8481006374132,3.34810063741,0.0040855407412
5,160,2013-12-09 00:00:00,16.5520214646,"[16.227328434471854, 16.456962012748264]","[16.868167891382033, 17.110759496812936]",16.456962012748264,0.2563357827640719,780.2266146512889,47.0,777.945008837,773.4772145991684,-4.46779423763,-0.00574307205121
6,161,2013-12-10 00:00:00,16.8681678914,[16.456962012748264],[17.110759496812936],16.456962012748264,0.2615189936258683,764.7628083416458,45.0,759.067555112,740.5632905736719,-18.5042645385,-0.0243776254352
7,165,2013-12-16 00:00:00,16.98,"[16.434589790396043, 16.712419785832424]","[17.140102552400993, 17.484395053541892]",16.712419785832424,0.28220510480197997,708.7044018581367,42.0,713.16,701.9216310049618,-11.238368995,-0.0157585520711
8,167,2013-12-18 00:00:00,17.1401025524,[16.712419785832424],[17.484395053541892],16.712419785832424,0.30879010708378685,647.6891435700437,38.0,651.323896991,635.0719518616321,-16.2519451296,-0.0249521708088
9,244,2014-04-10 00:00:00,14.75,"[14.338369818896018, 14.485785352905816, 14.700113736973094, 14.935190147618217, 15.15655860822544, 15.260932143923458]","[14.878032545275994, 15.003553661773546, 15.152471565756727, 15.391202463095446, 15.610860347943639, 15.709766964019135]",15.260932143923458,0.21586509055199038,926.5046028914559,63.0,929.25,961.4387250671779,32.1887250672,0.0346394673846
