,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,51,2009-04-16 00:00:00,14.13,[13.542466583478797],[15.289383354130299],13.542466583478797,0.698766708260601,286.21855854845785,20.0,282.6,270.8493316695759,-11.7506683304,-0.0415805673405
1,63,2009-05-04 00:00:00,15.13,[14.038441848543609],[15.765389537864097],14.03844184854361,0.6907790757281951,289.5281675826197,19.0,287.47,266.73039512232856,-20.7396048777,-0.0721452842998
2,75,2009-05-20 00:00:00,15.42,"[14.307356723752548, 15.083721328018777]","[15.985660819061863, 16.754069667995307]",15.083721328018777,0.6713216381237264,297.9197878366904,19.0,292.98,286.59070523235675,-6.38929476764,-0.0218079553814
3,82,2009-06-01 00:00:00,15.9856608191,[15.083721328018777],[16.754069667995307],15.083721328018777,0.6681393359906126,299.33875948715286,19.0,303.727555562,286.59070523235675,-17.1368503298,-0.0564217833252
4,157,2009-09-16 00:00:00,15.77,[15.133609616320806],[16.216597595919797],15.133609616320806,0.433195191839597,461.685641409556,29.0,457.33,438.87467887330337,-18.4553211267,-0.0403544948433
5,249,2010-01-28 00:00:00,14.04,[13.589901620816638],[14.490024594795841],13.589901620816638,0.36004918959168075,555.479656062587,40.0,561.6,543.5960648326655,-18.0039351673,-0.0320582891156
6,277,2010-03-10 00:00:00,14.47,"[13.9210936203353, 14.244311992352609, 14.518416573098229, 14.870495744443319]","[14.782226594916175, 15.101422001911848, 15.370395856725441, 15.732376063889172]",14.87049574444332,0.3444531898323495,580.6304191792881,40.0,578.8,594.8198297777328,16.0198297777,0.0276776602932
7,279,2010-03-12 00:00:00,14.7822265949,"[14.244311992352609, 14.518416573098229, 14.870495744443319]","[15.101422001911848, 15.370395856725441, 15.732376063889172]",14.87049574444332,0.34284400382369545,583.3556887955616,39.0,576.506837202,579.9493340332895,3.44249683156,0.00597130269654
8,281,2010-03-16 00:00:00,15.1014220019,"[14.518416573098229, 14.870495744443319]","[15.370395856725441, 15.732376063889172]",14.87049574444332,0.3407917134508851,586.8687298020936,39.0,588.955458075,579.9493340332895,-9.00612404127,-0.0152916895799
9,282,2010-03-17 00:00:00,15.3703958567,[14.870495744443319],[15.732376063889172],14.87049574444332,0.34475212777834086,580.1269488569783,38.0,584.075042556,565.0788382888461,-18.9962042667,-0.032523567834
10,289,2010-03-26 00:00:00,15.56,"[14.973054884904414, 15.224961597847674]","[15.819236278773896, 16.050009600538083]",15.224961597847674,0.3384725575477936,590.8898536678538,38.0,591.28,578.5485407182116,-12.7314592818,-0.0215320309867
11,293,2010-04-01 00:00:00,15.8192362788,[15.224961597847674],[16.050009600538083],15.224961597847674,0.33001920107616256,606.0253444278945,38.0,601.130978593,578.5485407182116,-22.5824378752,-0.0375665847866
12,403,2010-09-08 00:00:00,9.73,"[9.3472745991898645, 9.708940325768852]","[9.9381813502025338, 10.322764918557786]",9.708940325768852,0.23636270040506752,846.1571967880262,87.0,846.51,844.6778083418901,-1.83219165811,-0.0021644063958
13,405,2010-09-10 00:00:00,9.9381813502,[9.708940325768852],[10.322764918557786],9.708940325768852,0.2455298371155734,814.564952062661,82.0,814.930870717,796.1331067130459,-18.7977640036,-0.0230666976538
14,420,2010-10-01 00:00:00,10.29,"[9.8119728019180101, 10.023926431044455, 10.194230109492231, 10.464522673816738, 10.789776213119607]","[10.484506799520497, 10.706518392238888, 10.876442472626943, 11.121619331545816, 11.465055946720099]",10.789776213119607,0.26901359904099487,743.4568390333386,72.0,740.88,776.8638873446117,35.9838873446,0.0485691169212
15,423,2010-10-06 00:00:00,10.4845067995,"[10.023926431044455, 10.194230109492231, 10.464522673816738, 10.789776213119607]","[10.706518392238888, 10.876442472626943, 11.121619331545816, 11.465055946720099]",10.789776213119607,0.2730367844777729,732.502034048388,70.0,733.915475966,755.2843349183725,21.3688589519,0.0291162397465
16,424,2010-10-07 00:00:00,10.7065183922,"[10.194230109492231, 10.464522673816738, 10.789776213119607]","[10.876442472626943, 11.121619331545816, 11.465055946720099]",10.789776213119607,0.27288494525388424,732.9096143941755,68.0,728.043250672,733.7047824921333,5.66153181989,0.00777636742688
17,426,2010-10-11 00:00:00,10.8764424726,"[10.464522673816738, 10.789776213119607]","[11.121619331545816, 11.465055946720099]",10.789776213119607,0.2628386630916305,760.9230607381237,70.0,761.350973084,755.2843349183725,-6.06663816551,-0.00796825430056
18,428,2010-10-13 00:00:00,11.1216193315,[10.789776213119607],[11.465055946720099],10.789776213119607,0.27011189344019654,740.4338900178067,67.0,745.148495214,722.9150062790137,-22.2334889346,-0.0298376619927
19,434,2010-10-21 00:00:00,11.33,[11.017579830453995],[11.770605042386501],11.017579830453995,0.3012100847730025,663.988392522527,59.0,668.47,650.0372099967857,-18.4327900032,-0.0275745957234
20,492,2011-01-13 00:00:00,10.88,[10.574700963764682],[11.131324759058829],10.574700963764682,0.22264951811765887,898.2727727904187,83.0,903.04,877.7001799924686,-25.3398200075,-0.0280605731834
21,505,2011-02-02 00:00:00,11.02,"[10.89232107201445, 11.167913654404346]","[11.601919731996388, 11.895521586398914]",11.167913654404346,0.28383946399277515,704.6236530558372,64.0,705.28,714.7464738818782,9.46647388188,0.0134222916882
22,510,2011-02-09 00:00:00,11.601919732,[11.167913654404346],[11.895521586398914],11.167913654404346,0.291043172797827,687.183272768023,59.0,684.513264188,658.9069056098564,-25.6063585779,-0.0374081262082
23,563,2011-04-27 00:00:00,9.21,"[8.7518912350536286, 8.9227966733009474]","[9.3745271912365933, 9.5443008316747626]",8.922796673300947,0.24905438247318576,803.0374652071534,87.0,801.27,776.2833105771824,-24.9866894228,-0.0311838574049
24,564,2011-04-28 00:00:00,9.37452719124,[8.9227966733009474],[9.5443008316747626],8.922796673300947,0.2486016633495265,804.4998464825475,86.0,806.209338446,767.3605139038815,-38.8488245425,-0.0481870187926
25,651,2011-08-31 00:00:00,6.51,"[6.0276356308023464, 6.2657538492622296]","[6.730591092299413, 6.9835615376844427]",6.26575384926223,0.2811821845988266,711.2826165901928,109.0,709.59,682.967169569583,-26.6228304304,-0.0375186099444
26,652,2011-09-01 00:00:00,6.7305910923,[6.2657538492622296],[6.9835615376844427],6.26575384926223,0.28712307536888526,696.5654005448614,103.0,693.250882507,645.3726464740097,-47.8782360328,-0.069063361102
27,689,2011-10-25 00:00:00,6.84,"[6.3272146898319672, 6.7920862575733496]","[7.0056963275420081, 7.5269784356066625]",6.79208625757335,0.27139265508401667,736.9396196005555,108.0,738.72,733.5453158179217,-5.17468418208,-0.00700493310331
28,691,2011-10-27 00:00:00,7.00569632754,[6.7920862575733496],[7.5269784356066625],6.79208625757335,0.29395687121332503,680.3719170587431,97.0,679.552543772,658.832366984615,-20.720176787,-0.0304909119639
29,772,2012-02-24 00:00:00,5.78,[5.5018870064685457],[5.9620282483828637],5.501887006468546,0.18405649676572705,1086.622876749449,188.0,1086.64,1034.3547572160867,-52.2852427839,-0.048116434867
30,898,2012-08-23 00:00:00,2.93,"[2.876579705588989, 3.0438381842940627]","[3.2933550736027528, 3.4765404539264844]",3.0438381842940627,0.16671014720550545,1199.687021771133,409.0,1198.37,1244.9298173762716,46.5598173763,0.038852622626
31,900,2012-08-27 00:00:00,3.2933550736,[3.0438381842940627],[3.4765404539264844],3.0438381842940627,0.17308090785296865,1155.5289516386117,351.0,1155.96763083,1068.387202687216,-87.5804281474,-0.0757637375055
32,959,2012-11-21 00:00:00,3.14,"[3.1094581797907446, 3.2859852708012074]","[3.4726354550523135, 3.666003682299698]",3.2859852708012074,0.14527091010462762,1376.7381222844626,438.0,1375.32,1439.261548610929,63.9415486109,0.046492124459
33,960,2012-11-23 00:00:00,3.47263545505,[3.2859852708012074],[3.666003682299698],3.2859852708012074,0.15200736459939623,1315.7257250468401,379.0,1316.12883746,1245.3884176336576,-70.7404198312,-0.0537488563562
34,968,2012-12-05 00:00:00,3.59,"[3.5642527815031158, 3.7018757032694438, 3.9167819181059715]","[3.983936804624221, 4.1245310741826389, 4.3583045204735065]",3.9167819181059715,0.16787360924844208,1191.3724908601503,332.0,1191.88,1300.3715968111826,108.491596811,0.0910256039292
35,976,2012-12-17 00:00:00,3.98393680462,"[3.7018757032694438, 3.9167819181059715]","[4.1245310741826389, 4.3583045204735065]",3.9167819181059715,0.16906214836527803,1182.996915240171,297.0,1183.22923097,1163.2842296774736,-19.9450012959,-0.0168564135958
36,977,2012-12-18 00:00:00,4.12453107418,[3.9167819181059715],[4.3583045204735065],3.9167819181059715,0.17660904094701407,1132.4448563196922,275.0,1134.2460454,1077.115027479142,-57.1310179211,-0.0503691576909
37,992,2013-01-10 00:00:00,4.35,"[4.0782906109407859, 4.3153760803937473, 4.4830114043165326]","[4.6054273472648033, 4.8586559799015632, 5.0001221489208669]",4.4830114043165326,0.2108546945296069,948.5204986598828,218.0,948.3,977.2964861410042,28.996486141,0.0305773343256
38,993,2013-01-11 00:00:00,4.60542734726,"[4.3153760803937473, 4.4830114043165326]","[4.8586559799015632, 5.0001221489208669]",4.4830114043165326,0.21731195980312656,920.335908714779,200.0,921.085469453,896.6022808633065,-24.4831885897,-0.0265807999384
39,1000,2013-01-23 00:00:00,4.8586559799,[4.4830114043165326],[5.0001221489208669],4.4830114043165326,0.20684429784173358,966.9108700933565,199.0,966.87254,892.11926945899,-74.7532705414,-0.0773145036691
40,1076,2013-05-13 00:00:00,3.76,[3.6557018871115869],[3.9798245282221032],3.655701887111587,0.1296490564442065,1542.6259587632906,410.0,1541.6,1498.8377737157507,-42.7622262842,-0.0277388598107
41,1101,2013-06-18 00:00:00,3.915,[3.8566408030762158],[4.185839799230946],3.856640803076216,0.13167959846189206,1518.838167310176,388.0,1519.02,1496.3766315935718,-22.6433684064,-0.0149065637098
42,1114,2013-07-08 00:00:00,4.12,"[3.890477540665036, 4.0229536636317844]","[4.2148806148337412, 4.3505115840920539]",4.022953663631784,0.12976122966748216,1541.292422339918,374.0,1540.88,1504.5846701982873,-36.2953298017,-0.0235549360117
43,1115,2013-07-09 00:00:00,4.21488061483,[4.0229536636317844],[4.3505115840920539],4.022953663631784,0.13102316818410806,1526.44759527543,362.0,1525.78678257,1456.3092262347059,-69.4775563351,-0.0455355604917
44,1154,2013-09-03 00:00:00,4.285,[5.2218443186122201],[5.6706639203469447],5.22184431861222,0.17952784069388988,1114.033340049006,260.0,1114.1,1357.6795228391773,243.579522839,0.218633446584
45,1159,2013-09-10 00:00:00,5.5809,"[5.3190216582410619, 5.5780705753290096, 6.0646670465625583, 6.3091645260942455]","[5.770244585439734, 6.042982356167748, 6.5713332383593599, 6.8477088684764391]",6.3091645260942455,0.18048917087946884,1108.099721581416,199.0,1110.5991,1255.523740692755,144.924640693,0.130492308784
