,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,51,2009-04-16 00:00:00,0.98,"[1.1871663591837207, 1.5853080412245348]","[1.5407084102040698, 1.9911729896938661]",1.5853080412245348,0.1414168204081396,1414.2589221196242,1443.0,1414.14,2287.599503487004,873.459503487,0.617661266556
1,52,2009-04-17 00:00:00,1.5407084102,[1.5853080412245348],[1.9911729896938661],1.5853080412245348,0.1623459793877326,1231.9368841425874,800.0,1232.56672816,1268.2464329796278,35.6797048164,0.0289474833298
2,56,2009-04-23 00:00:00,1.91,[1.6353132452526413],[2.0911716886868397],1.6353132452526413,0.18234337737367937,1096.8317187091288,574.0,1096.34,938.6698027750161,-157.670197225,-0.143815054842
3,63,2009-05-04 00:00:00,2.0,"[1.73617346984665, 2.0763647963543175]","[2.2159566325383375, 2.5934088009114209]",2.0763647963543175,0.191913265076675,1042.1374464141086,521.0,1042.0,1081.7860589005993,39.7860589006,0.0381823981772
4,64,2009-05-05 00:00:00,2.21595663254,[2.0763647963543175],[2.5934088009114209],2.0763647963543175,0.20681760182284128,967.0356789617878,436.0,966.157091787,905.2950512104824,-60.8620405762,-0.0629939386603
5,123,2009-07-29 00:00:00,2.42,[2.4712929966321471],[2.9321767508419629],2.471292996632147,0.18435350168392634,1084.8722599416612,448.0,1084.16,1107.1392624912019,22.9792624912,0.0211954531538
6,156,2009-09-15 00:00:00,2.84,"[2.5422617684391735, 2.7686486800172143]","[2.9269345578902066, 3.1703378299956961]",2.7686486800172143,0.1538691157804134,1299.8060006104147,458.0,1300.72,1268.0410954478841,-32.6789045521,-0.0251237042193
7,157,2009-09-16 00:00:00,2.92693455789,[2.7686486800172143],[3.1703378299956961],2.7686486800172143,0.16067565999139272,1244.7436034226582,425.0,1243.9471871,1176.6756890073161,-67.271498096,-0.054079062836
8,160,2009-09-21 00:00:00,3.37,"[3.3653214120297594, 3.7735553414282714]","[3.9211696469925603, 4.3691111646429324]",3.7735553414282714,0.22233929398512037,899.5261090169001,267.0,899.79,1007.5392761613484,107.749276161,0.119749359474
9,161,2009-09-22 00:00:00,3.92116964699,[3.7735553414282714],[4.3691111646429324],3.7735553414282714,0.23822232928586434,839.5518614881902,214.0,839.130304456,807.54084306565,-31.5894613908,-0.0376454779705
10,175,2009-10-12 00:00:00,4.25,"[3.9494087564121734, 4.7304383185915651]","[4.7001478108969561, 5.5673904203521092]",4.730438318591565,0.30029562179391317,666.0103760595483,157.0,667.25,742.6788160188758,75.4288160189,0.113044310257
11,176,2009-10-13 00:00:00,4.7001478109,[4.7304383185915651],[5.5673904203521092],4.730438318591565,0.33478084070421754,597.4057523103663,127.0,596.918771984,600.7656664611287,3.84689447722,0.00644458619458
12,222,2009-12-17 00:00:00,5.4,"[4.9194753144611578, 5.1292514713011954]","[5.7076311713847101, 5.892687132174701]",5.129251471301195,0.31526234276942083,634.392291331406,117.0,631.8,600.1224221422399,-31.6775778578,-0.0501386164257
13,224,2009-12-21 00:00:00,5.70763117138,[5.1292514713011954],[5.892687132174701],5.129251471301195,0.3053742643494023,654.9340378309174,115.0,656.377584709,589.8639191996375,-66.5136655096,-0.10133445605
14,235,2010-01-07 00:00:00,5.74,[5.4724223588081093],[6.2193944102979728],5.472422358808109,0.2987888205959453,669.3690868389675,117.0,671.58,640.2734159805487,-31.3065840195,-0.0466163137965
15,260,2010-02-12 00:00:00,6.07,"[5.475782586015403, 5.7489934567146328, 6.171028739533555, 6.5744232655575807, 6.8928653154343857]","[6.2560543534961486, 6.5377516358213414, 6.9572428151166115, 7.3813941836106043, 7.6517836711414038]",6.892865315434386,0.3121087069922984,640.8023727608958,106.0,643.42,730.6437234360449,87.223723436,0.135562654932
16,261,2010-02-16 00:00:00,6.2560543535,"[5.7489934567146328, 6.171028739533555, 6.5744232655575807, 6.8928653154343857]","[6.5377516358213414, 6.9572428151166115, 7.3813941836106043, 7.6517836711414038]",6.892865315434386,0.3155032716426835,633.9078481141893,101.0,631.861489703,696.1793968588729,64.3179071558,0.101791149174
17,270,2010-03-01 00:00:00,6.53775163582,"[6.171028739533555, 6.5744232655575807, 6.8928653154343857]","[6.9572428151166115, 7.3813941836106043, 7.6517836711414038]",6.892865315434386,0.31448563023322257,635.9591051956173,97.0,634.161908675,668.6079355971355,34.4460269225,0.0543174013628
