,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,50,2009-04-15 00:00:00,14.63,"[13.524403763973705, 13.977183575775021, 14.702692768280107, 15.132866212204156]","[15.193899059006572, 15.630704106056246, 16.374326807929972, 16.89178344694896]",15.132866212204156,0.6677981180131469,299.49170955294994,20.0,292.6,302.65732424408316,10.0573242441,0.0343722633086
1,51,2009-04-16 00:00:00,15.193899059,"[13.977183575775021, 14.702692768280107, 15.132866212204156]","[15.630704106056246, 16.374326807929972, 16.89178344694896]",15.132866212204156,0.6614082121124897,302.38511759812377,20.0,303.87798118,302.65732424408316,-1.22065693605,-0.00401693117516
2,54,2009-04-21 00:00:00,15.6307041061,"[14.702692768280107, 15.132866212204156]","[16.374326807929972, 16.89178344694896]",15.132866212204156,0.6686536158599459,299.10852982195104,19.0,296.983378015,287.52445803187896,-9.45891998319,-0.0318499979575
3,57,2009-04-24 00:00:00,16.3743268079,[15.132866212204156],[16.89178344694896],15.132866212204156,0.7035668938979209,284.26579154677734,17.0,278.363555735,257.25872560747064,-21.1048301273,-0.0758175044561
4,63,2009-05-04 00:00:00,16.54,"[15.266109913004339, 16.390964196486415, 17.411665986662094]","[16.933472521748918, 18.133508950878397, 19.259583503334476]",17.411665986662094,0.6669450434978315,299.87478271236347,18.0,297.72,313.40998775991767,15.6899877599,0.0527004828695
5,65,2009-05-06 00:00:00,16.9334725217,"[16.390964196486415, 17.411665986662094]","[18.133508950878397, 19.259583503334476]",17.411665986662094,0.6970179017567928,286.9366762258354,17.0,287.86903287,295.9983217732556,8.12928890352,0.028239539427
6,66,2009-05-07 00:00:00,18.1335089509,[17.411665986662094],[19.259583503334476],17.411665986662094,0.7391670066689531,270.57484735594124,15.0,272.002634263,261.1749897999314,-10.8276444632,-0.0398071308852
7,82,2009-06-01 00:00:00,18.89,"[18.148207593696633, 19.547966886539541]","[20.46294810157584, 21.713008278365116]",19.54796688653954,0.9258962031516835,216.00693395135923,11.0,207.79,215.02763575193495,7.23763575193,0.0348314921408
8,89,2009-06-10 00:00:00,20.4629481016,[19.547966886539541],[21.713008278365116],19.54796688653954,0.8660165567302291,230.94246691440745,11.0,225.092429117,215.02763575193495,-10.0647933654,-0.0447140466024
9,113,2009-07-15 00:00:00,21.28,"[19.769129322533313, 21.025023017623568]","[21.870217669366671, 23.043744245594109]",21.025023017623568,0.8404353387333433,237.97190668044576,11.0,234.08,231.27525319385924,-2.80474680614,-0.0119820010515
