,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,59,2014-02-20 00:00:00,18.71,"[18.084184091553848, 18.870375439943071, 19.95309711068013]","[18.92895397711154, 19.657406140014231, 20.949225722329967]",19.95309711068013,0.33790795422307707,591.8771591507602,32.0,598.72,638.4991075417641,39.7791075418,0.0664402517734
1,80,2014-03-21 00:00:00,18.9289539771,"[18.870375439943071, 19.95309711068013]","[19.657406140014231, 20.949225722329967]",19.95309711068013,0.3148122800284645,635.2992328695581,34.0,643.584435222,678.4053017631244,34.8208665413,0.0541045815214
2,84,2014-03-27 00:00:00,19.65740614,[19.95309711068013],[20.949225722329967],19.95309711068013,0.39845144465993465,501.9432171232143,26.0,511.09255964,518.7805248776833,7.68796523731,0.0150422170941
3,88,2014-04-02 00:00:00,20.75,[19.785990991005907],[21.016002252248523],19.785990991005907,0.4920045044970457,406.5003433341552,20.0,415.0,395.7198198201181,-19.2801801799,-0.0464582654937
4,103,2014-04-24 00:00:00,21.0,[20.910301283611059],[22.709924679097238],20.91030128361106,0.7198493581944707,277.83590792056947,13.0,273.0,271.8339166869438,-1.16608331306,-0.00427136744709
5,117,2014-05-14 00:00:00,22.35,"[21.832936393545509, 24.504789573868234]","[23.829265901613621, 26.76130260653294]",24.504789573868234,0.7985318032272445,250.459655071602,11.0,245.85,269.5526853125506,23.7026853126,0.096411166616
6,118,2014-05-15 00:00:00,23.8292659016,[24.504789573868234],[26.76130260653294],24.504789573868234,0.9026052130658823,221.580816402178,9.0,214.463393115,220.5431061648141,6.07971305029,0.0283484885789
7,129,2014-06-02 00:00:00,26.31,"[24.844149454296961, 25.497795888377858]","[27.101462636425758, 27.749926027905534]",25.49779588837786,0.9029252728515182,221.50227268352145,8.0,210.48,203.98236710702287,-6.49763289298,-0.0308705477621
8,132,2014-06-05 00:00:00,27.1014626364,[25.497795888377858],[27.749926027905534],25.49779588837786,0.9008520558110702,222.012037059662,8.0,216.811701091,203.98236710702287,-12.8293339844,-0.0591727011033
9,214,2014-10-01 00:00:00,26.5868,[25.194114902752062],[27.451471274311984],25.194114902752062,0.9029425486239688,221.4980347363054,8.0,212.6944,201.5529192220165,-11.141480778,-0.0523825769648
10,281,2015-01-07 00:00:00,25.0,[23.78098188759099],[26.529754528102252],23.78098188759099,1.0995090562045047,181.8993657863976,7.0,175.0,166.46687321313692,-8.53312678686,-0.0487607244964
11,331,2015-03-20 00:00:00,25.98,"[24.163265001169773, 24.716976830377934, 25.880184919600616, 26.654006889939556]","[26.459183749707556, 27.008255792405517, 28.229953770099847, 29.273998277515112]",26.654006889939556,0.918367499415114,217.7777416201849,8.0,207.84,213.23205511951645,5.39205511952,0.0259432983041
12,334,2015-03-25 00:00:00,26.4591837497,"[24.716976830377934, 25.880184919600616, 26.654006889939556]","[27.008255792405517, 28.229953770099847, 29.273998277515112]",26.654006889939556,0.9165115848110332,218.21873647263945,8.0,211.673469998,213.23205511951645,1.55858512186,0.00736315761193
13,339,2015-04-01 00:00:00,27.0082557924,"[25.880184919600616, 26.654006889939556]","[28.229953770099847, 29.273998277515112]",26.654006889939556,0.9399075401996921,212.78688748204758,8.0,216.066046339,213.23205511951645,-2.83399121973,-0.0131163191429
14,341,2015-04-06 00:00:00,28.2299537701,[26.654006889939556],[29.273998277515112],26.654006889939556,1.0479965550302224,190.84032198391373,7.0,197.609676391,186.5780482295769,-11.0316281611,-0.0558253439943
15,371,2015-05-18 00:00:00,28.75,[26.820103415611428],[29.236099146097143],26.820103415611428,0.9663982921942871,206.9540081097241,7.0,201.25,187.74072390928,-13.5092760907,-0.0671268377179
16,477,2015-10-16 00:00:00,24.615,[22.248566614231887],[25.562858346442027],22.248566614231887,1.3257166928840562,150.8617950377513,6.0,147.69,133.49139968539131,-14.1986003146,-0.0961378584509
17,486,2015-10-29 00:00:00,24.97,"[22.176935134681244, 23.432301218765343]","[25.693266216329686, 26.641924695308663]",23.432301218765343,1.4065324326593776,142.19366390425378,6.0,149.82,140.59380731259205,-9.22619268741,-0.0615818494687
18,491,2015-11-05 00:00:00,25.6932662163,[23.432301218765343],[26.641924695308663],23.432301218765343,1.2838493906173287,155.78151258367743,6.0,154.159597298,140.59380731259205,-13.5657899854,-0.0879983486151
