,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,154,2014-07-15 00:00:00,12.5,[12.046841341342365],[12.638289664664409],12.046841341342365,0.23657932932881764,845.3823948499886,68.0,850.0,819.1852112112808,-30.8147887887,-0.0362526926926
1,181,2014-08-21 00:00:00,12.52,"[12.081625848029663, 12.268885211454434, 12.433122560262207, 12.761480344502541, 12.908906327277414]","[12.692093537992584, 12.857778697136393, 12.991719359934448, 13.297129913874365, 13.447773418180647]",12.908906327277414,0.24418707598516814,819.0441660071639,65.0,813.8,839.078911273032,25.278911273,0.0310628056931
2,184,2014-08-26 00:00:00,12.692093538,"[12.268885211454434, 12.433122560262207, 12.761480344502541, 12.908906327277414]","[12.857778697136393, 12.991719359934448, 13.297129913874365, 13.447773418180647]",12.908906327277414,0.23555739427278355,849.0499761955812,67.0,850.370267046,864.8967239275868,14.5264568821,0.017082507991
3,188,2014-09-02 00:00:00,12.8577786971,"[12.433122560262207, 12.761480344502541, 12.908906327277414]","[12.991719359934448, 13.297129913874365, 13.447773418180647]",12.908906327277414,0.22343871986889643,895.1000082588675,70.0,900.0445088,903.6234429094189,3.57893410987,0.0039763968058
4,200,2014-09-18 00:00:00,12.9917193599,"[12.761480344502541, 12.908906327277414]","[13.297129913874365, 13.447773418180647]",12.908906327277414,0.21425982774872945,933.4460972056204,72.0,935.403793915,929.4412555639738,-5.96253835131,-0.0063742935298
5,201,2014-09-19 00:00:00,13.2971299139,[12.908906327277414],[13.447773418180647],12.908906327277414,0.215546836361293,927.8725838720553,70.0,930.799093971,903.6234429094189,-27.1756510618,-0.0291960437411
6,225,2014-10-23 00:00:00,13.34,"[12.851960063746287, 13.316370509654472, 13.573186884963162]","[13.499509984063428, 14.027157372586382, 14.294203278759209]",13.573186884963162,0.25901996812685624,772.1412424159093,58.0,773.72,787.2448393278634,13.5248393279,0.0174802762341
7,228,2014-10-28 00:00:00,13.4995099841,"[13.316370509654472, 13.573186884963162]","[14.027157372586382, 14.294203278759209]",13.573186884963162,0.2843147451727634,703.4457529751766,52.0,701.974519171,705.8057180180845,3.83119884679,0.00545774631722
8,230,2014-10-30 00:00:00,14.0271573726,[13.573186884963162],[14.294203278759209],13.573186884963162,0.28840655751841904,693.4655082772417,49.0,687.330711257,665.086157363195,-22.2445538935,-0.0323636839286
9,267,2014-12-23 00:00:00,14.27,"[13.67532526874553, 13.884467002290698]","[14.456168682813619, 14.628883249427325]",13.884467002290698,0.31233736562723546,640.3332486280028,45.0,642.15,624.8010151030815,-17.3489848969,-0.0270170285711
10,270,2014-12-29 00:00:00,14.4561686828,[13.884467002290698],[14.628883249427325],13.884467002290698,0.29776649885465095,671.667231771517,46.0,664.983759409,638.6854821053721,-26.2982773041,-0.0395472474808
11,373,2015-05-28 00:00:00,13.79,[13.386906772294623],[14.090773306926343],13.386906772294623,0.2815466138526881,710.3619442024076,52.0,717.08,696.1191521593204,-20.9608478407,-0.0292308359467
12,382,2015-06-10 00:00:00,13.95,"[13.513723830165363, 13.743447400671446, 13.916281965150681, 14.136967866893146, 14.50125092487751, 14.663779736716856]","[14.196569042458659, 14.401638149832138, 14.558429508712329, 14.790758033276713, 15.174687268780621, 15.384055065820785]",14.663779736716856,0.27313808491731845,732.2303664117069,52.0,725.4,762.5165463092766,37.1165463093,0.0511670062163
13,387,2015-06-17 00:00:00,14.1965690425,"[13.743447400671446, 13.916281965150681, 14.136967866893146, 14.50125092487751, 14.663779736716856]","[14.401638149832138, 14.558429508712329, 14.790758033276713, 15.174687268780621, 15.384055065820785]",14.663779736716856,0.2632762996642772,759.6582003584622,54.0,766.614728293,791.8441057827102,25.2293774899,0.0329101132014
14,390,2015-06-22 00:00:00,14.4016381498,"[13.916281965150681, 14.136967866893146, 14.50125092487751, 14.663779736716856]","[14.558429508712329, 14.790758033276713, 15.174687268780621, 15.384055065820785]",14.663779736716856,0.25685901742465966,778.637254028517,54.0,777.688460091,791.8441057827102,14.1556456918,0.0182022061766
15,391,2015-06-23 00:00:00,14.5584295087,"[14.136967866893146, 14.50125092487751, 14.663779736716856]","[14.790758033276713, 15.174687268780621, 15.384055065820785]",14.663779736716856,0.2615160665534267,764.771368106903,53.0,771.596763962,777.1803260459934,5.58356208424,0.00723637312263
