,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,51,2009-04-16 00:00:00,40.398,[37.348913891704491],[41.712771527073883],37.34891389170449,1.7455430541477561,114.57752332419437,3.0,121.194,112.04674167511348,-9.14725832489,-0.075476164867
1,63,2009-05-04 00:00:00,41.21,"[38.648645258655272, 39.962212995722503, 41.186602345936379, 42.081772228639558]","[42.687838685336189, 43.996946751069373, 45.215849413515905, 46.329556942840107]",42.08177222863956,1.6156773706723668,123.78708994158262,3.0,123.63,126.24531668591868,2.61531668592,0.021154385553
2,64,2009-05-05 00:00:00,42.6878386853,"[39.962212995722503, 41.186602345936379, 42.081772228639558]","[43.996946751069373, 45.215849413515905, 46.329556942840107]",42.08177222863956,1.6138935021387482,123.92391427002956,3.0,128.063516056,126.24531668591868,-1.81819937009,-0.0141976374387
3,65,2009-05-06 00:00:00,43.9969467511,"[41.186602345936379, 42.081772228639558]","[45.215849413515905, 46.329556942840107]",42.08177222863956,1.6116988270318102,124.09266337205852,3.0,131.990840253,126.24531668591868,-5.74552356729,-0.0435297143064
4,66,2009-05-07 00:00:00,45.2158494135,[42.081772228639558],[46.329556942840107],42.08177222863956,1.6991138856802195,117.70841359461461,3.0,135.647548241,126.24531668591868,-9.40223155463,-0.0693136859205
5,78,2009-05-26 00:00:00,45.48,"[42.918002117850399, 44.828396911359988, 47.204477065791991, 48.924753212502388, 49.969515551877265]","[47.320499470537399, 49.455400772160004, 51.936380733552006, 53.643811696874408, 54.695121112030684]",49.969515551877265,1.7609989410747993,113.57190247822238,2.0,90.96,99.93903110375453,8.97903110375,0.0987140622664
6,80,2009-05-28 00:00:00,47.3204994705,"[44.828396911359988, 47.204477065791991, 48.924753212502388, 49.969515551877265]","[49.455400772160004, 51.936380733552006, 53.643811696874408, 54.695121112030684]",49.969515551877265,1.850801544320006,108.06128869612598,2.0,94.6409989411,99.93903110375453,5.29803216268,0.0559803068645
7,81,2009-05-29 00:00:00,49.4554007722,"[47.204477065791991, 48.924753212502388, 49.969515551877265]","[51.936380733552006, 53.643811696874408, 54.695121112030684]",49.969515551877265,1.892761467104006,105.6657183041703,2.0,98.9108015443,99.93903110375453,1.02822955943,0.0103955234755
8,82,2009-06-01 00:00:00,51.9363807336,"[48.924753212502388, 49.969515551877265]","[53.643811696874408, 54.695121112030684]",49.969515551877265,1.887623393748806,105.95333828894834,2.0,103.872761467,99.93903110375453,-3.93373036335,-0.0378706631824
9,83,2009-06-02 00:00:00,53.6438116969,[49.969515551877265],[54.695121112030684],49.969515551877265,1.8902422240613657,105.80654556021975,2.0,107.287623394,99.93903110375453,-7.34859228999,-0.0684943151646
10,113,2009-07-15 00:00:00,53.76,"[50.688481532126289, 51.998929548426439, 53.338633917454864, 54.212202221582118, 55.441092110503007, 57.232115926163878, 58.132374873362899]","[54.965379616968427, 55.97526761289339, 57.427841520636285, 58.284449444604469, 59.502226972374245, 61.241846018459036, 62.079406281659274]",58.1323748733629,1.7107592339368547,116.90715796386702,2.0,107.52,116.2647497467258,8.74474974673,0.0813313778527
11,117,2009-07-21 00:00:00,54.965379617,"[51.998929548426439, 53.338633917454864, 54.212202221582118, 55.441092110503007, 57.232115926163878, 58.132374873362899]","[55.97526761289339, 57.427841520636285, 58.284449444604469, 59.502226972374245, 61.241846018459036, 62.079406281659274]",58.1323748733629,1.5905352257867804,125.74383563310722,2.0,109.930759234,116.2647497467258,6.33399051279,0.0576180002479
12,119,2009-07-23 00:00:00,55.9752676129,"[53.338633917454864, 54.212202221582118, 55.441092110503007, 57.232115926163878, 58.132374873362899]","[57.427841520636285, 58.284449444604469, 59.502226972374245, 61.241846018459036, 62.079406281659274]",58.1323748733629,1.6356830412725691,122.27307794571193,2.0,111.950535226,116.2647497467258,4.31421452094,0.0385367922738
13,120,2009-07-24 00:00:00,57.4278415206,"[54.212202221582118, 55.441092110503007, 57.232115926163878, 58.132374873362899]","[58.284449444604469, 59.502226972374245, 61.241846018459036, 62.079406281659274]",58.1323748733629,1.6288988892089407,122.78232941587191,2.0,114.855683041,116.2647497467258,1.40906670545,0.0122681496304
14,121,2009-07-27 00:00:00,58.2844494446,"[55.441092110503007, 57.232115926163878, 58.132374873362899]","[59.502226972374245, 61.241846018459036, 62.079406281659274]",58.1323748733629,1.6244539447484936,123.11829501018266,2.0,116.568898889,116.2647497467258,-0.304149142483,-0.00260917916684
15,126,2009-08-03 00:00:00,59.5022269724,"[57.232115926163878, 58.132374873362899]","[61.241846018459036, 62.079406281659274]",58.1323748733629,1.6038920369180627,124.69667246699929,2.0,119.004453945,116.2647497467258,-2.73970419802,-0.0230218626884
16,128,2009-08-05 00:00:00,61.2418460185,[58.132374873362899],[62.079406281659274],58.1323748733629,1.5788125633185517,126.67748195492835,2.0,122.483692037,116.2647497467258,-6.21894229019,-0.0507736351409
17,144,2009-08-27 00:00:00,61.3,[60.691323271400947],[65.089669182149748],60.69132327140095,1.7593383642995224,113.67909894901295,2.0,122.6,121.3826465428019,-1.2173534572,-0.00992947354974
18,157,2009-09-16 00:00:00,64.21,"[61.149970452924677, 62.232463915161361]","[65.212507386768834, 66.054384021209671]",62.23246391516136,1.6250147735376643,123.0758041445981,2.0,128.42,124.46492783032272,-3.95507216968,-0.0307979455667
19,162,2009-09-23 00:00:00,65.2125073868,[62.232463915161361],[66.054384021209671],62.23246391516136,1.5287680424193244,130.82429410513683,2.0,130.425014774,124.46492783032272,-5.96008694321,-0.0456974220288
20,282,2010-03-17 00:00:00,73.99,[nan],[nan],,,,,,,,
