,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,63,2009-05-04 00:00:00,9.14,"[8.1147342306572217, 9.3880576431681426, 10.345792272959249]","[9.6713164423356943, 11.027860589207963, 12.076051931760189]",10.34579227295925,0.6226328846713888,321.2165706691759,35.0,319.9,362.10272955357374,42.2027295536,0.131924756341
1,65,2009-05-06 00:00:00,9.67131644234,"[9.3880576431681426, 10.345792272959249]","[11.027860589207963, 12.076051931760189]",10.34579227295925,0.6559211784159283,304.9146857599669,32.0,309.482126155,331.065352734696,21.58322658,0.0697398161507
2,67,2009-05-08 00:00:00,11.0278605892,[10.345792272959249],[12.076051931760189],10.34579227295925,0.6921038635203753,288.97396841957095,26.0,286.724375319,268.99059909694046,-17.7337762225,-0.0618495591898
3,82,2009-06-01 00:00:00,11.73,"[10.342403016018533, 10.870449373612647, 11.307426904932015]","[12.151899245995367, 12.619887656596838, 13.048143273766994]",11.307426904932015,0.7237984919907332,276.32000095761543,24.0,281.52,271.37824571836836,-10.1417542816,-0.0360249867918
4,87,2009-06-08 00:00:00,12.151899246,"[10.870449373612647, 11.307426904932015]","[12.619887656596838, 13.048143273766994]",11.307426904932015,0.6997753131936757,285.8060240611065,24.0,291.645581904,271.37824571836836,-20.2673361855,-0.0694930334731
5,88,2009-06-09 00:00:00,12.6198876566,[11.307426904932015],[13.048143273766994],11.307426904932015,0.6962865475339919,287.2380641394429,23.0,290.257416102,260.07081881343635,-30.1865972883,-0.103999400579
6,126,2009-08-03 00:00:00,12.84,"[11.865424436163577, 12.423742737157959, 13.052422679270805, 13.510086468041903, nan]","[13.283643890959105, 13.95656431571051, 14.599394330182298, 15.009978382989525, nan]",,0.5672877819182116,352.55474624136167,27.0,346.68,,,
7,130,2009-08-07 00:00:00,13.283643891,"[12.423742737157959, 13.052422679270805, 13.510086468041903, nan]","[13.95656431571051, 14.599394330182298, 15.009978382989525, nan]",,0.6131286314210205,326.1958253955113,25.0,332.091097274,,,
8,133,2009-08-12 00:00:00,13.9565643157,"[13.052422679270805, 13.510086468041903, nan]","[14.599394330182298, 15.009978382989525, nan]",,0.6187886603645973,323.2121284869017,23.0,321.000979261,,,
9,135,2009-08-14 00:00:00,14.5993943302,"[13.510086468041903, nan]","[15.009978382989525, nan]",,0.599956765979049,333.35735396470915,23.0,335.786069594,,,
10,145,2009-08-28 00:00:00,15.009978383,[nan],[nan],,,,,,,,
