,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,51,2014-11-17 00:00:00,52.98,[51.429018577220106],[53.742745355694979],51.429018577220106,0.9254907113899487,216.10157459022997,4.0,211.92,205.71607430888042,-6.20392569112,-0.0292748475421
1,121,2015-03-02 00:00:00,51.91,[50.457683976652227],[52.485579005836939],50.45768397665223,0.811158011673885,246.561085659852,5.0,259.55,252.28841988326113,-7.26158011674,-0.0279775770246
2,174,2015-05-15 00:00:00,51.3,"[50.367336861359284, 51.171846517376757, 51.636844191507926]","[52.020665784660174, 52.86953837065581, 53.340913952123024]",51.636844191507926,0.6613315693203561,302.4201615016474,6.0,307.8,309.82106514904757,2.02106514905,0.00656616357715
3,176,2015-05-19 00:00:00,52.0206657847,"[51.171846517376757, 51.636844191507926]","[52.86953837065581, 53.340913952123024]",51.636844191507926,0.6790767413116214,294.517523326899,6.0,312.123994708,309.82106514904757,-2.30292955891,-0.00737825222655
4,177,2015-05-20 00:00:00,52.8695383707,[51.636844191507926],[53.340913952123024],51.636844191507926,0.6816279042460404,293.4152178250731,6.0,317.217230224,309.82106514904757,-7.39616507489,-0.0233157734517
5,200,2015-06-23 00:00:00,53.08,"[52.141616486619228, 52.994035662288262]","[53.57709587834519, 54.48899108442793]",52.99403566228826,0.5741917566903865,348.31569361564914,7.0,371.56,370.95824963601785,-0.601750363982,-0.00161952407143
6,201,2015-06-24 00:00:00,53.5770958783,[52.994035662288262],[54.48899108442793],52.99403566228826,0.597982168855867,334.4581333966272,6.0,321.46257527,317.96421397372956,-3.49836129634,-0.0108826394283
7,275,2015-10-08 00:00:00,53.95,"[52.985163451830296, 53.533702015276845]","[55.091209137042426, 55.59157449618079]",53.533702015276845,0.8424182740848526,237.4117539381096,4.0,215.8,214.13480806110738,-1.66519193889,-0.00771636672332
8,277,2015-10-12 00:00:00,55.091209137,[53.533702015276845],[55.59157449618079],53.533702015276845,0.823148992361579,242.9693796091624,4.0,220.364836548,214.13480806110738,-6.23002848706,-0.0282714274412
9,286,2015-10-23 00:00:00,55.18,[53.843536804008821],[55.914115798997791],53.84353680400882,0.8282315979955894,241.47835035999805,4.0,220.72,215.37414721603528,-5.34585278396,-0.0242200651684
10,307,2015-11-23 00:00:00,55.5,"[53.908690915207288, 55.069256369446926, 55.912478873425847, 56.889935120398313, 58.138487898851508, 58.900685328713479, 59.530660954520435]","[56.397827271198175, 57.595185907638275, 58.421880281643539, 59.40251621990042, 60.71537802528713, 61.449828667821627, 61.992334761369889]",59.530660954520435,0.9956545423963552,200.87288460376752,4.0,222.0,238.12264381808174,16.1226438181,0.0726245217031
11,308,2015-11-24 00:00:00,56.3978272712,"[55.069256369446926, 55.912478873425847, 56.889935120398313, 58.138487898851508, 58.900685328713479, 59.530660954520435]","[57.595185907638275, 58.421880281643539, 59.40251621990042, 60.71537802528713, 61.449828667821627, 61.992334761369889]",59.530660954520435,1.0103718152765377,197.9469309971401,4.0,225.591309085,238.12264381808174,12.5313347333,0.0555488364518
12,310,2015-11-27 00:00:00,57.5951859076,"[55.912478873425847, 56.889935120398313, 58.138487898851508, 58.900685328713479, 59.530660954520435]","[58.421880281643539, 59.40251621990042, 60.71537802528713, 61.449828667821627, 61.992334761369889]",59.530660954520435,1.0037605632870756,199.2507051134265,3.0,172.785557723,178.5919828635613,5.80642514065,0.0336048059639
13,314,2015-12-03 00:00:00,58.4218802816,"[56.889935120398313, 58.138487898851508, 58.900685328713479, 59.530660954520435]","[59.40251621990042, 60.71537802528713, 61.449828667821627, 61.992334761369889]",59.530660954520435,1.0050324398008432,198.9985517677737,3.0,175.265640845,178.5919828635613,3.32634201863,0.0189788597616
14,317,2015-12-08 00:00:00,59.4025162199,"[58.138487898851508, 58.900685328713479, 59.530660954520435]","[60.71537802528713, 61.449828667821627, 61.992334761369889]",59.530660954520435,1.0307560505742481,194.0323317904147,3.0,178.20754866,178.5919828635613,0.38443420386,0.00215722738319
15,319,2015-12-10 00:00:00,60.7153780253,"[58.900685328713479, 59.530660954520435]","[61.449828667821627, 61.992334761369889]",59.530660954520435,1.0196573356432586,196.14432516569744,3.0,182.146134076,178.5919828635613,-3.5541512123,-0.019512635996
16,323,2015-12-16 00:00:00,61.4498286678,[59.530660954520435],[61.992334761369889],59.530660954520435,0.9846695227397824,203.1138319824425,3.0,184.349486003,178.5919828635613,-5.7575031399,-0.0312314575143
