,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,65,2009-05-06 00:00:00,32.5,"[30.037021781580442, 32.037537157876343]","[33.25324455460489, 35.315615710530906]",32.03753715787634,1.2864891092097792,155.4618679382752,5.0,162.5,160.1876857893817,-2.31231421062,-0.0142296259115
1,67,2009-05-08 00:00:00,33.2532445546,[32.037537157876343],[35.315615710530906],32.03753715787634,1.3112314210618254,152.52837659887794,5.0,166.266222773,160.1876857893817,-6.07853698364,-0.0365590610183
2,78,2009-05-26 00:00:00,35.12,"[32.700699845540647, 34.256846280070413, 35.988503966066887]","[36.187325038614844, 37.723288429982397, 39.502874008483275]",35.98850396606689,1.3946500772296786,143.405147474181,4.0,140.48,143.95401586426755,3.47401586427,0.0247296117901
3,81,2009-05-29 00:00:00,36.1873250386,"[34.256846280070413, 35.988503966066887]","[37.723288429982397, 39.502874008483275]",35.98850396606689,1.3865768599647956,144.2401108619957,4.0,144.749300154,143.95401586426755,-0.795284290192,-0.00549421855127
4,82,2009-06-01 00:00:00,37.72328843,[35.988503966066887],[39.502874008483275],35.98850396606689,1.4057480169665557,142.27300880820536,4.0,150.89315372,143.95401586426755,-6.93913785566,-0.0459870954022
5,117,2009-07-21 00:00:00,38.8,"[36.391241406324362, 37.445335113960908]","[39.639689648418909, 40.638666221509773]",37.44533511396091,1.2993792968378188,153.91964493102344,4.0,155.2,149.78134045584363,-5.41865954416,-0.0349140434546
6,124,2009-07-30 00:00:00,39.6396896484,[37.445335113960908],[40.638666221509773],37.44533511396091,1.2773324430195463,156.57630955275087,4.0,158.558758594,149.78134045584363,-8.77741813783,-0.0553575104629
7,127,2009-08-04 00:00:00,40.0,[38.020871693332232],[41.382282076666939],38.02087169333223,1.344564153333883,148.74708618707007,4.0,160.0,152.08348677332893,-7.91651322667,-0.0494782076667
8,153,2009-09-10 00:00:00,40.71,"[39.545806269083123, 40.559515955628967, 42.51154015784752]","[42.43854843272922, 43.46012101109276, 45.609614960538124]",42.51154015784752,1.1570968654584397,172.84637610763932,4.0,162.84,170.04616063139008,7.20616063139,0.044253012966
9,154,2009-09-11 00:00:00,42.4385484327,"[40.559515955628967, 42.51154015784752]","[43.46012101109276, 45.609614960538124]",42.51154015784752,1.160242022185518,172.3778282252397,4.0,169.754193731,170.04616063139008,0.291966900473,0.00171993924896
10,155,2009-09-14 00:00:00,43.4601210111,[42.51154015784752],[45.609614960538124],42.51154015784752,1.2392299210762423,161.39055117899724,4.0,173.840484044,170.04616063139008,-3.79432341298,-0.0218264659917
11,233,2010-01-05 00:00:00,49.74,[nan],[nan],,,,,,,,
