,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,99,2011-10-24 00:00:00,23.24,[21.817323138311654],[23.82066921542209],21.817323138311654,0.8013384308441742,249.5824389569198,11.0,255.64,239.99055452142818,-15.6494454786,-0.0612167324307
1,148,2012-01-04 00:00:00,23.42,"[22.545143092673523, 22.96559664113785]","[24.011214226831623, 24.483600839715535]",22.96559664113785,0.5864284536632399,341.0475715335109,15.0,351.3,344.48394961706776,-6.81605038293,-0.019402363743
2,150,2012-01-06 00:00:00,24.0112142268,[22.96559664113785],[24.483600839715535],22.96559664113785,0.6072016794310742,329.3798531443337,14.0,336.156999176,321.51835297592993,-14.6386461997,-0.0435470516325
3,222,2012-04-20 00:00:00,22.43,[22.428589317428795],[23.580352670642803],22.428589317428795,0.4607053412856038,434.1169551928736,19.0,426.17,426.1431970311471,-0.0268029688529,-6.28926692468e-05
4,348,2012-10-18 00:00:00,19.379,[18.577977298966815],[19.580505675258294],18.577977298966815,0.40101135051659165,498.73900013641907,26.0,503.854,483.02740977313715,-20.8265902269,-0.0413345735607
5,471,2013-04-19 00:00:00,13.38,"[13.236526267241953, 13.891199953879854, 14.085649956185861]","[14.178368433189512, 14.877200011530036, 15.103587510953535]",14.085649956185861,0.3767368663790241,530.8745117574604,40.0,535.2,563.4259982474344,28.2259982474,0.0527391596551
6,472,2013-04-22 00:00:00,14.1783684332,"[13.891199953879854, 14.085649956185861]","[14.877200011530036, 15.103587510953535]",14.085649956185861,0.39440002306007294,507.09936183126706,36.0,510.421263595,507.083398422691,-3.33786517213,-0.00653943205388
7,473,2013-04-23 00:00:00,14.8772000115,[14.085649956185861],[15.103587510953535],14.085649956185861,0.4071750219070694,491.18926564617834,33.0,490.94760038,464.82644855413344,-26.1211518264,-0.053205579997
8,528,2013-07-11 00:00:00,14.3,[13.77078339168636],[14.557304152078411],13.77078339168636,0.3146083041568208,635.7111282743106,44.0,629.2,605.9144692341998,-23.2855307658,-0.0370081544275
9,541,2013-07-30 00:00:00,14.54,"[14.174618706144303, 14.737371902521449, 15.079587642025606]","[15.081345323463925, 15.665657024369638, 16.030103089493597]",15.079587642025606,0.3626906469278484,551.4341262838985,38.0,552.52,573.024330396973,20.504330397,0.0371105668518
10,545,2013-08-05 00:00:00,15.0813453235,"[14.737371902521449, 15.079587642025606]","[15.665657024369638, 16.030103089493597]",15.079587642025606,0.3713140487392759,538.6276136845908,36.0,542.928431645,542.8651551129218,-0.0632765317795,-0.00011654672714
11,547,2013-08-07 00:00:00,15.6656570244,[15.079587642025606],[16.030103089493597],15.079587642025606,0.38020617898719655,526.0303778669914,34.0,532.632338829,512.7059798288706,-19.9263589997,-0.0374110949469
12,573,2013-09-13 00:00:00,15.84,"[15.367370847498329, 15.648823189867239]","[16.119407288125419, 16.38779420253319]",15.648823189867239,0.30081457625083624,664.8613989809745,42.0,665.28,657.250573974424,-8.02942602558,-0.0120692430639
13,575,2013-09-17 00:00:00,16.1194072881,[15.648823189867239],[16.38779420253319],15.648823189867239,0.2955884050663796,676.6165268055303,42.0,677.015106101,657.250573974424,-19.7645321268,-0.0291936353395
14,597,2013-10-17 00:00:00,16.25,"[15.690756136085895, 15.989758329281603, 16.536450412817523, 16.790896497567811]","[16.464810965978526, 16.772060417679601, 17.365887396795618, 17.614775875608046]",16.79089649756781,0.30962193195705157,645.949073232133,40.0,650.0,671.6358599027125,21.6358599027,0.0332859383119
15,598,2013-10-18 00:00:00,16.464810966,"[15.989758329281603, 16.536450412817523, 16.790896497567811]","[16.772060417679601, 17.365887396795618, 17.614775875608046]",16.79089649756781,0.3129208353591991,639.1392882817206,39.0,642.127627673,654.8449634051447,12.717335732,0.019804996988
16,599,2013-10-21 00:00:00,16.7720604177,"[16.536450412817523, 16.790896497567811]","[17.365887396795618, 17.614775875608046]",16.79089649756781,0.33177479359123907,602.8185500023509,36.0,603.794175036,604.4722739124412,0.678098875976,0.00112306296419
17,601,2013-10-23 00:00:00,17.3658873968,[16.790896497567811],[17.614775875608046],16.79089649756781,0.32955175121609337,606.8849558892381,35.0,607.806058888,587.6813774148734,-20.124681473,-0.0331103666683
18,723,2014-04-21 00:00:00,15.6,[15.130631067755637],[15.804842233061091],15.130631067755637,0.26968446612218117,741.60741579157,48.0,748.8,726.2702912522706,-22.5297087477,-0.0300877520669
19,763,2014-06-17 00:00:00,15.67,[15.307850072365676],[15.810537481908582],15.307850072365676,0.201074963817162,994.6539151530596,63.0,987.21,964.3945545590376,-22.815445441,-0.0231110355861
20,766,2014-06-20 00:00:00,15.71,"[15.342189205794522, 15.535579745504796, 16.089260720318077, 16.470457800087065, 16.708434910082712]","[15.85195269855137, 16.066105063623802, 16.702684819920478, 17.119885549978232, 17.372891272479322]",16.708434910082712,0.20390539710273928,980.84701455562,62.0,974.02,1035.9229644251282,61.9029644251,0.0635540999416
21,767,2014-06-23 00:00:00,15.8519526986,"[15.535579745504796, 16.089260720318077, 16.470457800087065, 16.708434910082712]","[16.066105063623802, 16.702684819920478, 17.119885549978232, 17.372891272479322]",16.708434910082712,0.21221012724760238,942.4620897882227,59.0,935.265209215,985.79765969488,50.5324504803,0.0540300761565
22,769,2014-06-25 00:00:00,16.0661050636,"[16.089260720318077, 16.470457800087065, 16.708434910082712]","[16.702684819920478, 17.119885549978232, 17.372891272479322]",16.708434910082712,0.24536963984096105,815.0967663710642,51.0,819.371358245,852.1301804142183,32.7588221694,0.0399804335846
23,771,2014-06-27 00:00:00,16.7026848199,"[16.470457800087065, 16.708434910082712]","[17.119885549978232, 17.372891272479322]",16.708434910082712,0.2597710999564674,769.9085850331932,46.0,768.323501716,768.5880058638047,0.264504147463,0.000344261430077
24,772,2014-06-30 00:00:00,17.11988555,[16.708434910082712],[17.372891272479322],16.708434910082712,0.265782544958644,752.494863916365,44.0,753.274964199,735.1711360436393,-18.1038281554,-0.0240334924375
25,975,2015-04-21 00:00:00,5.9,"[5.5487547614008736, 5.9782761721642892]","[6.0753113096497815, 6.5554309569589284]",5.978276172164289,0.21062261929956297,949.5656291100687,161.0,949.9,962.5024637184506,12.6024637185,0.0132671478245
26,977,2015-04-23 00:00:00,6.07531130965,[5.9782761721642892],[6.5554309569589284],5.978276172164289,0.2308619139178556,866.318729693817,143.0,868.76951728,854.8934926194934,-13.8760246604,-0.0159720436599
27,979,2015-04-27 00:00:00,6.44,[6.0114942453782705],[6.6221264386554326],6.0114942453782705,0.24425287731086462,818.8235168483061,127.0,817.88,763.4597691630404,-54.420230837,-0.0665381606555
