,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,50,2009-04-15 00:00:00,14.545,"[13.467341880111228, 14.027474786105667, 15.042676194737346, 15.465042385000478, 16.110200752462934, 16.688027540410264]","[15.170664529972193, 15.743131303473584, 16.951830951315664, 17.40873940374988, 18.047449811884267, 18.515493114897431]",16.688027540410264,0.6813290599443861,293.5439154999863,20.0,290.9,333.76055080820527,42.8605508082,0.147337747708
1,51,2009-04-16 00:00:00,15.17066453,"[14.027474786105667, 15.042676194737346, 15.465042385000478, 16.110200752462934, 16.688027540410264]","[15.743131303473584, 16.951830951315664, 17.40873940374988, 18.047449811884267, 18.515493114897431]",16.688027540410264,0.6862626069471668,291.43362610079873,19.0,288.242626069,317.072523267795,28.8298971983,0.100019548085
2,54,2009-04-21 00:00:00,15.7431313035,"[15.042676194737346, 15.465042385000478, 16.110200752462934, 16.688027540410264]","[16.951830951315664, 17.40873940374988, 18.047449811884267, 18.515493114897431]",16.688027540410264,0.7636619026313272,261.8960030752692,17.0,267.633232159,283.69646818697447,16.0632360279,0.0600195868739
3,55,2009-04-22 00:00:00,16.9518309513,"[15.465042385000478, 16.110200752462934, 16.688027540410264]","[17.40873940374988, 18.047449811884267, 18.515493114897431]",16.688027540410264,0.7774788074997607,257.24173838662676,15.0,254.27746427,250.32041310615395,-3.95705116358,-0.01556194205
4,57,2009-04-24 00:00:00,17.4087394037,"[16.110200752462934, 16.688027540410264]","[18.047449811884267, 18.515493114897431]",16.688027540410264,0.7748996237685339,258.09794438581497,15.0,261.131091056,250.32041310615395,-10.8106779501,-0.0413994285643
5,66,2009-05-07 00:00:00,18.0474498119,[16.688027540410264],[18.515493114897431],16.688027540410264,0.7309862297948666,273.6029652106102,15.0,270.711747178,250.32041310615395,-20.3913340721,-0.0753248955195
6,82,2009-06-01 00:00:00,18.15,[16.848095170028742],[18.750476207492817],16.848095170028742,0.7609524149856288,262.82852391470124,14.0,254.1,235.8733323804024,-18.2266676196,-0.0717302936623
7,119,2009-07-23 00:00:00,18.37,"[17.009064647043402, 17.428730843956671]","[18.79773383823915, 19.142817289010832]",17.42873084395667,0.7154676764782992,279.5374362465223,15.0,275.55,261.4309626593501,-14.1190373406,-0.051239475016
8,121,2009-07-27 00:00:00,18.7977338382,[17.428730843956671],[19.142817289010832],17.42873084395667,0.685634578021665,291.70057405372035,16.0,300.763741412,278.85969350330674,-21.9040479085,-0.0728280869419
9,142,2009-08-25 00:00:00,18.8,"[17.712876010411364, 18.100179569426444]","[19.096780997397158, 19.46245510764339]",18.100179569426444,0.553561994794318,361.29647967308915,19.0,357.2,343.9034118191024,-13.2965881809,-0.037224490988
10,145,2009-08-28 00:00:00,19.0967809974,[18.100179569426444],[19.46245510764339],18.100179569426444,0.5449102152867786,367.0329430229947,19.0,362.838838951,343.9034118191024,-18.9354271314,-0.0521868805065
11,157,2009-09-16 00:00:00,19.19,"[18.164857558384572, 18.560114680465343, 19.538380824163976]","[19.496285610403856, 19.909971329883664, 20.915404793959006]",19.538380824163976,0.5325712208077136,375.5366271888931,20.0,383.8,390.76761648327954,6.96761648328,0.0181542899512
12,158,2009-09-17 00:00:00,19.4962856104,"[18.560114680465343, 19.538380824163976]","[19.909971329883664, 20.915404793959006]",19.538380824163976,0.5399426597673279,370.4097025528303,19.0,370.429426598,371.22923565911555,0.799809061442,0.00215914018708
13,161,2009-09-22 00:00:00,19.9099713299,[19.538380824163976],[20.915404793959006],19.538380824163976,0.5508095879180129,363.1018856370555,18.0,358.379483938,351.69085483495155,-6.68862910295,-0.0186635379611
14,308,2010-04-23 00:00:00,17.76,[nan],[nan],,,,,,,,
