,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,49.33,49.69,49.03,49.12,43695,0.17,0.35%,49.12,2.16m,355
2,08/03/17,47.70,49.22,47.70,48.95,124892,0.89,1.85%,48.95,6.07m,980
3,08/02/17,50.17,50.59,48.00,48.06,102831,-2.92,-5.73%,48.06,5.06m,887
4,08/01/17,47.99,51.02,47.99,50.98,165464,2.99,6.23%,50.98,8.26m,1181
5,07/31/17,47.40,48.97,47.04,47.99,145677,0.79,1.67%,47.99,6.94m,1260
6,07/28/17,42.52,47.63,42.27,47.20,142696,4.86,11.48%,47.20,6.42m,1321
7,07/27/17,42.69,42.69,40.955,42.34,79843,-0.15,-0.35%,42.34,3.35m,639
8,07/26/17,41.90,42.49,40.081,42.49,44175,0.64,1.53%,42.49,1.83m,484
9,07/25/17,42.21,42.41,40.00,41.85,82955,-0.82,-1.92%,41.85,3.45m,930
10,07/24/17,41.30,43.50,40.83,42.67,87889,1.28,3.09%,42.67,3.73m,921
11,07/21/17,41.51,41.59,40.56,41.39,79966,0.26,0.63%,41.39,3.29m,685
12,07/20/17,40.93,41.39,40.00,41.13,118459,0.56,1.38%,41.13,4.86m,1023
13,07/19/17,39.83,40.82,39.78,40.57,34629,0.73,1.83%,40.57,1.39m,336
14,07/18/17,39.8499,40.16,39.15,39.84,28532,-0.02,-0.05%,39.84,1.13m,273
15,07/17/17,39.99,40.30,39.56,39.86,50731,-0.02,-0.05%,39.86,2.03m,508
16,07/14/17,39.93,40.51,39.57,39.88,103404,-0.24,-0.60%,39.88,4.14m,882
17,07/13/17,40.43,40.82,39.00,40.12,310935,-0.31,-0.77%,40.12,12.46m,2212
18,07/12/17,39.96,41.3938,39.81,40.43,256702,0.74,1.86%,40.43,10.29m,1187
19,07/11/17,39.07,39.69,39.06,39.69,55423,0.20,0.51%,39.69,2.18m,512
20,07/10/17,38.66,39.67,38.29,39.49,159456,1.06,2.76%,39.49,6.22m,946
21,07/07/17,38.55,38.72,38.30,38.43,68865,-0.37,-0.95%,38.43,2.66m,677
22,07/06/17,38.65,38.91,38.185,38.80,96421,-0.14,-0.36%,38.80,3.73m,765
23,07/05/17,39.10,39.13,38.365,38.94,110199,-0.23,-0.59%,38.94,4.29m,763
24,06/30/17,39.11,39.38,38.67,39.04,46229,0.23,0.59%,39.04,1.8m,598
25,06/29/17,39.33,39.33,38.73,38.81,31287,-0.28,-0.72%,38.81,1.22m,302
26,06/28/17,37.91,39.09,37.91,39.09,26826,1.40,3.71%,39.09,1.04m,216
27,06/27/17,38.50,39.0335,37.67,37.69,26801,-1.27,-3.26%,37.69,1.03m,354
28,06/26/17,40.00,40.00,38.37,38.96,94307,-0.93,-2.33%,38.96,3.7m,717
29,06/23/17,39.33,40.00,38.535,39.89,74797,0.25,0.63%,39.89,2.96m,568
30,06/22/17,39.00,39.93,37.3266,39.64,182030,0.28,0.71%,39.64,7.18m,888
31,06/21/17,38.10,39.90,37.95,39.36,114325,1.46,3.85%,39.36,4.45m,884
32,06/20/17,37.79,38.16,37.27,37.90,61250,0.60,1.61%,37.90,2.32m,399
33,06/19/17,37.00,37.80,36.70,37.30,33851,0.30,0.81%,37.30,1.26m,356
34,06/16/17,37.80,37.80,36.20,37.00,35422,0.24,0.65%,37.00,1.31m,245
35,06/15/17,36.22,38.545,36.22,36.76,184617,0.70,1.94%,36.76,6.93m,621
36,06/14/17,36.38,36.70,36.05,36.06,29938,-0.07,-0.19%,36.06,1.09m,329
37,06/13/17,35.81,36.6436,35.66,36.13,23446,0.08,0.22%,36.13,848.62k,259
38,06/12/17,36.41,36.50,36.00,36.05,65294,-0.60,-1.64%,36.05,2.36m,488
39,06/09/17,36.59,36.8521,36.00,36.65,31444,0.24,0.66%,36.65,1.15m,465
40,06/08/17,36.43,36.82,35.54,36.41,38583,-0.10,-0.27%,36.41,1.39m,339
41,06/07/17,36.35,36.74,35.85,36.51,34185,0.03,0.08%,36.51,1.24m,511
42,06/06/17,35.75,37.00,35.47,36.48,53737,0.87,2.44%,36.48,1.95m,514
43,06/05/17,35.56,35.99,35.20,35.61,28185,0.07,0.20%,35.61,1m,297
44,06/02/17,37.60,37.60,35.52,35.54,51127,-1.93,-5.15%,35.54,1.85m,592
45,06/01/17,37.63,38.25,37.08,37.47,163569,-0.31,-0.82%,37.47,6.13m,454
46,05/31/17,38.36,39.00,36.5212,37.78,112891,-0.74,-1.92%,37.78,4.32m,411
47,05/30/17,38.60,39.00,37.94,38.52,47979,-0.38,-0.98%,38.52,1.85m,349
48,05/26/17,38.95,39.28,38.65,38.90,83019,-0.31,-0.79%,38.90,3.23m,627
49,05/25/17,38.75,39.60,38.61,39.21,135840,0.70,1.82%,39.21,5.31m,669
50,05/24/17,38.15,39.76,37.90,38.51,120626,0.19,0.50%,38.51,4.66m,760
51,05/23/17,36.94,38.48,36.57,38.32,90951,1.60,4.36%,38.32,3.42m,457
52,05/22/17,36.50,37.45,36.24,36.72,49773,0.16,0.44%,36.72,1.82m,341
53,05/19/17,36.4093,36.98,35.86,36.56,37343,0.38,1.05%,36.56,1.36m,365
54,05/18/17,36.10,36.50,36.10,36.18,25644,0.00,0.00%,36.18,929.68k,247
55,05/17/17,35.99,36.59,35.57,36.18,48201,0.00,0.00%,36.18,1.75m,420
56,05/16/17,36.11,37.5464,35.99,36.18,47267,-0.12,-0.33%,36.18,1.72m,386
