,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,148.63,151.22,148.33,151.01,397836,3.12,2.11%,151.01,59.77m,4638
2,08/03/17,146.32,147.90,144.5146,147.89,284485,1.45,0.99%,147.89,41.86m,3631
3,08/02/17,146.80,146.80,144.63,146.44,318116,-0.34,-0.23%,146.44,46.31m,4699
4,08/01/17,148.85,148.91,146.61,146.78,263206,-1.31,-0.88%,146.78,38.84m,3759
5,07/31/17,147.02,148.42,146.01,148.09,339038,1.84,1.26%,148.09,50.12m,4081
6,07/28/17,143.01,147.54,142.221,146.25,375370,3.28,2.29%,146.25,54.92m,5131
7,07/27/17,144.02,145.23,141.56,142.97,687741,-2.11,-1.45%,142.97,98.36m,6198
8,07/26/17,148.56,149.11,145.02,145.08,731352,-3.22,-2.17%,145.08,107.27m,7268
9,07/25/17,147.82,149.34,147.46,148.30,580889,1.00,0.68%,148.30,86.21m,5201
10,07/24/17,144.10,147.39,143.93,147.30,217200,3.20,2.22%,147.30,31.72m,2645
11,07/21/17,144.08,145.20,142.91,144.10,290782,-0.20,-0.14%,144.10,41.92m,1994
12,07/20/17,144.80,145.21,144.06,144.30,237163,-0.25,-0.17%,144.30,34.3m,2162
13,07/19/17,144.92,145.69,143.995,144.55,279274,0.21,0.15%,144.55,40.51m,3118
14,07/18/17,143.71,145.25,143.19,144.34,218568,0.30,0.21%,144.34,31.6m,2574
15,07/17/17,145.50,145.955,142.82,144.04,168029,-1.03,-0.71%,144.04,24.22m,2258
16,07/14/17,143.30,146.06,142.70,145.07,195051,2.08,1.45%,145.07,28.3m,2622
17,07/13/17,144.50,144.50,142.22,142.99,218631,-1.09,-0.76%,142.99,31.36m,2359
18,07/12/17,143.21,145.28,142.85,144.08,183436,2.02,1.42%,144.08,26.46m,3076
19,07/11/17,141.44,142.90,141.06,142.06,320140,0.91,0.64%,142.06,45.41m,4482
20,07/10/17,142.12,142.47,140.00,141.15,298932,-0.90,-0.63%,141.15,42.29m,3407
21,07/07/17,140.22,142.60,139.77,142.05,139908,2.09,1.49%,142.05,19.8m,2009
22,07/06/17,141.37,143.19,139.55,139.96,248553,-2.42,-1.70%,139.96,34.85m,3099
23,07/05/17,142.84,143.50,141.765,142.38,201400,0.09,0.06%,142.38,28.68m,3074
24,06/30/17,140.86,144.07,139.99,143.30,460611,3.06,2.18%,143.30,65.77m,4342
25,06/29/17,142.39,142.39,139.49,140.24,218284,-2.17,-1.52%,140.24,30.62m,3040
26,06/28/17,141.25,143.10,140.92,142.41,278714,1.94,1.38%,142.41,39.64m,2980
27,06/27/17,142.72,142.72,139.65,140.47,318361,-2.31,-1.62%,140.47,44.92m,4284
28,06/26/17,144.49,145.40,142.59,142.78,278431,-1.71,-1.18%,142.78,39.87m,3599
29,06/23/17,144.98,145.58,144.29,144.49,259200,-0.24,-0.17%,144.49,37.52m,2351
30,06/22/17,145.06,145.75,143.62,144.73,293761,-0.77,-0.53%,144.73,42.43m,3351
31,06/21/17,144.49,146.00,143.541,145.50,170028,1.04,0.72%,145.50,24.72m,1988
