,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,48.09,48.42,47.81,47.87,1393993,-0.17,-0.35%,47.87,66.89m,12120
2,08/03/17,47.56,48.19,47.462,48.04,1871311,0.53,1.12%,48.04,89.7m,15108
3,08/02/17,47.43,47.56,46.95,47.51,1763754,-0.02,-0.04%,47.51,83.46m,16500
4,08/01/17,47.43,47.63,47.12,47.53,1984444,0.39,0.83%,47.53,94.05m,15950
5,07/31/17,46.97,47.28,46.25,47.14,2575847,0.25,0.53%,47.14,120.68m,22093
6,07/28/17,46.06,47.265,45.903,46.89,2993447,0.88,1.91%,46.89,140.17m,25028
7,07/27/17,45.67,46.99,45.41,46.01,4634838,0.52,1.14%,46.01,213.51m,37854
8,07/26/17,49.95,50.00,45.41,45.49,15168502,-7.79,-14.62%,45.49,703.52m,96054
9,07/25/17,52.36,53.45,52.08,53.28,3503283,0.91,1.74%,53.28,185.57m,26899
10,07/24/17,52.15,52.45,52.04,52.37,1615375,0.24,0.46%,52.37,84.5m,14603
11,07/21/17,52.25,52.45,51.81,52.13,1303086,-0.23,-0.44%,52.13,67.95m,11431
12,07/20/17,52.10,52.64,51.80,52.36,1377155,0.26,0.50%,52.36,72.14m,13345
13,07/19/17,51.63,52.24,51.58,52.10,1195547,0.57,1.11%,52.10,62.12m,12024
14,07/18/17,51.69,51.83,51.19,51.53,1742288,-0.24,-0.46%,51.53,89.78m,10552
15,07/17/17,50.89,52.46,50.89,51.77,2520351,1.15,2.27%,51.77,130.55m,21566
16,07/14/17,50.20,50.68,50.10,50.62,1187125,0.54,1.08%,50.62,59.94m,12435
17,07/13/17,50.64,50.64,50.06,50.08,1085583,-0.47,-0.93%,50.08,54.56m,9732
18,07/12/17,50.14,50.83,50.07,50.55,1508855,0.72,1.44%,50.55,76.23m,13267
19,07/11/17,49.63,50.27,49.50,49.83,1005221,0.18,0.36%,49.83,50.11m,9573
20,07/10/17,49.31,49.78,49.11,49.65,1472542,0.41,0.83%,49.65,73.03m,11097
21,07/07/17,49.55,50.13,49.18,49.24,2019948,-0.12,-0.24%,49.24,99.72m,13999
22,07/06/17,50.63,50.63,49.27,49.36,2523928,-1.59,-3.12%,49.36,125.32m,20808
23,07/05/17,50.27,51.0201,50.01,50.95,1770144,0.86,1.72%,50.95,89.74m,15345
24,06/30/17,50.53,50.53,49.64,49.81,1545754,-0.43,-0.86%,49.81,77.19m,16011
25,06/29/17,50.28,50.45,49.131,50.24,2711759,-0.39,-0.77%,50.24,135.27m,22506
26,06/28/17,50.26,50.80,50.06,50.63,1171154,0.63,1.26%,50.63,59.26m,9657
27,06/27/17,50.73,51.14,50.00,50.00,1778857,-0.87,-1.71%,50.00,89.67m,17068
28,06/26/17,51.30,51.65,50.50,50.87,1569546,-0.43,-0.84%,50.87,79.9m,13884
29,06/23/17,50.12,51.51,49.92,51.30,6358993,1.28,2.56%,51.30,325.48m,19492
30,06/22/17,49.19,50.61,48.97,50.02,2648922,0.74,1.50%,50.02,131.94m,14294
31,06/21/17,48.78,49.34,48.43,49.28,1502896,0.64,1.32%,49.28,73.73m,10908
32,06/20/17,49.47,49.6805,48.61,48.64,1320403,-0.85,-1.72%,48.64,64.59m,12193
33,06/19/17,49.86,50.24,49.34,49.49,1925921,-0.01,-0.02%,49.49,95.56m,15259
34,06/16/17,48.92,49.57,48.50,49.50,5036206,0.31,0.63%,49.50,248.41m,16539
35,06/15/17,48.88,49.36,48.71,49.19,1502404,-0.06,-0.12%,49.19,73.69m,14454
36,06/14/17,49.84,49.95,48.97,49.25,1859946,-0.38,-0.77%,49.25,91.74m,18489
37,06/13/17,49.96,50.65,49.56,49.63,2209669,0.11,0.22%,49.63,110.38m,17960
38,06/12/17,47.84,49.65,47.66,49.52,2931115,1.39,2.89%,49.52,144.38m,26366
39,06/09/17,49.12,49.33,47.635,48.13,1958434,-0.78,-1.59%,48.13,94.85m,17609
40,06/08/17,48.55,48.94,48.30,48.91,1371431,0.37,0.76%,48.91,66.79m,12237
41,06/07/17,48.49,48.75,48.19,48.54,2338531,0.09,0.19%,48.54,113.39m,13731
42,06/06/17,48.89,49.06,48.3514,48.45,1697406,-0.46,-0.94%,48.45,82.74m,15136
43,06/05/17,48.45,49.06,48.39,48.91,1918381,0.38,0.78%,48.91,93.74m,16605
44,06/02/17,48.69,48.79,48.07,48.53,2031031,0.23,0.48%,48.53,98.32m,15385
45,06/01/17,47.23,48.32,47.08,48.30,1923890,1.15,2.44%,48.30,92.21m,14464
46,05/31/17,47.52,47.565,46.81,47.15,1991244,-0.28,-0.59%,47.15,93.9m,14228
47,05/30/17,47.29,47.67,47.05,47.43,1617691,0.04,0.08%,47.43,76.73m,12509
48,05/26/17,48.00,48.17,47.14,47.39,1446053,-0.67,-1.39%,47.39,68.71m,12726
49,05/25/17,47.68,48.395,47.5601,48.06,3859733,0.44,0.92%,48.06,185.67m,24567
50,05/24/17,47.54,47.92,47.16,47.62,1957835,0.21,0.44%,47.62,93.31m,14242
51,05/23/17,47.86,47.91,47.315,47.41,2326002,-0.34,-0.71%,47.41,110.4m,16245
52,05/22/17,47.60,47.99,47.58,47.75,1704906,0.37,0.78%,47.75,81.51m,13873
53,05/19/17,47.18,47.66,47.05,47.38,2788526,0.38,0.81%,47.38,132.29m,20811
54,05/18/17,47.50,47.70,46.90,47.00,4305810,-0.50,-1.05%,47.00,202.99m,26029
55,05/17/17,48.80,48.85,47.46,47.50,4037600,-1.65,-3.36%,47.50,193.72m,31598
56,05/16/17,50.07,50.24,49.12,49.15,2783502,-0.68,-1.36%,49.15,137.7m,19688
57,05/15/17,49.50,50.07,49.50,49.83,2662230,0.40,0.81%,49.83,132.81m,18034
58,05/12/17,49.60,49.82,49.28,49.43,2287084,-0.42,-0.84%,49.43,113.14m,15839
59,05/11/17,49.76,50.07,49.425,49.85,2698379,0.00,0.00%,49.85,134.46m,18461
60,05/10/17,50.47,50.50,49.65,49.85,3708313,-0.55,-1.09%,49.85,185.04m,24661
61,05/09/17,50.48,50.71,50.16,50.40,4523834,0.23,0.46%,50.40,228.03m,29126
62,05/08/17,52.09,52.17,50.12,50.17,5951968,-1.96,-3.76%,50.17,301.17m,40256
63,05/05/17,52.86,52.86,51.80,52.13,3882009,-0.73,-1.38%,52.13,202.63m,28271
64,05/04/17,53.13,54.0401,52.78,52.86,4593535,0.06,0.11%,52.86,244.61m,33693
65,05/03/17,53.90,54.86,52.01,52.80,15062973,-9.70,-15.52%,52.80,797.51m,97024
66,05/02/17,61.59,62.58,60.97,62.50,3000773,1.02,1.66%,62.50,186.33m,24795
67,05/01/17,61.19,61.79,60.77,61.48,1597529,0.54,0.89%,61.48,98.31m,14862
68,04/28/17,59.79,60.96,59.53,60.94,1767750,1.19,1.99%,60.94,106.81m,17201
69,04/27/17,60.34,60.43,58.96,59.75,4224075,-2.49,-4.00%,59.75,251.93m,30533
70,04/26/17,61.81,62.43,61.57,62.24,1155722,0.44,0.71%,62.24,71.91m,11604
71,04/25/17,61.42,61.86,61.33,61.80,1745750,0.41,0.67%,61.80,107.53m,13367
72,04/24/17,60.86,61.73,60.79,61.39,1954289,1.11,1.84%,61.39,120.01m,13765
