,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,13.00,13.279,12.97,13.20,136731,0.18,1.38%,13.20,1.8m,1435
2,08/03/17,13.16,13.18,12.96,13.02,143748,-0.12,-0.91%,13.02,1.88m,1343
3,08/02/17,12.99,13.30,12.7839,13.14,188430,0.11,0.84%,13.14,2.46m,2143
4,08/01/17,13.24,13.24,12.925,13.03,194484,-0.16,-1.21%,13.03,2.54m,1650
5,07/31/17,13.37,13.54,13.11,13.19,182541,-0.21,-1.57%,13.19,2.41m,1598
6,07/28/17,13.20,13.48,13.14,13.40,275292,0.11,0.83%,13.40,3.67m,2268
7,07/27/17,13.96,13.96,13.15,13.29,360597,-0.61,-4.39%,13.29,4.86m,2951
8,07/26/17,13.86,14.18,13.6647,13.90,249097,0.12,0.87%,13.90,3.48m,1872
9,07/25/17,14.10,14.11,13.6911,13.78,391127,-0.26,-1.85%,13.78,5.42m,3127
10,07/24/17,13.85,14.21,13.83,14.04,374091,0.22,1.59%,14.04,5.25m,2813
11,07/21/17,13.76,14.07,13.65,13.82,433208,0.15,1.10%,13.82,6.03m,2530
12,07/20/17,13.69,13.78,13.42,13.67,308543,0.00,0.00%,13.67,4.2m,2731
13,07/19/17,13.70,13.86,13.50,13.67,318488,0.05,0.37%,13.67,4.35m,3054
14,07/18/17,13.72,13.85,13.50,13.62,272243,-0.20,-1.45%,13.62,3.71m,2429
15,07/17/17,13.95,14.14,13.75,13.82,265536,-0.04,-0.29%,13.82,3.7m,2336
16,07/14/17,14.07,14.17,13.76,13.86,326440,-0.25,-1.77%,13.86,4.55m,3054
17,07/13/17,14.14,14.239,13.65,14.11,478884,0.02,0.14%,14.11,6.72m,3989
18,07/12/17,14.22,14.26,14.05,14.09,504493,0.11,0.79%,14.09,7.14m,3847
19,07/11/17,13.97,14.305,13.81,13.98,459781,-0.01,-0.07%,13.98,6.44m,3297
20,07/10/17,14.20,14.22,13.85,13.99,528873,-0.22,-1.55%,13.99,7.4m,4866
21,07/07/17,14.49,14.56,14.09,14.21,607648,-0.25,-1.73%,14.21,8.69m,4111
22,07/06/17,14.45,14.59,14.36,14.46,473872,-0.08,-0.55%,14.46,6.87m,5060
23,07/05/17,14.59,14.73,14.43,14.54,446791,-0.04,-0.27%,14.54,6.5m,4315
24,06/30/17,15.12,15.25,14.35,14.37,773257,-0.73,-4.83%,14.37,11.33m,5827
25,06/29/17,14.50,15.14,14.32,15.10,2109579,-0.40,-2.58%,15.10,30.92m,13652
