,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,3.95,3.95,3.41,3.56,469980,-0.29,-7.53%,3.56,1.7m,2265
2,08/03/17,4.01,4.28,3.82,3.85,484705,-0.08,-2.04%,3.85,1.97m,1329
3,08/02/17,3.94,3.97,3.85,3.93,89358,-0.05,-1.26%,3.93,348.3k,435
4,08/01/17,4.05,4.07,3.81,3.98,140338,-0.07,-1.73%,3.98,550.98k,687
5,07/31/17,4.13,4.15,4.014,4.05,72199,-0.08,-1.94%,4.05,296.55k,507
6,07/28/17,4.01,4.15,3.88,4.13,130709,0.09,2.23%,4.13,522.52k,720
7,07/27/17,3.99,4.06,3.83,4.04,146148,0.09,2.28%,4.04,574.42k,685
8,07/26/17,3.96,4.09,3.93,3.95,132069,-0.01,-0.25%,3.95,530.67k,569
9,07/25/17,3.90,4.0299,3.76,3.96,143606,0.03,0.76%,3.96,563.55k,665
10,07/24/17,4.09,4.15,3.90,3.93,153097,-0.16,-3.91%,3.93,611.82k,736
11,07/21/17,4.15,4.20,3.93,4.09,227467,-0.04,-0.97%,4.09,918.1k,1210
12,07/20/17,4.12,4.32,3.95,4.13,354211,0.21,5.36%,4.13,1.49m,1507
13,07/19/17,3.80,4.1904,3.69,3.92,367973,0.16,4.26%,3.92,1.46m,1519
14,07/18/17,3.71,3.795,3.63,3.76,145729,0.11,3.01%,3.76,541.61k,952
15,07/17/17,3.61,3.80,3.57,3.65,206573,0.26,7.67%,3.65,758.14k,1057
16,07/14/17,3.33,3.4552,3.30,3.39,81575,0.03,0.89%,3.39,276.06k,389
17,07/13/17,3.31,3.3721,3.25,3.36,97381,-0.01,-0.30%,3.36,321.49k,522
18,07/12/17,3.49,3.49,3.3114,3.37,47475,-0.06,-1.75%,3.37,160.13k,345
19,07/11/17,3.41,3.47,3.17,3.43,107600,0.05,1.48%,3.43,357.44k,857
20,07/10/17,3.34,3.467,3.34,3.38,89876,0.0622,1.87%,3.38,306.83k,626
21,07/07/17,3.14,3.34,3.13,3.3178,80701,0.1178,3.68%,3.3178,262.13k,375
22,07/06/17,3.18,3.24,3.0957,3.20,52392,-0.03,-0.93%,3.20,166.26k,383
23,07/05/17,3.27,3.29,3.0712,3.23,75978,-0.03,-0.92%,3.23,241.85k,455
24,06/30/17,3.19,3.31,3.015,3.18,238122,0.02,0.63%,3.18,752.12k,1065
25,06/29/17,3.26,3.35,3.15,3.16,127918,-0.11,-3.36%,3.16,411.73k,784
26,06/28/17,3.20,3.29,3.192,3.27,90731,0.05,1.55%,3.27,294.97k,447
27,06/27/17,3.30,3.30,3.14,3.22,115670,-0.06,-1.83%,3.22,370.57k,666
28,06/26/17,3.41,3.42,3.21,3.28,159666,-0.13,-3.81%,3.28,527.29k,769
29,06/23/17,3.33,3.69,3.30,3.41,595031,0.12,3.65%,3.41,2.08m,1956
30,06/22/17,2.67,3.29,2.67,3.29,320427,0.58,21.40%,3.29,969.55k,1705
31,06/21/17,2.87,2.887,2.63,2.71,414191,-0.21,-7.19%,2.71,1.13m,1642
32,06/20/17,3.00,3.08,2.85,2.92,296891,-0.06,-2.01%,2.92,872.7k,1447
33,06/19/17,3.14,3.20,2.98,2.98,183378,-0.075,-2.45%,2.98,552.18k,950
34,06/16/17,3.26,3.27,2.95,3.055,247448,-0.225,-6.86%,3.055,766.64k,931
35,06/15/17,3.06,3.3979,3.05,3.28,184456,0.16,5.13%,3.28,590.58k,1309
36,06/14/17,3.12,3.145,3.01,3.12,116165,0.00,0.00%,3.12,359.27k,653
37,06/13/17,3.09,3.20,3.09,3.12,89273,-0.04,-1.27%,3.12,279.34k,577
38,06/12/17,3.25,3.25,3.1199,3.16,71595,-0.09,-2.77%,3.16,227.12k,559
39,06/09/17,3.22,3.47,2.9506,3.25,319478,0.00,0.00%,3.25,1.02m,1844
40,06/08/17,3.28,3.38,3.18,3.25,243108,-0.10,-2.99%,3.25,793.34k,2100
41,06/07/17,3.52,3.5844,3.2499,3.35,433915,-0.25,-6.94%,3.35,1.47m,2973
42,06/06/17,2.76,3.64,2.67,3.60,1291752,0.30,9.09%,3.60,4.04m,5617
43,06/05/17,0.26,0.2626,0.2101,0.22,7299033,-0.501,-13.18%,3.30,1.73m,7834
44,06/02/17,0.253,0.2565,0.25,0.2534,1290919,0.006,0.16%,3.801,325.91k,2545
45,06/01/17,0.265,0.268,0.25,0.253,2493056,-0.09,-2.32%,3.795,637.63k,2558
46,05/31/17,0.27,0.27,0.2498,0.259,2056041,-0.0165,-0.42%,3.885,523.06k,1861
47,05/30/17,0.275,0.2763,0.26,0.2601,2356583,-0.153,-3.77%,3.9015,624.45k,2259
48,05/26/17,0.2635,0.2752,0.2635,0.2703,1196190,-0.0165,-0.41%,4.0545,325.36k,1369
49,05/25/17,0.2707,0.28,0.2655,0.2714,983870,-0.0165,-0.40%,4.071,266.15k,2008
50,05/24/17,0.2878,0.2878,0.2607,0.2725,3166447,-0.075,-1.80%,4.0875,861.32k,4325
51,05/23/17,0.2955,0.3046,0.275,0.2775,2644963,-0.177,-4.08%,4.1625,754.07k,2722
52,05/22/17,0.29,0.3194,0.28,0.2893,4237125,0.0345,0.80%,4.3395,1.28m,9644
53,05/19/17,0.2926,0.3048,0.281,0.287,2659307,-0.1305,-2.94%,4.305,781.57k,3668
54,05/18/17,0.2648,0.32,0.255,0.2957,5163779,0.534,13.69%,4.4355,1.51m,6089
55,05/17/17,0.2974,0.2974,0.24,0.2601,7817971,-0.447,-10.28%,3.9015,2.04m,7529
56,05/16/17,0.32,0.32,0.281,0.2899,13546467,-0.4515,-9.41%,4.3485,4m,11289
57,05/15/17,0.33,0.335,0.315,0.32,8047629,-0.0795,-1.63%,4.80,2.59m,12600
58,05/12/17,0.33,0.3311,0.317,0.3253,6177151,-0.0615,-1.24%,4.8795,1.99m,8622
59,05/11/17,0.3395,0.34,0.32,0.3294,7404073,-0.1335,-2.63%,4.941,2.44m,8292
60,05/10/17,0.34,0.3411,0.3116,0.3383,10900384,0.1965,4.03%,5.0745,3.57m,11883
61,05/09/17,0.35,0.3549,0.317,0.3252,9626282,-0.1545,-3.07%,4.878,3.2m,15185
62,05/08/17,0.38,0.3801,0.325,0.3355,25805935,-3.036,-37.63%,5.0325,9.12m,31273
63,05/05/17,0.53,0.55,0.521,0.5379,984662,0.2025,2.57%,8.0685,524.61k,2153
64,05/04/17,0.54,0.5505,0.52,0.5244,1553238,-0.234,-2.89%,7.866,824.12k,1258
65,05/03/17,0.5443,0.56,0.53,0.54,611322,0.069,0.86%,8.10,331.38k,1193
66,05/02/17,0.58,0.58,0.53,0.5354,1877137,0.159,2.02%,8.031,1.02m,4964
67,05/01/17,0.5434,0.6173,0.5201,0.5248,2730955,-0.2445,-3.01%,7.872,1.54m,5833
68,04/28/17,0.54,0.5595,0.5307,0.5411,1672588,-0.1335,-1.62%,8.1165,915.29k,2274
69,04/27/17,0.5542,0.5871,0.5415,0.55,2160832,-0.1095,-1.31%,8.25,1.22m,4976
70,04/26/17,0.525,0.5687,0.51,0.5573,3224267,0.5595,7.17%,8.3595,1.77m,6866
71,04/25/17,0.50,0.5259,0.491,0.52,1878357,0.135,1.76%,7.80,965.8k,3818
72,04/24/17,0.5577,0.56,0.508,0.511,1486958,-0.3465,-4.33%,7.665,784.14k,4256
73,04/21/17,0.50,0.5353,0.4902,0.5341,1714121,0.402,5.28%,8.0115,876.76k,2706
74,04/20/17,0.5458,0.55,0.49,0.5073,3510091,-0.7335,-8.79%,7.6095,1.81m,5561
75,04/19/17,0.60,0.62,0.55,0.5562,3993780,-0.657,-7.30%,8.343,2.34m,4622
76,04/18/17,0.61,0.65,0.5653,0.60,7030286,-1.5495,-14.69%,9.00,4.3m,10100
77,04/17/17,0.70,0.7137,0.6077,0.7033,10214283,0.3495,3.43%,10.5495,6.99m,12781
78,04/13/17,0.60,0.695,0.5842,0.68,9993358,1.50,17.24%,10.20,6.47m,13456
79,04/12/17,0.48,0.5975,0.48,0.58,4861940,1.494,20.73%,8.70,2.62m,6175
80,04/11/17,0.48,0.4898,0.475,0.4804,643775,0.0045,0.06%,7.206,309.15k,1595
81,04/10/17,0.4978,0.52,0.48,0.4801,963417,-0.3015,-4.02%,7.2015,474.89k,2527
82,04/07/17,0.478,0.51,0.45,0.5002,2033866,0.27,3.73%,7.503,969.57k,4305
83,04/06/17,0.457,0.483,0.44,0.4822,1604049,0.633,9.59%,7.233,724.12k,3767
84,04/05/17,0.485,0.485,0.43065,0.44,5054227,-0.7545,-10.26%,6.60,2.28m,6779
85,04/04/17,0.5193,0.525,0.48,0.4903,3294528,-0.4155,-5.35%,7.3545,1.65m,4122
86,04/03/17,0.52,0.55,0.515,0.518,1737446,-0.18,-2.26%,7.77,913.11k,3145
87,03/31/17,0.5275,0.54,0.5099,0.53,1888870,0.06,0.76%,7.95,988.55k,2715
88,03/30/17,0.5116,0.5402,0.485,0.526,2721897,-0.075,-0.94%,7.89,1.4m,3299
89,03/29/17,0.482,0.55,0.4811,0.531,2873067,0.5955,8.08%,7.965,1.49m,4370
90,03/28/17,0.4871,0.4997,0.47,0.4913,1245552,0.063,0.86%,7.3695,604.31k,3193
91,03/27/17,0.4895,0.4946,0.4769,0.4871,866177,-0.1185,-1.60%,7.3065,418.6k,2324
92,03/24/17,0.4787,0.495,0.4787,0.495,491140,0.108,1.48%,7.425,238.49k,1768
93,03/23/17,0.4805,0.491,0.4742,0.4878,528815,-0.0705,-0.95%,7.317,256.86k,1227
94,03/22/17,0.473,0.495,0.462,0.4925,1310259,-0.048,-0.65%,7.3875,625.21k,3119
95,03/21/17,0.4938,0.4974,0.47,0.4957,1437993,-0.033,-0.44%,7.4355,692.52k,2313
96,03/20/17,0.4989,0.51,0.481,0.4979,906477,0.2685,3.73%,7.4685,447k,1730
97,03/17/17,0.4776,0.5075,0.4776,0.48,2113493,-0.2835,-3.79%,7.20,1.04m,3805
98,03/16/17,0.4555,0.5025,0.455,0.4989,1982634,0.4335,6.15%,7.4835,969.19k,3271
99,03/15/17,0.4622,0.4772,0.4531,0.47,1574315,0.0465,0.66%,7.05,725.89k,2961
100,03/14/17,0.4845,0.50,0.453,0.4669,1543687,-0.4965,-6.62%,7.0035,729.84k,2610
101,03/13/17,0.491,0.5264,0.48,0.50,1815627,0.00,0.00%,7.50,925.6k,3436
102,03/10/17,0.514,0.5185,0.4753,0.50,1683887,-0.0855,-1.13%,7.50,836.66k,3339
103,03/09/17,0.4219,0.5067,0.4219,0.5057,3250907,1.0905,16.79%,7.5855,1.53m,6168
104,03/08/17,0.4497,0.45,0.4258,0.433,2111639,-0.159,-2.39%,6.495,917.11k,4613
105,03/07/17,0.461,0.4673,0.4201,0.4436,5374144,-0.2835,-4.09%,6.654,2.34m,8685
106,03/06/17,0.4756,0.4851,0.45,0.4625,3365334,-0.144,-2.03%,6.9375,1.58m,5742
107,03/03/17,0.51,0.51,0.44,0.4721,7659176,-0.9315,-11.62%,7.0815,3.69m,7995
108,03/02/17,0.503,0.5377,0.50,0.5342,3625240,0.48,6.37%,8.013,1.88m,6583
109,03/01/17,0.5286,0.53,0.50,0.5022,2895595,-0.1095,-1.43%,7.533,1.46m,3326
110,02/28/17,0.5366,0.5399,0.5013,0.5095,3670774,-0.3885,-4.84%,7.6425,1.9m,3772
