,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,12/09/16,,,,127.92,0,,0.00%,126.6075,,
2,12/08/16,,,,127.92,0,,0.00%,126.6075,,
3,12/07/16,,,,127.92,0,,0.00%,126.6075,,
4,12/06/16,,,,127.92,0,,0.00%,126.6075,,
5,12/05/16,,,,127.92,0,,0.00%,126.6075,,
6,12/02/16,,,,127.92,0,,0.00%,126.6075,,
7,12/01/16,129.26,130.75,127.08,127.92,3039,2.3358,1.88%,126.6075,392.06k,26
8,11/30/16,125.56,125.56,125.56,125.56,102,-1.4747,-1.17%,124.2718,12.81k,3
9,11/29/16,125.95,127.05,125.95,127.05,1502,1.7024,1.37%,125.7465,189.29k,11
10,11/25/16,124.32,125.88,124.32,125.33,3100,1.0392,0.84%,124.0441,389.85k,19
11,11/23/16,121.84,124.50,121.84,124.28,1600,0.811587,0.66%,123.0049,196.44k,15
12,11/22/16,127.758,127.758,123.46,123.46,2260,-4.3069,-3.40%,122.1933,284.31k,23
13,11/21/16,127.8115,127.8115,127.8115,127.8115,110,0.472898,0.38%,126.5002,14.06k,1
14,11/18/16,129.038,129.038,127.31,127.3337,875,-0.606909,-0.48%,126.0273,112.29k,7
15,11/17/16,128.4319,128.4319,127.9469,127.9469,112100,1.9367,1.55%,126.6342,14.39m,5
16,11/16/16,122.77,126.36,118.62,125.9901,82750,2.5957,2.13%,124.6974,10.39m,23
17,11/15/16,123.96,123.96,123.3675,123.3675,11846,2.264,1.89%,122.1017,1.46m,11
18,11/14/16,116.58,122.09,116.42,121.08,81023,4.3648,3.78%,119.8377,9.73m,22
19,11/11/16,115.5151,116.67,115.5151,116.67,120488,1.6081,1.41%,115.473,13.93m,7
20,11/10/16,115.5387,115.5387,115.0452,115.0452,20040,0.551285,0.49%,113.8648,2.31m,4
21,11/09/16,113.35,114.4882,112.23,114.4882,95348,-12.0667,-9.62%,113.3136,10.77m,66
22,11/08/16,126.64,126.9901,126.64,126.68,16500,0.128666,0.10%,125.3803,2.09m,8
23,11/07/16,123.87,126.97,123.87,126.55,25800,4.4835,3.71%,125.2516,3.26m,11
24,11/04/16,118.64,124.04,118.64,122.02,10980,1.7518,1.47%,120.7681,1.34m,18
