,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,12.59,12.74,12.06,12.14,264180,-0.45,-3.57%,12.14,3.27m,1755
2,08/03/17,11.50,13.28,11.46,12.59,1214364,1.04,9.00%,12.59,15.24m,5006
3,08/02/17,11.85,11.88,11.53,11.55,221343,-0.33,-2.78%,11.55,2.58m,1665
4,08/01/17,12.00,12.10,11.76,11.88,459247,-0.10,-0.83%,11.88,5.48m,2628
5,07/31/17,12.46,12.46,11.76,11.98,582714,-0.51,-4.08%,11.98,6.98m,3362
6,07/28/17,12.46,12.75,12.25,12.49,118513,-0.09,-0.72%,12.49,1.48m,847
7,07/27/17,12.45,12.70,12.24,12.58,177537,0.10,0.80%,12.58,2.22m,1477
8,07/26/17,12.20,12.75,11.98,12.48,344582,-0.07,-0.56%,12.48,4.29m,1867
9,07/25/17,12.60,12.67,12.42,12.55,273170,-0.05,-0.40%,12.55,3.43m,1437
10,07/24/17,12.51,12.70,12.50,12.60,278788,0.08,0.64%,12.60,3.51m,1585
11,07/21/17,12.67,12.7612,12.35,12.52,242560,-0.04,-0.32%,12.52,3.04m,948
12,07/20/17,12.59,12.65,12.4201,12.56,233612,-0.03,-0.24%,12.56,2.93m,795
13,07/19/17,12.75,12.79,12.56,12.59,337020,-0.17,-1.33%,12.59,4.27m,1499
14,07/18/17,12.62,12.84,12.57,12.76,407830,0.09,0.71%,12.76,5.2m,1928
15,07/17/17,12.48,12.70,12.335,12.67,275807,0.19,1.52%,12.67,3.48m,1271
16,07/14/17,12.64,12.74,12.47,12.48,134845,-0.16,-1.27%,12.48,1.7m,913
17,07/13/17,12.67,12.927,12.52,12.64,259448,-0.03,-0.24%,12.64,3.28m,1466
18,07/12/17,12.89,13.06,12.57,12.67,208081,-0.14,-1.09%,12.67,2.67m,1230
19,07/11/17,12.68,13.13,12.50,12.81,734300,0.08,0.63%,12.81,9.45m,2156
20,07/10/17,12.76,13.018,12.53,12.73,381695,-0.04,-0.31%,12.73,4.87m,2579
21,07/07/17,12.69,12.82,12.69,12.77,105669,0.10,0.79%,12.77,1.35m,1024
22,07/06/17,12.78,12.84,12.54,12.67,166900,-0.23,-1.78%,12.67,2.12m,1148
23,07/05/17,12.97,13.00,12.8297,12.90,492752,-0.01,-0.08%,12.90,6.36m,2406
