,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.11,1.11,1.08,1.09,61029,-0.01,-0.91%,1.09,66.98k,208
2,08/03/17,1.0521,1.1155,1.0521,1.10,63650,0.02,1.85%,1.10,69.36k,237
3,08/02/17,1.09,1.12,1.08,1.08,168382,-0.01,-0.92%,1.08,184.65k,461
4,08/01/17,1.10,1.11,1.08,1.09,201436,-0.02,-1.80%,1.09,220.87k,439
5,07/31/17,1.09,1.13,1.0531,1.11,85692,0.01,0.91%,1.11,93.73k,207
6,07/28/17,1.07,1.10,1.04,1.10,158411,0.00,0.00%,1.10,169.14k,417
7,07/27/17,1.08,1.14,1.06,1.10,257667,0.02,1.85%,1.10,284.41k,212
8,07/26/17,1.05,1.11,1.05,1.08,118884,0.02,1.89%,1.08,128.83k,324
9,07/25/17,1.13,1.15,1.0401,1.06,709775,-0.06,-5.36%,1.06,783.41k,986
10,07/24/17,1.10,1.14,1.06,1.12,235672,0.04,3.70%,1.12,256.17k,297
11,07/21/17,1.09,1.11,1.07,1.08,84484,0.01,0.93%,1.08,91.85k,90
12,07/20/17,1.08,1.13,1.07,1.07,101192,-0.04,-3.60%,1.07,111.63k,157
13,07/19/17,1.14,1.14,1.0521,1.11,126423,-0.02,-1.77%,1.11,138.18k,292
14,07/18/17,1.10,1.15,1.10,1.13,78202,0.03,2.73%,1.13,88.11k,139
15,07/17/17,1.08,1.14,1.08,1.10,122027,0.01,0.92%,1.10,135.73k,261
16,07/14/17,1.06,1.10,1.05,1.09,133781,0.04,3.81%,1.09,142.55k,303
17,07/13/17,1.05,1.06,1.03,1.05,36271,0.02,1.94%,1.05,38.07k,128
18,07/12/17,1.01,1.04,1.01,1.03,175658,0.01,0.98%,1.03,180.6k,399
19,07/11/17,1.02,1.03,1.01,1.02,58426,0.01,0.99%,1.02,59.33k,158
20,07/10/17,1.04,1.05,0.99,1.01,125526,-0.04,-3.81%,1.01,128.36k,169
21,07/07/17,1.01,1.0725,1.00,1.05,101511,0.03,2.94%,1.05,103.4k,236
22,07/06/17,1.02,1.04,1.00,1.02,56595,0.01,0.99%,1.02,57.52k,147
23,07/05/17,0.99,1.03,0.99,1.01,137401,0.0198,2.00%,1.01,137.75k,301
24,06/30/17,1.03,1.04,1.00,1.03,144548,-0.01,-0.96%,1.03,145.83k,378
25,06/29/17,1.05,1.07,1.00,1.04,405179,-0.02,-1.89%,1.04,414.78k,1136
26,06/28/17,1.08,1.10,1.05,1.06,124532,-0.02,-1.85%,1.06,133.68k,295
27,06/27/17,1.09,1.09,0.9964,1.08,301407,0.00,0.00%,1.08,314.59k,547
28,06/26/17,1.10,1.1112,1.0301,1.08,139478,-0.01,-0.92%,1.08,149.01k,430
29,06/23/17,1.09,1.125,1.06,1.09,227358,0.01,0.93%,1.09,250.59k,502
30,06/22/17,1.04,1.08,1.03,1.08,124881,0.04,3.85%,1.08,130.76k,279
31,06/21/17,1.02,1.06,1.0001,1.04,100589,0.01,0.97%,1.04,104.08k,373
32,06/20/17,1.03,1.04,1.00,1.03,525771,0.00,0.00%,1.03,535.14k,554
33,06/19/17,1.03,1.035,0.98,1.03,737977,-0.01,-0.96%,1.03,746.25k,964
34,06/16/17,1.03,1.09,1.01,1.04,480738,0.01,0.97%,1.04,499.79k,1100
