,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.52,1.63,1.52,1.63,335821,0.109,7.17%,1.63,532.69k,827
2,08/03/17,1.47,1.54,1.47,1.521,292923,0.051,3.47%,1.521,440.81k,540
3,08/02/17,1.50,1.52,1.42,1.47,131387,-0.0008,-0.05%,1.47,194.37k,315
4,08/01/17,1.42,1.50,1.37,1.4708,206242,0.0408,2.85%,1.4708,295.29k,350
5,07/31/17,1.46,1.46,1.39,1.43,164073,-0.02,-1.38%,1.43,232.77k,435
6,07/28/17,1.35,1.45,1.3114,1.45,493789,0.00,0.00%,1.45,676.5k,699
7,07/27/17,1.56,1.569,1.43,1.45,267468,-0.08,-5.23%,1.45,399.43k,732
8,07/26/17,1.52,1.60,1.48,1.53,291797,0.04,2.68%,1.53,447.9k,668
9,07/25/17,1.50,1.52,1.45,1.49,145127,0.00,0.00%,1.49,216.53k,324
10,07/24/17,1.45,1.50,1.44,1.49,100806,0.06,4.20%,1.49,150.34k,236
11,07/21/17,1.34,1.52,1.31,1.43,401477,0.09,6.72%,1.43,576.68k,893
12,07/20/17,1.38,1.3999,1.30,1.34,200885,-0.04,-2.90%,1.34,268.13k,386
13,07/19/17,1.38,1.42,1.33,1.38,271009,0.01,0.73%,1.38,371.2k,501
14,07/18/17,1.44,1.48,1.3251,1.37,358855,-0.08,-5.52%,1.37,497.16k,983
15,07/17/17,1.64,1.75,1.41,1.45,990131,-0.17,-10.49%,1.45,1.59m,2216
16,07/14/17,1.60,1.658,1.561,1.62,352442,-0.02,-1.22%,1.62,567.36k,934
17,07/13/17,1.52,1.66,1.52,1.64,886255,0.12,7.89%,1.64,1.43m,2028
18,07/12/17,1.47,1.55,1.46,1.52,399895,0.06,4.11%,1.52,604.12k,790
19,07/11/17,1.43,1.46,1.37,1.46,181966,0.06,4.29%,1.46,254.79k,406
20,07/10/17,1.42,1.46,1.38,1.40,214189,0.02,1.45%,1.40,304.63k,594
21,07/07/17,1.33,1.40,1.27,1.38,304209,0.0499,3.75%,1.38,405.28k,693
22,07/06/17,1.40,1.405,1.33,1.3301,209509,-0.0999,-6.99%,1.3301,286.56k,519
23,07/05/17,1.45,1.54,1.35,1.43,621412,-0.03,-2.05%,1.43,892.84k,1494
24,06/30/17,1.22,1.27,1.15,1.23,270914,0.04,3.36%,1.23,327.97k,515
25,06/29/17,1.24,1.30,1.15,1.19,417395,-0.03,-2.46%,1.19,511.54k,602
26,06/28/17,1.14,1.24,1.14,1.22,1103934,0.12,10.91%,1.22,1.33m,1814
27,06/27/17,1.13,1.15,1.08,1.10,363896,0.00,0.00%,1.10,406.33k,1015
28,06/26/17,1.10,1.18,1.10,1.10,273798,0.03,2.80%,1.10,310.22k,774
29,06/23/17,1.16,1.16,1.07,1.07,322112,-0.08,-6.96%,1.07,353.13k,1411
30,06/22/17,1.20,1.20,1.12,1.15,239500,-0.0246,-2.09%,1.15,274.14k,577
31,06/21/17,1.12,1.22,1.12,1.1746,111263,0.0445,3.94%,1.1746,130.92k,268
32,06/20/17,1.17,1.17,1.09,1.1301,369608,0.0001,0.01%,1.1301,410.55k,738
33,06/19/17,1.26,1.26,1.1207,1.13,384977,-0.07,-5.83%,1.13,445.78k,868
34,06/16/17,1.20,1.24,1.13,1.20,291672,0.01,0.84%,1.20,345.66k,530
35,06/15/17,1.30,1.40,1.1099,1.19,639472,-0.08,-6.30%,1.19,802.41k,1449
36,06/14/17,1.43,1.47,1.15,1.27,1464404,-0.29,-18.59%,1.27,1.9m,2765
37,06/13/17,1.30,1.70,1.2499,1.56,2285233,0.28,21.88%,1.56,3.29m,4301
38,06/12/17,1.20,1.30,1.1701,1.28,604625,0.06,4.92%,1.28,760.26k,1215
39,06/09/17,1.09,1.25,1.09,1.22,875572,0.12,10.91%,1.22,1.06m,1258
40,06/08/17,1.13,1.13,1.0801,1.10,149234,-0.03,-2.65%,1.10,164.38k,254
41,06/07/17,1.05,1.13,1.04,1.13,335103,0.10,9.71%,1.13,367.29k,673
42,06/06/17,1.05,1.05,1.02,1.03,62316,0.00,0.00%,1.03,63.97k,104
43,06/05/17,1.02,1.06,1.02,1.03,29797,0.01,0.98%,1.03,30.97k,95
44,06/02/17,1.04,1.04,1.01,1.02,56796,-0.02,-1.92%,1.02,58.52k,104
45,06/01/17,1.01,1.04,1.00,1.04,29755,0.01,0.97%,1.04,30.58k,89
46,05/31/17,1.04,1.04,1.00,1.03,122644,-0.01,-0.96%,1.03,123.84k,326
47,05/30/17,1.03,1.06,1.01,1.04,577711,0.00,0.00%,1.04,590.09k,215
48,05/26/17,1.0425,1.05,1.03,1.04,116811,0.02,1.96%,1.04,122.31k,433
49,05/25/17,1.07,1.07,1.01,1.02,125533,-0.03,-2.86%,1.02,130.16k,201
50,05/24/17,1.00,1.07,1.00,1.05,157277,0.03,2.94%,1.05,162.31k,290
51,05/23/17,1.05,1.0511,1.00,1.02,196884,-0.03,-2.86%,1.02,201.14k,305
52,05/22/17,1.05,1.07,1.02,1.05,157183,-0.02,-1.87%,1.05,163.94k,269
53,05/19/17,1.06,1.10,1.04,1.07,62498,-0.01,-0.93%,1.07,66.43k,220
54,05/18/17,1.06,1.08,1.01,1.08,189340,0.03,2.86%,1.08,198.28k,410
55,05/17/17,1.10,1.10,1.03,1.05,88093,-0.04,-3.67%,1.05,91.94k,216
56,05/16/17,1.07,1.11,1.02,1.09,327324,0.01,0.93%,1.09,350.53k,787
57,05/15/17,1.17,1.17,1.06,1.08,252961,0.00,0.00%,1.08,275.47k,604
58,05/12/17,1.12,1.13,1.01,1.08,405406,-0.02,-1.82%,1.08,427.6k,975
59,05/11/17,1.20,1.20,1.06,1.10,569350,-0.10,-8.33%,1.10,635.66k,1065
60,05/10/17,1.20,1.22,1.15,1.20,292052,-0.04,-3.23%,1.20,345.84k,513
61,05/09/17,1.27,1.28,1.11,1.24,577468,-0.04,-3.12%,1.24,696.98k,966
62,05/08/17,1.32,1.32,1.2171,1.28,984689,0.03,2.40%,1.28,1.25m,2340
63,05/05/17,1.25,1.28,1.18,1.25,1240892,-0.05,-3.85%,1.25,1.52m,2879
64,05/04/17,1.15,1.30,1.11,1.30,4214785,0.25,23.81%,1.30,5.15m,9317
65,05/03/17,1.05,1.09,0.99,1.05,1079390,0.108139,11.48%,1.05,1.11m,2620
66,05/02/17,0.973,0.973,0.9001,0.941861,415352,0.041861,4.65%,0.941861,390.84k,757
67,05/01/17,0.86,0.91,0.8563,0.90,266587,0.0302,3.47%,0.90,236.06k,390
68,04/28/17,0.89,0.898,0.85,0.8698,338356,-0.0002,-0.02%,0.8698,295.36k,457
69,04/27/17,0.851,0.89,0.83,0.87,486832,0.0701,8.76%,0.87,419.07k,836
70,04/26/17,0.83,0.84,0.78,0.7999,381690,-0.0466,-5.51%,0.7999,307.18k,954
71,04/25/17,0.882,0.90,0.80,0.8465,412527,0.0065,0.77%,0.8465,341.9k,1089
72,04/24/17,0.945,0.945,0.815,0.84,283573,-0.06,-6.67%,0.84,245.06k,766
73,04/21/17,0.8997,0.90,0.86,0.90,185033,0.0003,0.03%,0.90,162.71k,420
74,04/20/17,0.914,0.95,0.857,0.8997,237252,-0.0143,-1.56%,0.8997,214.04k,724
75,04/19/17,0.98,0.98,0.914,0.914,160062,-0.0466,-4.85%,0.914,151.09k,408
76,04/18/17,0.965,1.03,0.958,0.9606,175869,-0.0172,-1.76%,0.9606,173.42k,382
77,04/17/17,1.00,1.00,0.962,0.9778,96194,-0.0022,-0.22%,0.9778,94.22k,242
78,04/13/17,1.02,1.02,0.9769,0.98,145905,-0.02,-2.00%,0.98,145.26k,360
79,04/12/17,1.01,1.01,0.98,1.00,39739,0.00,0.00%,1.00,39.59k,207
80,04/11/17,1.02,1.03,0.985,1.00,253614,0.00,0.00%,1.00,255.8k,915
81,04/10/17,1.00,1.01,0.9803,1.00,110025,0.00,0.00%,1.00,109.5k,245
82,04/07/17,0.9741,1.04,0.95,1.00,234439,-0.01,-0.99%,1.00,233.58k,548
83,04/06/17,1.00,1.01,0.97,1.01,260271,0.0201,2.03%,1.01,260.11k,1017
84,04/05/17,1.01,1.01,0.90,0.9899,367342,-0.0101,-1.01%,0.9899,350.76k,820
85,04/04/17,1.01,1.02,0.99,1.00,214672,-0.03,-2.91%,1.00,214.59k,459
86,04/03/17,1.05,1.05,1.00,1.03,272273,0.01,0.98%,1.03,275.68k,827
87,03/31/17,1.04,1.0499,1.01,1.02,280260,-0.03,-2.86%,1.02,286.16k,821
88,03/30/17,1.07,1.07,1.03,1.05,191164,-0.01,-0.94%,1.05,200.61k,466
89,03/29/17,1.06,1.11,1.005,1.06,637255,-0.0384,-3.50%,1.06,659.98k,1320
90,03/28/17,1.13,1.1493,1.09,1.0984,370748,-0.0516,-4.49%,1.0984,411.6k,701
91,03/27/17,1.14,1.15,1.11,1.15,101745,0.01,0.88%,1.15,115.91k,281
92,03/24/17,1.13,1.14,1.11,1.14,69761,0.01,0.88%,1.14,78.57k,200
93,03/23/17,1.12,1.15,1.10,1.13,172546,0.01,0.89%,1.13,192.99k,305
94,03/22/17,1.10,1.14,1.10,1.12,221576,-0.01,-0.88%,1.12,246.59k,408
95,03/21/17,1.17,1.17,1.10,1.13,361848,-0.03,-2.59%,1.13,406.46k,615
96,03/20/17,1.19,1.24,1.15,1.16,216510,-0.02,-1.69%,1.16,252.88k,420
97,03/17/17,1.15,1.19,1.15,1.18,123595,0.00,0.00%,1.18,144.9k,271
98,03/16/17,1.24,1.24,1.16,1.18,209356,0.00,0.00%,1.18,249.47k,391
99,03/15/17,1.16,1.18,1.13,1.18,445356,0.02,1.72%,1.18,512.83k,813
100,03/14/17,1.37,1.37,1.11,1.16,1738228,-0.14,-10.77%,1.16,2.18m,2844
101,03/13/17,1.20,1.35,1.19,1.30,2199608,0.11,9.24%,1.30,2.82m,3477
102,03/10/17,1.14,1.27,1.12,1.19,1364552,0.05,4.39%,1.19,1.64m,2246
103,03/09/17,1.12,1.15,1.12,1.14,117682,0.02,1.79%,1.14,132.85k,241
104,03/08/17,1.15,1.21,1.11,1.12,671557,-0.03,-2.61%,1.12,789.32k,1213
105,03/07/17,1.15,1.15,1.1122,1.15,92622,0.01,0.88%,1.15,104.71k,209
106,03/06/17,1.16,1.16,1.12,1.14,101410,0.01,0.88%,1.14,116.1k,277
107,03/03/17,1.14,1.15,1.11,1.13,97159,-0.02,-1.74%,1.13,109.95k,226
108,03/02/17,1.15,1.15,1.10,1.15,151688,0.0383,3.45%,1.15,169.31k,303
109,03/01/17,1.16,1.16,1.10,1.1117,69648,-0.0283,-2.48%,1.1117,78.39k,204
110,02/28/17,1.11,1.16,1.11,1.14,154173,0.03,2.70%,1.14,174.87k,255
111,02/27/17,1.10,1.14,1.0901,1.11,113119,0.00,0.00%,1.11,124.92k,279
112,02/24/17,1.13,1.13,1.10,1.11,173306,-0.02,-1.77%,1.11,190.95k,307
113,02/23/17,1.14,1.15,1.12,1.13,158402,-0.02,-1.74%,1.13,178.81k,361
114,02/22/17,1.25,1.25,1.15,1.15,260155,-0.03,-2.54%,1.15,312.52k,462
115,02/21/17,1.13,1.18,1.13,1.18,164308,0.05,4.42%,1.18,190.35k,392
116,02/17/17,1.15,1.16,1.13,1.13,139899,-0.04,-3.42%,1.13,159.72k,269
117,02/16/17,1.17,1.17,1.12,1.17,147554,0.00,0.00%,1.17,168.11k,302
118,02/15/17,1.18,1.22,1.125,1.17,233423,-0.03,-2.50%,1.17,269.39k,543
119,02/14/17,1.25,1.25,1.16,1.20,293576,-0.03,-2.44%,1.20,353.57k,565
120,02/13/17,1.18,1.29,1.18,1.23,677858,0.06,5.13%,1.23,841.57k,1212
121,02/10/17,1.13,1.22,1.08,1.17,1268612,0.07,6.36%,1.17,1.48m,1967
122,02/09/17,1.00,1.11,0.9861,1.10,1301926,0.10,10.00%,1.10,1.38m,1728
123,02/08/17,1.03,1.04,0.9925,1.00,339401,-0.02,-1.96%,1.00,341.57k,880
124,02/07/17,1.04,1.04,1.00,1.02,256411,-0.01,-0.97%,1.02,259.4k,656
