,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,19.15,19.45,19.0001,19.35,235563,0.30,1.57%,19.35,4.54m,1354
2,08/03/17,19.45,19.70,19.00,19.05,396173,-0.200009,-1.04%,19.05,7.65m,2140
3,08/02/17,19.90,20.40,19.50,19.75,650596,-0.194937,-1.00%,19.25,12.93m,2667
4,08/01/17,20.20,20.422,19.80,19.95,504075,-0.243671,-1.24%,19.4449,10.12m,1993
5,07/31/17,20.55,21.25,20.15,20.20,643081,0.146203,0.75%,19.6886,13.25m,3003
6,07/28/17,19.80,20.10,19.60,20.05,213441,0.146202,0.75%,19.5424,4.25m,1232
7,07/27/17,20.10,20.15,19.85,19.90,242029,-0.194936,-1.00%,19.3962,4.85m,1107
8,07/26/17,20.20,20.30,19.97,20.10,156961,-0.048735,-0.25%,19.5911,3.15m,1144
9,07/25/17,20.00,20.45,20.00,20.15,201910,0.146203,0.75%,19.6399,4.09m,1200
10,07/24/17,20.05,20.05,19.775,20.00,207120,0.048734,0.25%,19.4937,4.12m,1206
11,07/21/17,20.05,20.1138,19.80,19.95,267200,-0.146202,-0.75%,19.4449,5.33m,1678
12,07/20/17,20.55,20.55,20.0125,20.10,170621,-0.438608,-2.19%,19.5911,3.45m,1188
13,07/19/17,20.45,20.55,20.20,20.55,176704,0.194937,0.98%,20.0298,3.61m,1304
14,07/18/17,20.70,21.30,20.35,20.35,197098,-0.389874,-1.93%,19.8348,4.06m,1169
15,07/17/17,21.00,21.00,20.25,20.75,254979,-0.146203,-0.72%,20.2247,5.25m,1525
16,07/14/17,20.40,20.90,20.2303,20.90,260446,0.438608,2.20%,20.3709,5.39m,1402
17,07/13/17,20.30,20.65,20.15,20.45,149462,0.194937,0.99%,19.9323,3.06m,1062
18,07/12/17,20.55,20.90,20.25,20.25,166438,-0.097468,-0.49%,19.7374,3.41m,956
19,07/11/17,19.50,20.55,19.35,20.35,287263,0.828481,4.36%,19.8348,5.77m,1448
20,07/10/17,19.50,19.65,19.25,19.50,438543,0.146203,0.78%,19.0063,8.54m,2014
21,07/07/17,19.35,19.50,18.941,19.35,481496,0.048734,0.26%,18.8601,9.22m,2832
22,07/06/17,19.30,19.50,19.10,19.30,174464,-0.146203,-0.77%,18.8114,3.36m,1171
23,07/05/17,19.70,19.85,19.15,19.45,471241,0.00,0.00%,18.9576,9.16m,2101
24,06/30/17,19.60,19.6696,18.65,18.90,511222,-0.487342,-2.58%,18.4215,9.71m,3425
25,06/29/17,19.35,19.75,19.15,19.40,237784,0.00,0.00%,18.9089,4.63m,1764
26,06/28/17,19.20,19.95,19.20,19.40,269021,0.292406,1.57%,18.9089,5.26m,1817
27,06/27/17,19.75,20.25,19.10,19.10,220725,-0.536077,-2.80%,18.6165,4.34m,1350
28,06/26/17,19.25,19.85,19.00,19.65,275360,0.438608,2.34%,19.1525,5.38m,1491
29,06/23/17,18.75,19.30,18.50,19.20,315066,0.389874,2.13%,18.7139,6m,1754
30,06/22/17,18.45,18.95,18.20,18.80,435473,0.58481,3.30%,18.3241,8.16m,2706
31,06/21/17,19.40,19.55,18.15,18.20,753229,-1.2671,-6.67%,17.7392,14.02m,4465
