,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.18,1.21,1.14,1.14,568563,-0.03,-2.56%,1.14,665.42k,1315
2,08/03/17,1.18,1.23,1.16,1.17,507275,0.01,0.86%,1.17,604.54k,1337
3,08/02/17,1.20,1.24,1.16,1.16,570933,-0.03,-2.52%,1.16,671.49k,1857
4,08/01/17,1.22,1.25,1.19,1.19,644649,-0.02,-1.65%,1.19,779.68k,1649
5,07/31/17,1.25,1.27,1.19,1.21,537008,-0.04,-3.20%,1.21,653.08k,1956
6,07/28/17,1.23,1.30,1.22,1.25,548809,0.01,0.81%,1.25,688.47k,1264
7,07/27/17,1.28,1.33,1.22,1.24,843701,-0.03,-2.36%,1.24,1.06m,2404
8,07/26/17,1.37,1.39,1.26,1.27,824150,-0.10,-7.30%,1.27,1.07m,1878
9,07/25/17,1.38,1.41,1.36,1.37,308414,-0.01,-0.72%,1.37,427.37k,1000
10,07/24/17,1.44,1.44,1.37,1.38,522806,-0.05,-3.50%,1.38,724.69k,1249
11,07/21/17,1.45,1.479,1.38,1.43,506413,-0.02,-1.38%,1.43,720.26k,843
12,07/20/17,1.53,1.53,1.43,1.45,661805,-0.07,-4.61%,1.45,972.51k,1412
13,07/19/17,1.46,1.52,1.43,1.52,1148852,0.07,4.83%,1.52,1.72m,2228
14,07/18/17,1.50,1.52,1.40,1.45,575462,-0.04,-2.68%,1.45,834.89k,1260
15,07/17/17,1.50,1.59,1.43,1.49,657377,-0.03,-1.97%,1.49,976.01k,2121
16,07/14/17,1.58,1.68,1.51,1.52,942898,-0.06,-3.80%,1.52,1.5m,2774
17,07/13/17,1.35,1.68,1.35,1.58,2883492,0.22,16.18%,1.58,4.47m,6890
18,07/12/17,1.31,1.36,1.31,1.36,103990,0.05,3.82%,1.36,139.32k,342
19,07/11/17,1.36,1.38,1.30,1.31,496456,-0.03,-2.24%,1.31,663.83k,1986
20,07/10/17,1.37,1.37,1.30,1.34,294907,-0.01,-0.74%,1.34,392.54k,1026
21,07/07/17,1.40,1.40,1.34,1.35,508743,-0.03,-2.17%,1.35,701.91k,1020
22,07/06/17,1.30,1.39,1.275,1.38,682779,0.06,4.55%,1.38,917.01k,2322
23,07/05/17,1.42,1.42,1.29,1.32,415642,-0.09,-6.38%,1.32,558.86k,1525
24,06/30/17,1.43,1.43,1.34,1.35,567818,-0.04,-2.88%,1.35,782.78k,1573
