,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,3.65,3.65,3.55,3.65,123272,0.05,1.39%,3.65,445.22k,925
2,08/03/17,3.35,3.60,3.35,3.60,174973,0.25,7.46%,3.60,610.03k,1250
3,08/02/17,3.50,3.55,3.25,3.35,369690,-0.20,-5.63%,3.35,1.24m,1970
4,08/01/17,3.60,3.65,3.45,3.55,227594,-0.05,-1.39%,3.55,807.04k,1500
5,07/31/17,3.70,3.75,3.55,3.60,231053,-0.15,-4.00%,3.60,840.04k,1149
6,07/28/17,3.75,3.75,3.70,3.75,104504,0.00,0.00%,3.75,388.55k,839
7,07/27/17,3.80,3.825,3.65,3.75,280021,0.00,0.00%,3.75,1.05m,1464
8,07/26/17,4.00,4.05,3.75,3.75,466013,-0.20,-5.06%,3.75,1.81m,2086
9,07/25/17,3.95,4.05,3.90,3.95,322144,0.00,0.00%,3.95,1.29m,1469
10,07/24/17,3.90,3.95,3.85,3.95,145235,0.10,2.60%,3.95,567.86k,1078
11,07/21/17,3.95,3.95,3.75,3.85,358025,-0.10,-2.53%,3.85,1.38m,1470
12,07/20/17,3.85,3.95,3.80,3.95,169389,0.15,3.95%,3.95,659.27k,948
13,07/19/17,3.85,3.85,3.80,3.80,138071,-0.05,-1.30%,3.80,528.17k,839
14,07/18/17,3.85,3.86,3.80,3.85,145218,0.00,0.00%,3.85,556.45k,808
15,07/17/17,4.00,4.00,3.75,3.85,232753,-0.05,-1.28%,3.85,895.93k,1702
16,07/14/17,3.95,4.00,3.85,3.90,186129,0.00,0.00%,3.90,730.44k,1368
17,07/13/17,3.95,3.95,3.85,3.90,293359,0.00,0.00%,3.90,1.14m,1737
18,07/12/17,3.80,3.90,3.70,3.90,319181,0.20,5.41%,3.90,1.22m,1407
19,07/11/17,3.70,3.80,3.60,3.70,266847,0.10,2.78%,3.70,993.16k,1407
20,07/10/17,3.60,3.65,3.40,3.60,174157,0.05,1.41%,3.60,612.92k,1060
21,07/07/17,3.75,3.75,3.50,3.55,144707,-0.15,-4.05%,3.55,517.26k,999
22,07/06/17,3.60,3.75,3.60,3.70,110503,0.00,0.00%,3.70,404.97k,892
23,07/05/17,3.60,3.80,3.60,3.70,280520,0.10,2.78%,3.70,1.04m,1464
24,06/30/17,3.50,3.60,3.45,3.55,99753,0.00,0.00%,3.55,352.75k,872
25,06/29/17,3.60,3.65,3.50,3.55,115150,0.00,0.00%,3.55,409.13k,579
26,06/28/17,3.40,3.55,3.40,3.55,111203,0.10,2.90%,3.55,388.8k,899
27,06/27/17,3.50,3.55,3.40,3.45,147066,-0.10,-2.82%,3.45,512.1k,991
28,06/26/17,3.50,3.60,3.50,3.55,111278,0.05,1.43%,3.55,393.93k,864
29,06/23/17,3.50,3.50,3.40,3.50,139763,0.00,0.00%,3.50,481.62k,930
30,06/22/17,3.60,3.60,3.45,3.50,161747,-0.10,-2.78%,3.50,573.5k,691
31,06/21/17,3.50,3.60,3.40,3.60,193026,0.15,4.35%,3.60,683.98k,1018
