,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,47.51,48.88,47.20,48.45,142645,1.08,2.28%,48.45,6.89m,1897
2,08/03/17,48.20,48.50,47.14,47.37,199000,-0.84,-1.74%,47.37,9.46m,2524
3,08/02/17,49.00,49.36,47.71,48.21,228130,-0.90,-1.83%,48.21,11.06m,2447
4,08/01/17,50.55,50.87,49.06,49.11,152693,-1.16,-2.31%,49.11,7.55m,1888
5,07/31/17,50.10,50.60,49.86,50.27,177011,0.20,0.40%,50.27,8.9m,1941
6,07/28/17,51.73,51.85,50.00,50.07,165964,-1.89,-3.64%,50.07,8.39m,1942
7,07/27/17,49.60,52.09,49.575,51.96,204676,2.47,4.99%,51.96,10.44m,2288
8,07/26/17,50.88,51.995,48.50,49.49,588639,-1.43,-2.81%,49.49,29.39m,5208
9,07/25/17,49.82,51.30,47.34,50.92,737001,-4.33,-7.84%,50.92,36.65m,6064
10,07/24/17,55.44,55.895,54.52,55.25,173462,-0.22,-0.40%,55.25,9.57m,1808
11,07/21/17,55.75,56.37,54.80,55.47,92508,-0.14,-0.25%,55.47,5.13m,943
12,07/20/17,56.25,58.06,55.43,55.61,90693,-0.90,-1.59%,55.61,5.06m,1690
13,07/19/17,55.19,56.62,55.19,56.51,78602,1.37,2.48%,56.51,4.42m,1184
14,07/18/17,55.45,56.02,55.04,55.14,103527,-0.39,-0.70%,55.14,5.74m,1210
15,07/17/17,55.78,56.26,55.21,55.53,82338,-0.35,-0.63%,55.53,4.58m,1025
16,07/14/17,55.60,56.13,55.60,55.88,85694,0.32,0.58%,55.88,4.79m,935
17,07/13/17,55.46,55.95,54.62,55.56,81578,0.09,0.16%,55.56,4.51m,1124
18,07/12/17,54.75,55.85,54.75,55.47,129787,1.13,2.08%,55.47,7.19m,1474
19,07/11/17,54.72,55.36,53.80,54.34,117898,-0.29,-0.53%,54.34,6.42m,1282
20,07/10/17,54.65,55.36,54.12,54.63,102549,-0.01,-0.02%,54.63,5.61m,1552
21,07/07/17,54.23,54.83,53.74,54.64,112423,0.60,1.11%,54.64,6.12m,1452
22,07/06/17,54.90,55.35,53.74,54.04,185506,-1.31,-2.37%,54.04,10.07m,1705
23,07/05/17,55.29,57.499,54.5575,55.35,106017,-0.05,-0.09%,55.35,5.85m,1368
24,06/30/17,55.10,56.05,54.74,55.51,107085,0.53,0.96%,55.51,5.95m,1133
25,06/29/17,54.86,55.44,53.785,54.98,131009,0.21,0.38%,54.98,7.18m,1807
26,06/28/17,54.55,55.62,54.55,54.77,176841,0.53,0.98%,54.77,9.7m,1870
27,06/27/17,55.59,55.59,54.19,54.24,202047,-1.19,-2.15%,54.24,11.07m,2024
28,06/26/17,55.64,56.43,54.845,55.43,71353,-0.15,-0.27%,55.43,3.96m,814
