,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,37.11,37.30,36.7788,37.26,172543,0.26,0.70%,37.26,6.4m,2042
2,08/03/17,37.14,37.3059,36.88,37.00,182144,-0.15,-0.40%,37.00,6.75m,2314
3,08/02/17,37.30,37.649,36.71,37.15,271984,-0.10,-0.27%,37.15,10.11m,2904
4,08/01/17,37.75,38.00,37.18,37.25,214021,-0.54,-1.43%,37.25,8.01m,2033
5,07/31/17,37.76,37.8964,37.15,37.79,263836,0.04,0.11%,37.79,9.94m,2326
6,07/28/17,37.54,37.96,37.50,37.75,154898,0.09,0.24%,37.75,5.84m,1646
7,07/27/17,37.83,38.04,37.14,37.66,194905,-0.08,-0.21%,37.66,7.32m,2532
8,07/26/17,38.19,38.265,37.36,37.74,229661,-0.41,-1.07%,37.74,8.66m,2316
9,07/25/17,38.40,38.71,38.02,38.15,141066,-0.09,-0.24%,38.15,5.4m,1357
10,07/24/17,38.45,38.49,38.10,38.24,183328,-0.06,-0.16%,38.24,7.02m,1833
11,07/21/17,38.44,38.53,38.13,38.30,317467,0.19,0.50%,38.30,12.18m,2781
12,07/20/17,38.21,38.513,38.03,38.11,331194,-0.13,-0.34%,38.11,12.66m,3085
13,07/19/17,38.45,38.77,37.90,38.24,362493,-0.21,-0.55%,38.24,13.85m,3092
14,07/18/17,39.15,39.15,38.40,38.45,203504,-0.84,-2.14%,38.45,7.87m,2188
15,07/17/17,39.47,39.63,39.09,39.29,240033,-0.18,-0.46%,39.29,9.44m,2150
16,07/14/17,39.31,39.73,39.31,39.47,229473,0.11,0.28%,39.47,9.08m,2726
17,07/13/17,39.76,40.00,39.33,39.36,376564,-0.37,-0.93%,39.36,14.91m,3559
18,07/12/17,39.57,39.95,39.00,39.73,237839,0.31,0.79%,39.73,9.4m,2613
19,07/11/17,39.06,39.83,38.98,39.42,199373,0.04,0.10%,39.42,7.87m,1974
20,07/10/17,38.80,39.64,38.49,39.38,410042,0.71,1.84%,39.38,16.03m,3556
21,07/07/17,38.20,39.13,38.20,38.67,285650,0.56,1.47%,38.67,11.07m,2895
22,07/06/17,39.41,39.98,37.95,38.11,554935,-1.40,-3.54%,38.11,21.66m,5379
23,07/05/17,39.34,40.10,38.96,39.51,584445,0.45,1.15%,39.51,23.12m,5506
24,06/30/17,36.49,38.60,36.41,38.20,761754,1.70,4.66%,38.20,28.97m,6671
25,06/29/17,35.07,36.57,34.845,36.50,549509,1.39,3.96%,36.50,19.83m,5158
26,06/28/17,30.37,35.40,30.05,35.11,1096573,2.62,8.06%,35.11,36.81m,9460
27,06/27/17,31.11,32.60,30.97,32.49,680007,1.52,4.91%,32.49,21.68m,5472
28,06/26/17,30.93,31.28,30.84,30.97,219066,0.20,0.65%,30.97,6.8m,2387
29,06/23/17,30.96,31.11,30.6515,30.77,408546,-0.08,-0.26%,30.77,12.6m,2505
30,06/22/17,30.71,31.15,30.70,30.85,176136,0.14,0.46%,30.85,5.45m,2110
31,06/21/17,31.15,31.15,30.51,30.71,85573,-0.40,-1.29%,30.71,2.63m,1044
