,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,250.735,250.97,248.12,249.17,1345423,-1.12,-0.45%,249.17,335.74m,14910
2,08/03/17,252.81,253.00,247.23,250.29,2344651,-3.07,-1.21%,250.29,585.06m,23447
3,08/02/17,254.60,257.28,251.055,253.36,3697018,4.97,2.00%,253.36,938.06m,37619
4,08/01/17,248.23,250.00,246.96,248.39,1758194,1.73,0.70%,248.39,436.57m,15908
5,07/31/17,250.98,252.45,245.46,246.66,1899118,-3.71,-1.48%,246.66,470.26m,21988
6,07/28/17,248.92,251.115,247.50,250.37,3191860,-0.58,-0.23%,250.37,795.64m,25600
7,07/27/17,258.21,258.49,248.95,250.95,3200980,-6.06,-2.36%,250.95,808.88m,34172
8,07/26/17,254.69,258.19,254.62,257.01,1997140,2.71,1.07%,257.01,513.17m,19689
9,07/25/17,252.80,254.41,250.18,254.30,1612323,1.27,0.50%,254.30,408.04m,16695
10,07/24/17,253.29,253.68,251.69,253.03,1363836,-0.08,-0.03%,253.03,345.02m,16094
11,07/21/17,251.53,253.52,250.46,253.11,1550391,-0.32,-0.13%,253.11,391.44m,17483
12,07/20/17,254.50,255.00,252.35,253.43,1213544,-0.97,-0.38%,253.43,307.92m,15942
13,07/19/17,252.00,254.54,250.55,254.40,2552646,3.52,1.40%,254.40,644.97m,26559
14,07/18/17,247.26,250.93,246.06,250.88,1300337,1.86,0.75%,250.88,324.09m,16261
15,07/17/17,250.79,252.36,248.86,249.02,1874573,-1.27,-0.51%,249.02,468.88m,20438
16,07/14/17,248.63,250.40,247.85,250.29,1441720,2.98,1.20%,250.29,359.5m,16722
17,07/13/17,247.12,249.87,246.55,247.31,2040048,0.89,0.36%,247.31,506.3m,24236
18,07/12/17,243.00,247.18,241.06,246.42,2771047,5.53,2.30%,246.42,677.49m,27528
19,07/11/17,242.00,242.60,239.39,240.89,2050168,-0.88,-0.36%,240.89,493.61m,24566
20,07/10/17,240.51,241.94,238.81,241.77,2249872,2.15,0.90%,241.77,541.49m,25800
21,07/07/17,235.30,240.19,235.27,239.62,2473086,4.58,1.95%,239.62,590.65m,27026
22,07/06/17,227.56,235.73,227.50,235.04,2633380,3.43,1.48%,235.04,615.53m,29893
23,07/05/17,231.00,232.33,229.11,231.61,2969882,1.85,0.81%,231.61,686.21m,32567
