,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,3.96,4.049,3.95,3.99,189850,0.06,1.53%,3.99,757.44k,788
2,08/03/17,4.00,4.07,3.92,3.93,193552,-0.03,-0.76%,3.93,770.28k,841
3,08/02/17,4.00,4.06,3.90,3.96,197474,-0.07,-1.74%,3.96,785.82k,647
4,08/01/17,4.05,4.07,3.90,4.03,237874,-0.03,-0.74%,4.03,952.64k,847
5,07/31/17,4.15,4.185,4.058,4.06,154043,-0.09,-2.17%,4.06,630.97k,897
6,07/28/17,4.11,4.32,4.10,4.15,176139,-0.02,-0.48%,4.15,734.77k,912
7,07/27/17,4.35,4.4199,4.10,4.17,265981,-0.18,-4.14%,4.17,1.12m,1139
8,07/26/17,4.34,4.4845,4.2882,4.35,278258,0.02,0.46%,4.35,1.22m,1169
9,07/25/17,4.16,4.44,4.14,4.33,346583,0.16,3.84%,4.33,1.49m,1206
10,07/24/17,4.40,4.40,4.01,4.17,518780,-0.04,-0.95%,4.17,2.16m,2329
11,07/21/17,4.84,4.87,3.63,4.21,1737285,-0.66,-13.55%,4.21,7.37m,5773
12,07/20/17,5.01,5.07,4.80,4.87,585292,-0.13,-2.60%,4.87,2.87m,1654
13,07/19/17,5.10,5.19,4.951,5.00,383402,-0.10,-1.96%,5.00,1.93m,1083
14,07/18/17,5.12,5.19,5.10,5.10,183935,-0.03,-0.58%,5.10,942.01k,585
15,07/17/17,5.34,5.38,5.12,5.13,294429,-0.21,-3.93%,5.13,1.54m,959
16,07/14/17,5.38,5.38,5.28,5.34,129979,0.00,0.00%,5.34,692.6k,762
17,07/13/17,5.33,5.3808,5.26,5.34,148317,0.01,0.19%,5.34,786.28k,702
18,07/12/17,5.40,5.44,5.28,5.33,128345,-0.05,-0.93%,5.33,684.66k,699
19,07/11/17,5.36,5.55,5.281,5.38,335581,0.03,0.56%,5.38,1.83m,1422
20,07/10/17,5.32,5.40,5.13,5.35,304503,0.00,0.00%,5.35,1.6m,875
21,07/07/17,5.38,5.435,5.30,5.35,165474,-0.06,-1.11%,5.35,884.93k,838
22,07/06/17,5.50,5.55,5.35,5.41,206318,-0.13,-2.35%,5.41,1.12m,1006
23,07/05/17,5.40,5.57,5.38,5.54,214032,0.17,3.17%,5.54,1.18m,895
24,06/30/17,5.42,5.42,5.214,5.32,287491,-0.11,-2.03%,5.32,1.53m,1248
25,06/29/17,5.56,5.57,5.33,5.43,320832,-0.12,-2.16%,5.43,1.74m,957
26,06/28/17,5.49,5.61,5.44,5.55,241834,0.09,1.65%,5.55,1.34m,929
27,06/27/17,5.55,5.605,5.41,5.46,238317,-0.09,-1.62%,5.46,1.31m,834
28,06/26/17,5.72,5.73,5.51,5.55,224048,-0.15,-2.63%,5.55,1.25m,946
29,06/23/17,5.60,5.74,5.55,5.70,497061,0.16,2.89%,5.70,2.83m,1268
30,06/22/17,5.50,5.64,5.40,5.54,399471,0.09,1.65%,5.54,2.21m,1390
31,06/21/17,5.59,5.59,5.40,5.45,246963,0.06,1.11%,5.45,1.35m,968
32,06/20/17,5.39,5.54,5.20,5.39,307611,-0.02,-0.37%,5.39,1.66m,1212
33,06/19/17,5.33,5.45,5.27,5.41,275266,0.05,0.93%,5.41,1.48m,1096
34,06/16/17,5.50,5.56,5.10,5.36,802610,-0.20,-3.60%,5.36,4.27m,2327
35,06/15/17,5.62,5.7388,5.50,5.56,442752,-0.10,-1.77%,5.56,2.47m,1412
36,06/14/17,5.79,5.81,5.61,5.66,297299,-0.04,-0.70%,5.66,1.69m,1079
37,06/13/17,5.77,5.8399,5.67,5.70,289902,-0.04,-0.70%,5.70,1.66m,1230
38,06/12/17,5.86,5.91,5.71,5.74,482397,-0.22,-3.69%,5.74,2.78m,1737
39,06/09/17,5.98,6.05,5.86,5.96,312373,-0.02,-0.33%,5.96,1.86m,1318
40,06/08/17,5.92,6.07,5.90,5.98,256586,0.01,0.17%,5.98,1.54m,1349
41,06/07/17,6.19,6.23,5.92,5.97,295330,-0.19,-3.08%,5.97,1.79m,1436
42,06/06/17,6.10,6.27,6.10,6.16,412865,-0.10,-1.60%,6.16,2.55m,1751
43,06/05/17,6.19,6.26,6.03,6.26,344258,0.12,1.95%,6.26,2.13m,1451
44,06/02/17,6.00,6.25,5.97,6.14,532142,0.18,3.02%,6.14,3.26m,2219
45,06/01/17,5.79,6.00,5.79,5.96,364023,0.17,2.94%,5.96,2.17m,1564
46,05/31/17,5.69,5.82,5.631,5.79,230142,0.14,2.48%,5.79,1.33m,1002
47,05/30/17,5.85,5.85,5.60,5.65,303841,-0.23,-3.91%,5.65,1.73m,1127
48,05/26/17,5.95,5.97,5.85,5.88,132927,-0.06,-1.01%,5.88,782.59k,850
49,05/25/17,5.77,5.96,5.755,5.94,271616,0.13,2.24%,5.94,1.6m,1312
50,05/24/17,5.79,5.88,5.71,5.81,169193,0.04,0.69%,5.81,981.13k,1124
51,05/23/17,5.83,5.88,5.71,5.77,185873,-0.08,-1.37%,5.77,1.07m,791
52,05/22/17,5.83,5.93,5.76,5.85,328414,0.12,2.09%,5.85,1.91m,1276
53,05/19/17,5.71,5.899,5.69,5.73,209051,0.11,1.96%,5.73,1.2m,955
54,05/18/17,5.62,5.8499,5.58,5.62,262072,-0.03,-0.53%,5.62,1.5m,1377
55,05/17/17,5.96,6.08,5.61,5.65,446323,-0.39,-6.46%,5.65,2.58m,1807
56,05/16/17,6.00,6.08,5.971,6.04,257163,0.04,0.67%,6.04,1.55m,946
57,05/15/17,5.97,6.10,5.95,6.00,223020,0.08,1.35%,6.00,1.35m,916
58,05/12/17,5.77,6.00,5.76,5.92,152318,0.11,1.89%,5.92,900.91k,757
59,05/11/17,5.95,5.95,5.75,5.81,205519,-0.16,-2.68%,5.81,1.2m,869
60,05/10/17,6.03,6.0899,5.74,5.97,267824,-0.06,-1.00%,5.97,1.58m,919
61,05/09/17,6.11,6.17,6.01,6.03,187292,-0.10,-1.63%,6.03,1.14m,861
62,05/08/17,6.09,6.17,5.87,6.13,482563,0.14,2.34%,6.13,2.92m,1791
63,05/05/17,5.73,6.00,5.65,5.99,404107,0.31,5.46%,5.99,2.37m,1440
64,05/04/17,5.66,5.79,5.65,5.68,207475,0.03,0.53%,5.68,1.18m,1058
65,05/03/17,5.60,5.72,5.60,5.65,252785,0.02,0.36%,5.65,1.43m,1019
66,05/02/17,5.73,5.79,5.59,5.63,200025,-0.08,-1.40%,5.63,1.13m,855
67,05/01/17,5.66,5.85,5.65,5.71,251972,0.08,1.42%,5.71,1.45m,1010
68,04/28/17,5.65,5.82,5.62,5.63,276972,-0.04,-0.71%,5.63,1.57m,1183
69,04/27/17,5.76,5.89,5.65,5.67,194261,-0.06,-1.05%,5.67,1.12m,967
70,04/26/17,5.75,5.86,5.70,5.73,277787,0.01,0.17%,5.73,1.61m,1220
71,04/25/17,5.66,5.77,5.66,5.72,204864,0.08,1.42%,5.72,1.17m,991
72,04/24/17,5.70,5.80,5.6101,5.64,285074,-0.07,-1.23%,5.64,1.62m,1254
73,04/21/17,5.74,5.8332,5.61,5.71,259961,-0.04,-0.70%,5.71,1.48m,1228
74,04/20/17,5.87,5.94,5.75,5.75,216418,-0.11,-1.88%,5.75,1.26m,1031
75,04/19/17,5.74,5.94,5.67,5.86,369335,0.12,2.09%,5.86,2.15m,1267
76,04/18/17,5.91,5.95,5.67,5.74,536376,-0.27,-4.49%,5.74,3.1m,2096
77,04/17/17,6.10,6.25,5.99,6.01,368555,-0.12,-1.96%,6.01,2.24m,2186
