,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,5.85,5.90,5.80,5.85,23885,0.00,0.00%,5.85,139.14k,140
2,08/03/17,6.00,6.00,5.85,5.85,40259,-0.15,-2.50%,5.85,239.41k,121
3,08/02/17,6.00,6.05,5.807,6.00,169429,0.119998,2.04%,6.00,1.01m,357
4,08/01/17,6.05,6.25,5.95,6.025,179720,-0.024399,-0.41%,5.88,1.08m,529
5,07/31/17,6.00,6.15,5.9578,6.05,92375,0.048797,0.83%,5.9044,559.7k,325
6,07/28/17,6.05,6.10,5.969,6.00,47182,0.00,0.00%,5.8556,284.32k,155
7,07/27/17,6.00,6.25,5.90,6.00,41444,0.097593,1.69%,5.8556,248.91k,326
8,07/26/17,6.00,6.00,5.90,5.90,36329,-0.048796,-0.84%,5.758,215.47k,197
9,07/25/17,6.00,6.025,5.95,5.95,28690,-0.048797,-0.83%,5.8068,171.62k,104
10,07/24/17,5.95,6.20,5.95,6.00,71686,0.048797,0.84%,5.8556,431.78k,280
11,07/21/17,6.00,6.048,5.95,5.95,30394,-0.097594,-1.65%,5.8068,182.07k,135
12,07/20/17,6.00,6.10,5.95,6.05,38326,0.097594,1.68%,5.9044,230.17k,176
13,07/19/17,6.00,6.10,5.9499,5.95,45066,-0.048797,-0.83%,5.8068,271.12k,149
14,07/18/17,6.025,6.10,5.90,6.00,36414,0.00,0.00%,5.8556,218.98k,138
15,07/17/17,5.95,6.10,5.90,6.00,57144,0.00,0.00%,5.8556,343.94k,191
16,07/14/17,6.00,6.30,6.00,6.00,74496,0.00,0.00%,5.8556,454.65k,331
17,07/13/17,5.75,6.20,5.75,6.00,146006,0.195187,3.45%,5.8556,874.31k,884
18,07/12/17,5.80,5.90,5.75,5.80,86779,0.048796,0.87%,5.6604,502.54k,369
19,07/11/17,5.85,6.00,5.75,5.75,134718,-0.048796,-0.86%,5.6116,791.73k,517
20,07/10/17,5.95,6.0793,5.75,5.80,173817,-0.14639,-2.52%,5.6604,1.02m,372
21,07/07/17,5.9999,6.10,5.90,5.95,81397,0.048796,0.85%,5.8068,486.97k,229
22,07/06/17,6.20,6.20,5.75,5.90,111453,-0.195186,-3.28%,5.758,677.7k,333
23,07/05/17,6.20,6.3118,6.10,6.10,95449,-0.097594,-1.61%,5.9532,588.12k,326
24,06/30/17,6.45,6.65,6.17,6.25,151550,-0.195186,-3.10%,6.0996,951.49k,232
25,06/29/17,6.3295,6.55,6.30,6.45,19109,0.195186,3.20%,6.2948,122.78k,120
26,06/28/17,6.35,6.4395,6.20,6.25,125118,-0.097593,-1.57%,6.0996,784.01k,198
27,06/27/17,6.389,6.45,6.30,6.35,21145,0.00,0.00%,6.1972,134.99k,89
28,06/26/17,6.35,6.60,6.35,6.35,39905,-0.14639,-2.31%,6.1972,255.24k,151
29,06/23/17,6.40,6.50,6.25,6.50,33609,0.048797,0.78%,6.3436,215.45k,144
30,06/22/17,6.30,6.45,6.265,6.45,13116,0.195186,3.20%,6.2948,83.43k,75
31,06/21/17,6.60,6.6098,6.20,6.25,301239,-0.341576,-5.30%,6.0996,1.92m,630
32,06/20/17,6.60,6.65,6.55,6.60,62972,0.00,0.00%,6.4412,415.78k,266
33,06/19/17,6.75,6.75,6.55,6.60,70095,-0.195187,-2.94%,6.4412,466.25k,454
34,06/16/17,6.55,6.80,6.55,6.80,57242,0.195187,3.03%,6.6364,381.34k,266
35,06/15/17,6.60,6.64,6.50,6.60,47099,-0.048797,-0.75%,6.4412,308.45k,158
36,06/14/17,6.65,6.70,6.55,6.65,119869,0.048797,0.76%,6.49,793.02k,256
37,06/13/17,6.55,6.65,6.55,6.60,90677,-0.048797,-0.75%,6.4412,599.9k,363
38,06/12/17,6.75,6.75,6.65,6.65,79508,-0.097594,-1.48%,6.49,529.48k,321
