,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,20.15,20.65,20.15,20.55,667021,0.40,1.99%,20.55,13.66m,3612
2,08/03/17,19.50,20.35,19.05,20.15,1927002,-1.45,-6.71%,20.15,38.48m,8570
3,08/02/17,22.00,22.05,21.10,21.60,502538,-0.40,-1.82%,21.60,10.9m,3471
4,08/01/17,22.10,22.325,21.875,22.00,416212,0.00,0.00%,22.00,9.16m,3197
5,07/31/17,22.05,22.125,21.80,22.00,197530,0.05,0.23%,22.00,4.34m,1659
6,07/28/17,22.00,22.15,21.95,21.95,154168,-0.05,-0.23%,21.95,3.4m,1536
7,07/27/17,22.30,22.35,21.85,22.00,243300,-0.25,-1.12%,22.00,5.38m,1899
8,07/26/17,22.00,22.55,21.75,22.25,445013,0.35,1.60%,22.25,9.91m,2523
9,07/25/17,21.75,21.95,21.30,21.90,384075,0.35,1.62%,21.90,8.35m,2236
10,07/24/17,21.70,21.80,21.50,21.55,215723,-0.15,-0.69%,21.55,4.66m,1657
11,07/21/17,22.05,22.05,21.55,21.70,272692,-0.05,-0.23%,21.70,5.93m,2079
12,07/20/17,21.95,22.00,21.60,21.75,255959,-0.10,-0.46%,21.75,5.57m,2575
13,07/19/17,22.00,22.00,21.70,21.85,282214,-0.05,-0.23%,21.85,6.17m,1815
14,07/18/17,21.80,21.95,21.60,21.90,363642,0.00,0.00%,21.90,7.94m,1961
15,07/17/17,21.70,22.05,21.6387,21.90,297766,0.20,0.92%,21.90,6.51m,2510
16,07/14/17,21.70,21.925,21.60,21.70,388582,0.05,0.23%,21.70,8.46m,2781
17,07/13/17,21.65,21.80,21.475,21.65,229931,0.00,0.00%,21.65,4.97m,2148
18,07/12/17,21.80,22.05,21.575,21.65,443023,0.00,0.00%,21.65,9.63m,2639
19,07/11/17,21.60,21.75,21.30,21.65,329907,0.00,0.00%,21.65,7.14m,2838
20,07/10/17,21.60,21.70,21.30,21.65,461430,0.05,0.23%,21.65,9.94m,3528
21,07/07/17,21.55,21.70,21.35,21.60,406774,0.10,0.47%,21.60,8.78m,3499
22,07/06/17,21.65,21.75,21.35,21.50,327925,-0.35,-1.60%,21.50,7.06m,2638
23,07/05/17,21.95,22.10,21.45,21.85,333061,-0.25,-1.13%,21.85,7.26m,2846
24,06/30/17,21.85,22.25,21.45,21.85,752607,0.15,0.69%,21.85,16.54m,4115
25,06/29/17,22.55,22.75,21.70,21.70,1081143,-0.75,-3.34%,21.70,23.84m,7169
26,06/28/17,21.90,22.50,21.875,22.45,1254003,0.60,2.75%,22.45,27.94m,7431
27,06/27/17,21.70,21.90,21.50,21.85,740371,0.15,0.69%,21.85,16.1m,5110
28,06/26/17,21.70,21.90,21.55,21.70,526722,0.05,0.23%,21.70,11.43m,3086
29,06/23/17,21.60,21.80,21.50,21.65,3019339,-0.05,-0.23%,21.65,65.34m,3893
30,06/22/17,21.70,22.05,21.65,21.70,241027,0.05,0.23%,21.70,5.26m,2438
31,06/21/17,22.00,22.05,21.45,21.65,650288,-0.20,-0.92%,21.65,14.1m,3954
32,06/20/17,21.90,22.05,20.95,21.85,663807,0.05,0.23%,21.85,14.52m,4800
33,06/19/17,22.05,22.20,21.70,21.80,836919,-0.25,-1.13%,21.80,18.32m,4072
34,06/16/17,21.60,22.05,21.60,22.05,653570,0.15,0.68%,22.05,14.29m,3291
35,06/15/17,21.90,22.0503,21.70,21.90,619492,-0.10,-0.45%,21.90,13.55m,4083
36,06/14/17,21.95,22.30,21.80,22.00,918603,0.10,0.46%,22.00,20.21m,6404
37,06/13/17,21.10,22.00,21.05,21.90,1040634,0.80,3.79%,21.90,22.58m,6634
38,06/12/17,20.45,21.15,20.45,21.10,588691,0.65,3.18%,21.10,12.33m,5005
39,06/09/17,20.10,20.65,19.90,20.45,425032,0.40,2.00%,20.45,8.67m,3124
40,06/08/17,20.20,20.45,19.90,20.05,332311,-0.05,-0.25%,20.05,6.69m,2990
41,06/07/17,19.95,20.50,19.85,20.10,649884,0.05,0.25%,20.10,13.16m,3603
42,06/06/17,20.00,20.30,19.70,20.05,520868,-0.10,-0.50%,20.05,10.46m,4065
43,06/05/17,20.60,20.60,20.05,20.15,335436,-0.40,-1.95%,20.15,6.8m,2849
44,06/02/17,19.95,20.70,19.70,20.55,660726,0.60,3.01%,20.55,13.54m,4231
45,06/01/17,19.65,20.00,19.30,19.95,391169,0.45,2.31%,19.95,7.75m,2578
46,05/31/17,19.75,19.75,19.275,19.50,508113,-0.25,-1.27%,19.50,9.86m,2786
47,05/30/17,19.90,19.9301,19.60,19.75,280518,-0.25,-1.25%,19.75,5.53m,1902
48,05/26/17,20.00,20.10,19.80,20.00,259663,-0.10,-0.50%,20.00,5.19m,1756
49,05/25/17,20.20,20.45,19.90,20.10,325500,-0.05,-0.25%,20.10,6.56m,2556
50,05/24/17,20.20,20.35,19.85,20.15,298115,0.00,0.00%,20.15,5.98m,2321
51,05/23/17,20.50,20.90,20.05,20.15,364252,-0.35,-1.71%,20.15,7.39m,2856
52,05/22/17,20.60,20.65,20.20,20.50,487886,0.00,0.00%,20.50,9.96m,3347
53,05/19/17,20.10,20.70,20.10,20.50,1069938,0.40,1.99%,20.50,21.9m,4204
54,05/18/17,20.00,20.20,19.725,20.10,895625,0.10,0.50%,20.10,17.96m,3894
55,05/17/17,20.55,20.60,19.85,20.00,669223,-0.80,-3.85%,20.00,13.44m,4421
56,05/16/17,20.80,20.90,20.425,20.80,617409,-0.05,-0.24%,20.80,12.8m,4295
57,05/15/17,20.50,20.90,20.25,20.85,534979,0.45,2.21%,20.85,11.05m,4051
58,05/12/17,20.85,20.85,20.2303,20.40,550158,-0.50,-2.39%,20.40,11.29m,3900
59,05/11/17,20.95,21.05,20.60,20.90,546930,-0.20,-0.95%,20.90,11.39m,3771
60,05/10/17,20.90,21.30,20.50,21.10,741915,0.10,0.48%,21.10,15.53m,5112
61,05/09/17,21.45,21.75,20.675,21.00,1207896,-0.35,-1.64%,21.00,25.37m,7726
62,05/08/17,22.50,23.05,21.00,21.35,2031770,-1.80,-7.78%,21.35,44.14m,10501
63,05/05/17,23.00,23.25,22.65,23.15,1019315,0.15,0.65%,23.15,23.41m,4873
64,05/04/17,23.15,23.20,22.90,23.00,245454,-0.05,-0.22%,23.00,5.66m,2073
65,05/03/17,23.25,23.30,22.80,23.05,387206,-0.35,-1.50%,23.05,8.92m,2898
66,05/02/17,23.35,23.45,23.10,23.40,307829,0.10,0.43%,23.40,7.18m,2562
67,05/01/17,23.40,23.50,23.15,23.30,502569,0.00,0.00%,23.30,11.71m,2946
68,04/28/17,23.60,23.70,23.15,23.30,231476,-0.25,-1.06%,23.30,5.4m,1856
69,04/27/17,23.55,23.65,23.175,23.55,506996,0.05,0.21%,23.55,11.9m,4050
70,04/26/17,23.50,23.60,23.05,23.50,672941,0.00,0.00%,23.50,15.73m,5508
71,04/25/17,23.70,23.85,23.30,23.50,1596157,0.00,0.00%,23.50,37.69m,9529
72,04/24/17,23.55,23.55,23.05,23.50,556896,0.30,1.29%,23.50,13m,3360
73,04/21/17,23.00,23.30,22.90,23.20,507184,0.20,0.87%,23.20,11.73m,3368
74,04/20/17,23.15,23.23,22.85,23.00,466007,0.00,0.00%,23.00,10.71m,3373
75,04/19/17,23.00,23.15,22.80,23.00,1114545,0.10,0.44%,23.00,25.62m,6239
76,04/18/17,22.90,23.15,22.65,22.90,283816,-0.10,-0.43%,22.90,6.48m,2126
77,04/17/17,23.30,23.35,22.80,23.00,297465,-0.25,-1.08%,23.00,6.84m,2064
78,04/13/17,23.75,23.85,23.10,23.25,615548,-0.50,-2.11%,23.25,14.4m,4873
79,04/12/17,23.60,23.90,23.60,23.75,1145473,0.05,0.21%,23.75,27.19m,7252
80,04/11/17,23.35,23.70,23.15,23.70,610666,0.40,1.72%,23.70,14.39m,3796
81,04/10/17,23.20,23.45,22.95,23.30,604655,0.10,0.43%,23.30,14.01m,3985
82,04/07/17,23.30,23.40,23.00,23.20,452953,-0.10,-0.43%,23.20,10.49m,2844
83,04/06/17,22.80,23.30,22.65,23.30,466479,0.55,2.42%,23.30,10.78m,3444
84,04/05/17,23.20,23.60,22.65,22.75,920161,-0.30,-1.30%,22.75,21.34m,6247
85,04/04/17,22.50,23.05,22.30,23.05,611196,0.60,2.67%,23.05,13.96m,4474
86,04/03/17,22.60,22.80,22.10,22.45,355463,-0.15,-0.66%,22.45,7.98m,2626
