,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,2.80,2.83,2.80,2.80,9533,0.1799,6.87%,2.80,26.81k,24
2,08/03/17,,,,2.6201,44,0.00,0.00%,2.6201,,3
3,08/02/17,2.75,2.75,2.62,2.6201,8871,-0.1579,-5.68%,2.6201,23.41k,29
4,08/01/17,2.7515,2.778,2.75,2.778,8604,-0.001,-0.04%,2.778,23.68k,9
5,07/31/17,2.7443,2.793,2.73,2.779,4186,0.079,2.93%,2.779,11.52k,11
6,07/28/17,2.73,2.751,2.70,2.70,2589,-0.07,-2.53%,2.70,7.08k,15
7,07/27/17,2.766,2.8306,2.7502,2.77,9823,0.0868,3.23%,2.77,27.22k,32
8,07/26/17,2.71,2.7533,2.6832,2.6832,19950,-0.0168,-0.62%,2.6832,54.11k,19
9,07/25/17,2.70,2.75,2.70,2.70,11435,-0.0328,-1.20%,2.70,30.91k,14
10,07/24/17,2.69,2.8028,2.62,2.7328,30917,0.0465,1.73%,2.7328,83.8k,57
11,07/21/17,2.63,2.6863,2.5701,2.6863,4095,0.0663,2.53%,2.6863,10.69k,27
12,07/20/17,2.6473,2.6799,2.62,2.62,6409,-0.05,-1.87%,2.62,16.82k,6
13,07/19/17,2.67,2.67,2.62,2.67,37292,0.0037,0.14%,2.67,99.21k,47
14,07/18/17,2.65,2.6665,2.55,2.6663,43656,0.0663,2.55%,2.6663,113.05k,75
15,07/17/17,2.62,2.63,2.60,2.60,1552,-0.0788,-2.94%,2.60,4.08k,10
16,07/14/17,2.5708,2.6788,2.5708,2.6788,2147,0.1088,4.23%,2.6788,5.63k,4
17,07/13/17,2.56,2.5837,2.56,2.57,2600,-0.0304,-1.17%,2.57,6.69k,24
18,07/12/17,2.5521,2.6004,2.5521,2.6004,871,0.0204,0.79%,2.6004,2.26k,14
19,07/11/17,2.69,2.73,2.58,2.58,8316,-0.2499,-8.83%,2.58,22.19k,21
20,07/10/17,2.59,2.8299,2.5201,2.8299,11670,0.27,10.55%,2.8299,30.41k,29
21,07/07/17,2.60,2.61,2.54,2.5599,4144,-0.0861,-3.25%,2.5599,10.64k,31
22,07/06/17,2.66,2.7001,2.63,2.646,1851,-0.024,-0.90%,2.646,4.92k,19
23,07/05/17,2.90,2.90,2.61,2.67,23191,-0.0425,-1.57%,2.67,63.21k,56
24,06/30/17,2.5649,2.75,2.56,2.63,34180,-0.03,-1.13%,2.63,90.64k,54
25,06/29/17,2.86,2.8906,2.61,2.66,49924,-0.14,-5.00%,2.66,137.29k,75
26,06/28/17,2.55,2.85,2.48,2.80,37833,0.2601,10.24%,2.80,99.46k,121
27,06/27/17,2.4869,2.54,2.4775,2.5399,14053,-0.0001,-0.00%,2.5399,35.51k,50
28,06/26/17,2.52,2.54,2.40,2.54,39767,0.0415,1.66%,2.54,100.7k,31
29,06/23/17,2.42,2.50,2.42,2.4985,2893,0.0601,2.46%,2.4985,7.17k,22
30,06/22/17,2.40,2.4769,2.39,2.4384,2308,-0.1116,-4.38%,2.4384,5.56k,31
31,06/21/17,2.4009,2.55,2.4009,2.55,13455,0.01,0.39%,2.55,34.11k,17
32,06/20/17,2.42,2.54,2.4183,2.54,35241,0.12,4.96%,2.54,88.37k,88
33,06/19/17,2.30,2.50,2.30,2.42,50244,0.11,4.76%,2.42,118.4k,103
34,06/16/17,2.3999,2.3999,2.30,2.31,6958,-0.13,-5.33%,2.31,16.42k,20
35,06/15/17,2.46,2.46,2.35,2.44,11882,-0.01,-0.41%,2.44,28.62k,52
36,06/14/17,2.50,2.53,2.3823,2.45,13665,-0.11,-4.30%,2.45,33.71k,22
37,06/13/17,2.5688,2.60,2.43,2.56,35102,0.05,1.99%,2.56,87.12k,73
38,06/12/17,2.50,2.54,2.50,2.51,4310,0.05,2.03%,2.51,10.84k,21
39,06/09/17,2.55,2.55,2.46,2.46,3121,0.03,1.23%,2.46,7.95k,10
40,06/08/17,2.5688,2.5688,2.43,2.43,6307,-0.09,-3.57%,2.43,15.76k,18
41,06/07/17,2.46,2.65,2.46,2.52,14844,-0.13,-4.91%,2.52,37.12k,24
42,06/06/17,2.51,2.68,2.51,2.65,53967,0.13,5.16%,2.65,142.57k,51
43,06/05/17,2.48,2.68,2.45,2.52,7897,0.00,0.00%,2.52,20.42k,35
44,06/02/17,2.5868,2.60,2.45,2.52,29809,0.11,4.56%,2.52,74.23k,58
45,06/01/17,2.4328,2.54,2.41,2.41,2901,-0.09,-3.60%,2.41,7.08k,9
46,05/31/17,2.57,2.69,2.45,2.50,4612,-0.1203,-4.59%,2.50,11.64k,17
47,05/30/17,2.59,2.6203,2.59,2.6203,216,-0.0097,-0.37%,2.6203,562.71,4
48,05/26/17,2.64,2.6556,2.63,2.63,2690,-0.0653,-2.42%,2.63,7.11k,16
49,05/25/17,2.692,2.7053,2.6036,2.6953,3903,0.0553,2.09%,2.6953,10.4k,17
50,05/24/17,2.6741,2.70,2.63,2.64,6104,-0.10,-3.65%,2.64,16.44k,14
51,05/23/17,2.60,2.75,2.60,2.74,43752,0.1306,5.00%,2.74,119.07k,45
52,05/22/17,2.65,2.65,2.6094,2.6094,3320,-0.0206,-0.78%,2.6094,8.69k,25
53,05/19/17,2.6059,2.68,2.6059,2.63,1450,-0.05,-1.87%,2.63,3.79k,8
54,05/18/17,2.63,2.68,2.5999,2.68,27725,0.0872,3.36%,2.68,72.98k,58
55,05/17/17,2.57,2.6349,2.5283,2.5928,15041,-0.0372,-1.41%,2.5928,39.21k,20
56,05/16/17,2.5315,2.63,2.5315,2.63,2400,0.03,1.15%,2.63,6.1k,5
57,05/15/17,2.578,2.60,2.578,2.60,640,0.06,2.36%,2.60,1.65k,7
58,05/12/17,2.53,2.56,2.50,2.54,3568,0.01,0.40%,2.54,8.97k,17
59,05/11/17,2.54,2.55,2.53,2.53,2000,0.00,0.00%,2.53,5.07k,11
60,05/10/17,2.54,2.58,2.53,2.53,900,-0.061,-2.35%,2.53,2.31k,11
61,05/09/17,2.66,2.66,2.55,2.591,15841,0.091,3.64%,2.591,41.52k,8
62,05/08/17,2.50,2.551,2.50,2.50,6519,-0.04,-1.57%,2.50,16.45k,24
63,05/05/17,2.63,2.63,2.52,2.54,12926,0.09,3.67%,2.54,33.58k,39
64,05/04/17,2.5426,2.57,2.43,2.45,17505,-0.08,-3.16%,2.45,43.32k,58
65,05/03/17,2.53,2.68,2.53,2.53,13627,0.03,1.20%,2.53,35.55k,34
66,05/02/17,2.48,2.53,2.4289,2.50,17568,0.01,0.40%,2.50,43.5k,28
67,05/01/17,2.69,2.69,2.43,2.49,20311,-0.13,-4.96%,2.49,51.51k,35
68,04/28/17,2.62,2.6462,2.35,2.62,18867,0.06,2.34%,2.62,47.01k,55
69,04/27/17,2.35,2.60,2.35,2.56,3954,0.10,4.07%,2.56,9.97k,20
70,04/26/17,2.30,2.60,2.30,2.46,32343,0.07,2.93%,2.46,79.18k,53
71,04/25/17,2.301,2.39,2.25,2.39,13120,0.01,0.42%,2.39,29.96k,23
72,04/24/17,,,,2.38,65,0.00,0.00%,2.38,,2
73,04/21/17,2.40,2.55,2.37,2.38,19508,0.04,1.71%,2.38,48.07k,54
74,04/20/17,2.30,2.35,2.2825,2.34,6591,0.0382,1.66%,2.34,15.44k,21
75,04/19/17,2.28,2.409,2.26,2.3018,9150,0.0418,1.85%,2.3018,21.16k,29
76,04/18/17,2.2601,2.28,2.26,2.26,1120,0.00,0.00%,2.26,2.54k,8
77,04/17/17,2.33,2.34,2.12,2.26,14329,-0.07,-3.00%,2.26,31.08k,46
78,04/13/17,2.3301,2.3424,2.33,2.33,2447,-0.1599,-6.42%,2.33,5.7k,21
79,04/12/17,2.33,2.64,2.33,2.4899,21218,0.1999,8.73%,2.4899,52.47k,32
80,04/11/17,2.2501,2.3118,2.2501,2.29,1379,-0.01,-0.43%,2.29,3.16k,9
81,04/10/17,2.24,2.3179,2.24,2.30,17487,0.10,4.55%,2.30,40.21k,29
82,04/07/17,2.05,2.23,2.05,2.20,36043,-0.01,-0.45%,2.20,77.8k,40
83,04/06/17,2.1728,2.2111,2.04,2.21,22610,0.09,4.25%,2.21,48.47k,33
84,04/05/17,2.10,2.17,2.06,2.12,18680,-0.01,-0.47%,2.12,39.8k,40
85,04/04/17,2.02,2.24,2.02,2.13,12981,-0.10,-4.48%,2.13,27.05k,35
86,04/03/17,2.18,2.23,2.10,2.23,28975,0.04,1.83%,2.23,62.31k,52
87,03/31/17,1.98,2.19,1.98,2.19,25328,0.21,10.61%,2.19,52.43k,54
88,03/30/17,1.9898,1.9898,1.98,1.98,1708,-0.02,-1.00%,1.98,3.38k,17
89,03/29/17,2.0364,2.04,1.961,2.00,2911,0.01,0.50%,2.00,5.84k,15
