,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,54.57,54.63,54.51,54.63,412830,0.00,0.00%,54.63,22.53m,2185
2,08/03/17,54.57,54.64,54.5385,54.63,481750,0.14,0.26%,54.63,26.3m,2537
3,08/02/17,54.50,54.57,54.462,54.49,545427,-0.08,-0.15%,54.49,29.73m,2978
4,08/01/17,54.36,54.57,54.36,54.57,924787,0.217981,0.40%,54.57,50.38m,4210
5,07/31/17,54.29,54.41,54.26,54.40,961910,-0.009991,-0.02%,54.352,52.31m,2768
6,07/28/17,54.36,54.41,54.36,54.41,530912,0.019982,0.04%,54.362,28.88m,2117
7,07/27/17,54.41,54.46,54.36,54.39,897518,0.00,0.00%,54.342,48.84m,3430
8,07/26/17,54.31,54.42,54.31,54.39,420492,0.059947,0.11%,54.342,22.86m,1980
9,07/25/17,54.36,54.41,54.31,54.33,540341,-0.109903,-0.20%,54.2821,29.36m,2266
10,07/24/17,54.48,54.49,54.41,54.44,647370,-0.049956,-0.09%,54.392,35.24m,2184
11,07/21/17,54.42,54.50,54.42,54.49,517345,0.119894,0.22%,54.4419,28.18m,2610
12,07/20/17,54.36,54.39,54.34,54.37,546154,0.009992,0.02%,54.322,29.7m,2590
13,07/19/17,54.37,54.39,54.33,54.36,512110,0.049955,0.09%,54.3121,27.84m,2265
14,07/18/17,54.27,54.32,54.26,54.31,526938,0.099912,0.18%,54.2621,28.61m,2343
15,07/17/17,54.24,54.25,54.20,54.21,634592,0.039965,0.07%,54.1622,34.41m,2516
16,07/14/17,54.20,54.24,54.10,54.17,500801,-0.019982,-0.04%,54.1222,27.12m,2621
17,07/13/17,54.20,54.22,54.14,54.19,408237,-0.029974,-0.06%,54.1422,22.11m,1947
18,07/12/17,54.23,54.25,54.17,54.22,465191,0.16985,0.31%,54.1722,25.21m,2296
19,07/11/17,54.10,54.12,54.02,54.05,1074015,-0.039965,-0.07%,54.0023,58.07m,3459
20,07/10/17,54.11,54.17,54.07,54.09,498867,0.059947,0.11%,54.0423,26.99m,2584
21,07/07/17,54.01,54.09,53.96,54.03,1326154,-0.08992,-0.17%,53.9823,71.61m,3232
22,07/06/17,54.10,54.13,54.05,54.12,725674,-0.099912,-0.18%,54.0723,39.24m,3100
23,07/05/17,54.20,54.26,54.18,54.22,937820,0.009991,0.02%,54.1722,50.85m,4401
24,06/30/17,54.38,54.41,54.31,54.36,810686,0.049911,0.09%,54.2631,44.05m,2814
25,06/29/17,54.45,54.48,54.31,54.31,828503,-0.319429,-0.59%,54.2132,45.06m,3174
26,06/28/17,54.65,54.68,54.55,54.63,507897,-0.029946,-0.05%,54.5326,27.73m,2369
27,06/27/17,54.81,54.83,54.60,54.66,553331,-0.239573,-0.44%,54.5626,30.25m,2676
28,06/26/17,54.93,54.96,54.86,54.90,870204,0.029947,0.05%,54.8022,47.77m,2917
29,06/23/17,54.88,54.8986,54.85,54.87,627490,-0.039929,-0.07%,54.7722,34.43m,2302
30,06/22/17,54.91,54.94,54.89,54.91,464747,0.039929,0.07%,54.8121,25.52m,2215
31,06/21/17,54.86,54.88,54.81,54.87,875431,0.009982,0.02%,54.7722,48.02m,2946
32,06/20/17,54.82,54.87,54.78,54.86,558117,0.109804,0.20%,54.7622,30.6m,2755
33,06/19/17,54.74,54.77,54.72,54.75,531973,0.019964,0.04%,54.6524,29.13m,2856
34,06/16/17,54.73,54.75,54.70,54.73,532533,-0.019964,-0.04%,54.6325,29.14m,2828
35,06/15/17,54.74,54.75,54.68,54.75,649985,-0.079858,-0.15%,54.6524,35.57m,2842
36,06/14/17,54.82,54.86,54.785,54.83,706666,0.099822,0.18%,54.7323,38.74m,2998
37,06/13/17,54.71,54.73,54.68,54.73,621101,-0.039928,-0.07%,54.6325,33.98m,3040
