,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,29.74,30.05,29.65,29.71,106054,0.14,0.47%,29.71,3.17m,1040
2,08/03/17,29.35,29.60,29.34,29.57,168852,0.18,0.61%,29.57,4.98m,1781
3,08/02/17,29.60,29.685,29.23,29.39,167582,-0.22,-0.74%,29.39,4.93m,1418
4,08/01/17,29.50,29.63,29.253,29.61,130739,0.37,1.27%,29.61,3.85m,981
5,07/31/17,29.33,29.50,29.03,29.24,126954,-0.03,-0.10%,29.24,3.72m,1204
6,07/28/17,29.36,29.46,29.04,29.27,94040,-0.06,-0.20%,29.27,2.75m,807
7,07/27/17,29.55,29.93,29.08,29.33,117684,-0.07,-0.24%,29.33,3.47m,1639
8,07/26/17,29.25,29.63,28.94,29.40,145954,0.39,1.34%,29.40,4.28m,1674
9,07/25/17,29.20,29.592,28.95,29.01,172112,0.23,0.80%,29.01,5.01m,1526
10,07/24/17,28.68,29.179,28.47,28.78,129263,0.07,0.24%,28.78,3.71m,1147
11,07/21/17,29.36,29.36,28.66,28.71,114766,-0.09,-0.31%,28.71,3.32m,1001
12,07/20/17,28.67,28.90,28.455,28.80,100560,0.13,0.45%,28.80,2.89m,1255
13,07/19/17,28.82,29.04,28.52,28.67,73329,-0.060006,-0.21%,28.67,2.1m,818
14,07/18/17,28.92,29.12,28.80,28.91,118064,-0.288195,-0.99%,28.73,3.42m,1332
15,07/17/17,29.01,29.375,28.94,29.20,85124,-0.009938,-0.03%,29.0182,2.49m,990
16,07/14/17,29.42,29.46,29.075,29.21,117203,-0.457136,-1.55%,29.0281,3.43m,1428
17,07/13/17,29.82,29.93,29.47,29.67,92762,-0.228568,-0.77%,29.4853,2.75m,1165
18,07/12/17,29.64,30.10,29.29,29.90,111827,0.268319,0.91%,29.7138,3.33m,1014
19,07/11/17,29.95,30.00,29.31,29.63,102981,-0.188817,-0.64%,29.4455,3.05m,966
20,07/10/17,29.73,30.10,29.45,29.82,155421,-0.069564,-0.23%,29.6343,4.63m,1430
21,07/07/17,29.48,30.08,29.24,29.89,160289,0.586327,2.01%,29.7039,4.78m,1311
22,07/06/17,29.53,29.78,29.26,29.30,122449,-0.367697,-1.25%,29.1176,3.61m,1565
23,07/05/17,30.10,30.10,29.36,29.67,95036,-0.486949,-1.62%,29.4853,2.82m,1127
24,06/30/17,29.77,29.78,29.28,29.32,264309,-0.357758,-1.21%,29.1375,7.78m,1691
25,06/29/17,29.75,29.92,29.26,29.68,80442,0.248443,0.85%,29.4952,2.38m,1110
26,06/28/17,29.01,29.47,29.01,29.43,70660,0.536638,1.87%,29.2468,2.07m,1035
27,06/27/17,28.92,29.305,28.72,28.89,75579,0.029813,0.10%,28.7101,2.19m,979
28,06/26/17,28.55,29.04,28.50,28.86,74720,0.387572,1.37%,28.6803,2.16m,1182
29,06/23/17,28.72,28.92,28.36,28.47,307455,-0.188817,-0.66%,28.2927,8.76m,1292
30,06/22/17,28.89,29.0899,28.47,28.66,95463,-0.248443,-0.86%,28.4816,2.74m,1147
31,06/21/17,29.55,29.55,28.89,28.91,57481,-0.536638,-1.83%,28.73,1.67m,604
32,06/20/17,29.87,29.92,29.44,29.45,82463,-0.596265,-2.00%,29.2666,2.44m,806
33,06/19/17,30.25,30.34,29.85,30.05,70248,0.009938,0.03%,29.8629,2.11m,752
34,06/16/17,30.20,30.29,29.90,30.04,140181,-0.357759,-1.18%,29.853,4.22m,774
35,06/15/17,30.00,30.61,30.00,30.40,62492,-0.029813,-0.10%,30.2107,1.89m,783
36,06/14/17,30.12,30.45,29.81,30.43,86844,0.099378,0.33%,30.2405,2.62m,890
37,06/13/17,30.43,30.84,30.14,30.33,103152,-0.039751,-0.13%,30.1412,3.13m,1186
38,06/12/17,30.54,31.08,30.045,30.37,120640,-0.168942,-0.56%,30.1809,3.66m,1250
39,06/09/17,29.66,30.59,29.544,30.54,132155,1.0633,3.63%,30.3499,4.01m,1209
40,06/08/17,28.90,29.88,28.845,29.47,109428,0.586327,2.04%,29.2865,3.24m,1390
41,06/07/17,28.65,28.99,28.447,28.88,77756,0.417385,1.48%,28.7002,2.24m,710
42,06/06/17,28.46,28.78,28.24,28.46,91207,-0.208693,-0.73%,28.2828,2.59m,878
43,06/05/17,28.93,29.14,28.66,28.67,81154,-0.258381,-0.90%,28.4915,2.34m,851
44,06/02/17,28.66,29.61,28.46,28.93,153446,0.149066,0.52%,28.7499,4.45m,1235
45,06/01/17,28.49,28.86,28.09,28.78,108752,0.387572,1.37%,28.6008,3.12m,1021
46,05/31/17,28.55,28.77,27.78,28.39,235098,0.00,0.00%,28.2132,6.65m,1462
47,05/30/17,28.72,28.73,28.19,28.39,113273,-0.43726,-1.53%,28.2132,3.22m,930
48,05/26/17,28.86,28.98,28.59,28.83,79158,0.00,0.00%,28.6505,2.28m,1059
49,05/25/17,29.04,29.36,28.67,28.83,95961,-0.119253,-0.41%,28.6505,2.78m,925
50,05/24/17,29.13,29.22,28.70,28.95,158913,-0.17888,-0.62%,28.7698,4.6m,1307
51,05/23/17,28.79,29.29,28.48,29.13,175110,0.327946,1.15%,28.9486,5.08m,1590
52,05/22/17,28.84,28.90,28.45,28.80,136087,0.159004,0.56%,28.6207,3.91m,1110
53,05/19/17,28.79,29.09,28.49,28.64,178987,-0.149066,-0.52%,28.4617,5.14m,1559
54,05/18/17,28.49,28.8999,28.41,28.79,92966,0.178879,0.63%,28.6108,2.67m,1016
55,05/17/17,29.25,29.60,28.39,28.61,108381,-1.2621,-4.25%,28.4319,3.11m,1175
56,05/16/17,29.56,29.93,29.30,29.88,151892,0.198755,0.67%,29.694,4.51m,1505
57,05/15/17,29.57,29.77,29.42,29.68,104830,0.238505,0.82%,29.4952,3.11m,1296
58,05/12/17,29.49,29.84,29.3301,29.44,161049,-0.238505,-0.81%,29.2567,4.77m,1496
59,05/11/17,29.80,30.16,29.36,29.68,135873,-0.248444,-0.84%,29.4952,4.04m,1431
60,05/10/17,29.71,29.995,29.60,29.93,118167,0.149066,0.50%,29.7437,3.53m,1172
61,05/09/17,29.95,30.105,29.61,29.78,167639,-0.238505,-0.80%,29.5946,5.01m,1235
62,05/08/17,30.06,30.12,29.70,30.02,68634,-0.149067,-0.50%,29.8331,2.06m,772
63,05/05/17,30.30,30.35,29.70,30.17,84904,0.119253,0.40%,29.9822,2.55m,911
64,05/04/17,30.05,30.17,29.82,30.05,65730,0.238506,0.81%,29.8629,1.97m,927
65,05/03/17,29.80,29.93,29.59,29.81,115893,-0.119253,-0.40%,29.6244,3.45m,1151
66,05/02/17,30.16,30.335,29.41,29.93,205162,-0.258381,-0.86%,29.7437,6.14m,1950
67,05/01/17,30.05,30.72,29.81,30.19,180466,0.238506,0.80%,30.002,5.44m,2027
68,04/28/17,30.66,30.66,29.93,29.95,109598,-0.715518,-2.35%,29.7635,3.3m,1164
69,04/27/17,31.66,31.70,30.64,30.67,113274,-0.944085,-3.00%,30.479,3.51m,1157
70,04/26/17,30.75,32.2175,30.7475,31.62,338989,1.0335,3.40%,31.4231,10.72m,3122
71,04/25/17,30.74,30.91,30.50,30.58,122981,0.268319,0.89%,30.3896,3.77m,1156
72,04/24/17,30.70,30.99,30.30,30.31,128394,0.248444,0.83%,30.1213,3.91m,1233
73,04/21/17,29.68,30.52,29.63,30.06,182995,0.417385,1.42%,29.8728,5.5m,1943
74,04/20/17,28.85,29.65,28.79,29.64,126767,0.983836,3.46%,29.4555,3.71m,1237
75,04/19/17,28.83,28.96,28.53,28.65,89292,0.039746,0.14%,28.4716,2.56m,929
76,04/18/17,28.31,28.81,28.09,28.79,123565,0.276518,0.98%,28.4319,3.53m,1145
77,04/17/17,28.05,28.52,27.895,28.51,144480,0.454277,1.64%,28.1554,4.07m,913
78,04/13/17,28.20,28.39,28.025,28.05,170081,-0.325895,-1.16%,27.7011,4.78m,1597
