,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,4.71,4.71,4.45,4.47,131199,-0.18,-3.87%,4.47,600.92k,310
2,08/03/17,4.72,4.7819,4.5961,4.65,86605,-0.04,-0.85%,4.65,404.45k,428
3,08/02/17,4.70,4.8583,4.50,4.69,69662,-0.01,-0.21%,4.69,325.31k,259
4,08/01/17,4.95,5.0373,4.61,4.70,115965,-0.22,-4.47%,4.70,548.62k,427
5,07/31/17,4.95,5.09,4.71,4.92,239318,-0.05,-1.01%,4.92,1.15m,605
6,07/28/17,5.00,5.00,4.80,4.97,71963,0.057501,1.17%,4.97,355.47k,467
7,07/27/17,5.37,5.433,4.96,5.10,182001,-0.211911,-4.14%,4.9125,946.27k,697
8,07/26/17,5.27,5.52,5.26,5.32,86406,0.067426,1.33%,5.1244,465.61k,453
9,07/25/17,5.31,5.5192,5.25,5.25,135924,0.00,0.00%,5.057,734.04k,503
10,07/24/17,5.48,5.48,5.08,5.25,90829,-0.221544,-4.20%,5.057,475.21k,417
11,07/21/17,5.43,5.48,5.20,5.48,108831,0.269706,5.38%,5.2785,582.74k,485
12,07/20/17,5.15,5.25,4.89,5.20,113998,0.038529,0.78%,5.0088,576.31k,584
13,07/19/17,5.04,5.2097,5.04,5.16,129934,0.105956,2.18%,4.9703,671.12k,234
14,07/18/17,5.08,5.11,4.87,5.05,65562,-0.048162,-0.98%,4.8643,326.5k,313
15,07/17/17,5.16,5.3313,4.87,5.10,144204,-0.048161,-0.97%,4.9125,730.58k,467
16,07/14/17,5.00,5.29,5.00,5.15,89743,0.096323,1.98%,4.9607,464.79k,464
17,07/13/17,4.67,5.13,4.67,5.05,83181,0.375662,8.37%,4.8643,406.99k,338
18,07/12/17,4.56,4.78,4.56,4.66,94490,0.144485,3.33%,4.4887,439.43k,397
19,07/11/17,4.84,4.87,4.50,4.51,265247,-0.3275,-7.01%,4.3442,1.23m,1176
20,07/10/17,4.48,4.85,4.47,4.85,153068,0.3275,7.54%,4.6717,724.47k,702
21,07/07/17,4.57,4.68,4.378,4.51,85959,-0.086691,-1.96%,4.3442,385.51k,302
22,07/06/17,4.69,5.00,4.54,4.60,73472,-0.105956,-2.34%,4.4309,344.1k,373
23,07/05/17,5.10,5.13,4.47,4.71,208085,-0.375662,-7.65%,4.5368,983.75k,969
24,06/30/17,4.63,4.94,4.6276,4.85,156735,0.279338,6.36%,4.6717,744.84k,585
25,06/29/17,4.45,4.65,4.40,4.56,265853,0.105956,2.47%,4.3924,1.2m,1294
26,06/28/17,4.15,4.50,4.14,4.45,175130,0.240809,5.95%,4.2864,753.17k,837
27,06/27/17,4.27,4.48,4.12,4.20,143312,-0.057794,-1.41%,4.0456,602.56k,580
28,06/26/17,4.38,4.4987,4.22,4.26,211160,-0.125221,-2.96%,4.1034,910.19k,870
29,06/23/17,4.50,4.59,4.25,4.39,147083,-0.096323,-2.23%,4.2286,642.77k,579
30,06/22/17,4.41,4.59,4.37,4.49,49421,0.115588,2.75%,4.3249,221.57k,260
31,06/21/17,4.50,4.562,4.23,4.37,111729,-0.183015,-4.17%,4.2093,484.65k,472
32,06/20/17,4.37,4.66,4.2801,4.56,217361,0.086692,2.01%,4.3924,967.03k,1178
33,06/19/17,4.79,4.915,4.44,4.47,92813,-0.240809,-5.30%,4.3057,428.4k,392
34,06/16/17,4.79,4.9099,4.66,4.72,124750,0.009632,0.21%,4.5465,601.34k,351
35,06/15/17,5.00,5.115,4.6601,4.71,163757,-0.279338,-5.80%,4.5368,801.58k,714
36,06/14/17,5.38,5.40,4.97,5.00,169143,-0.346765,-6.72%,4.8162,865.94k,534
37,06/13/17,5.36,5.47,5.28,5.36,108025,-0.038529,-0.74%,5.1629,582.08k,557
38,06/12/17,5.41,5.57,5.27,5.40,85164,-0.019265,-0.37%,5.2015,460.38k,371
39,06/09/17,5.20,5.56,5.20,5.42,253705,0.211912,4.23%,5.2207,1.37m,1276
40,06/08/17,4.96,5.38,4.60,5.20,147655,0.240809,5.05%,5.0088,753.37k,640
41,06/07/17,4.92,5.0897,4.72,4.95,450654,0.067426,1.43%,4.768,2.2m,1574
42,06/06/17,4.91,4.91,4.51,4.88,424798,-0.077059,-1.61%,4.7006,1.98m,1725
43,06/05/17,5.25,5.25,4.71,4.96,299970,-0.105955,-2.17%,4.7776,1.48m,1158
44,06/02/17,5.46,5.46,4.95,5.07,285074,-0.394927,-7.48%,4.8836,1.49m,1150
45,06/01/17,5.48,5.6004,5.4375,5.48,118570,-0.019265,-0.36%,5.2785,654.86k,715
46,05/31/17,5.59,5.70,5.2801,5.50,119957,-0.097286,-1.80%,5.2978,655.21k,618
47,05/30/17,5.81,5.81,5.60,5.601,130167,-0.203243,-3.63%,5.3951,742.13k,799
48,05/26/17,5.78,5.9101,5.69,5.812,89922,0.088618,1.61%,5.5983,524.02k,521
49,05/25/17,5.71,5.96,5.57,5.72,133041,0.009632,0.18%,5.5097,761.66k,800
50,05/24/17,5.88,5.97,5.70,5.71,109396,-0.105956,-1.89%,5.5001,634.37k,538
51,05/23/17,5.96,6.04,5.75,5.82,155734,-0.154117,-2.68%,5.606,917.86k,549
52,05/22/17,6.35,6.35,5.97,5.98,125835,-0.356397,-5.83%,5.7601,763.78k,617
53,05/19/17,6.20,6.38,6.06,6.35,142507,0.183014,3.08%,6.1165,884.98k,728
54,05/18/17,6.06,6.19,5.93,6.16,146086,0.057794,0.98%,5.9335,886.1k,807
55,05/17/17,6.30,6.40,6.10,6.10,147495,-0.28897,-4.69%,5.8757,927.23k,934
56,05/16/17,6.87,6.87,6.31,6.40,176198,-0.366029,-5.60%,6.1647,1.14m,931
57,05/15/17,6.99,7.11,6.67,6.78,183374,-0.144486,-2.16%,6.5307,1.25m,1016
58,05/12/17,6.92,7.01,6.81,6.93,125674,-0.009632,-0.14%,6.6752,869.3k,834
59,05/11/17,7.07,7.1449,6.81,6.94,63859,-0.086691,-1.28%,6.6849,442.24k,434
60,05/10/17,6.45,7.05,6.43,7.03,195141,0.500882,7.99%,6.7715,1.32m,1005
61,05/09/17,6.75,6.8599,6.39,6.51,196631,-0.298603,-4.55%,6.2707,1.31m,861
62,05/08/17,7.00,7.02,6.765,6.82,125056,-0.173382,-2.57%,6.5693,865.53k,685
63,05/05/17,6.83,7.15,6.78,7.00,138374,0.048162,0.72%,6.7426,962.2k,969
64,05/04/17,7.18,7.25,6.7311,6.95,285788,-0.240809,-3.47%,6.6945,1.98m,1467
65,05/03/17,7.52,7.52,7.12,7.20,293015,-0.375662,-5.14%,6.9353,2.13m,1633
