,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,6.61,6.68,6.5431,6.67,9272,0.06,0.91%,6.67,61.22k,87
2,08/03/17,6.7157,6.7157,6.53,6.61,13331,-0.04,-0.60%,6.61,88.22k,109
3,08/02/17,6.75,6.83,6.582,6.65,11539,-0.20,-2.92%,6.65,76.54k,94
4,08/01/17,6.75,6.85,6.65,6.85,16461,0.115,1.71%,6.85,111.46k,62
5,07/31/17,6.6321,6.735,6.6321,6.735,2088,-0.015,-0.22%,6.735,14k,32
6,07/28/17,6.61,6.75,6.6066,6.75,4141,0.0333,0.50%,6.75,27.54k,114
7,07/27/17,6.60,6.78,6.60,6.7167,21517,-0.0083,-0.12%,6.7167,144.37k,69
8,07/26/17,6.58,6.735,6.55,6.725,11499,0.205,3.14%,6.725,75.9k,67
9,07/25/17,6.74,6.84,6.51,6.52,58079,-0.20,-2.98%,6.52,390.75k,251
10,07/24/17,6.67,6.75,6.519,6.72,65556,0.03,0.45%,6.72,434.58k,168
11,07/21/17,6.4693,6.75,6.43,6.69,23405,0.26,4.04%,6.69,153.78k,87
12,07/20/17,6.59,6.59,6.42,6.43,12646,-0.30,-4.46%,6.43,82.13k,100
13,07/19/17,6.48,6.73,6.38,6.73,26360,0.31,4.83%,6.73,170.27k,107
14,07/18/17,6.47,6.5532,6.35,6.42,75237,-0.05,-0.77%,6.42,484.85k,139
15,07/17/17,6.45,6.675,6.45,6.47,18016,-0.14,-2.12%,6.47,117.15k,64
16,07/14/17,6.50,6.81,6.50,6.61,23878,0.09,1.38%,6.61,159.58k,143
17,07/13/17,6.45,6.56,6.45,6.52,14493,-0.09,-1.36%,6.52,94.78k,47
18,07/12/17,6.53,6.84,6.46,6.61,62340,0.09,1.38%,6.61,409.13k,216
19,07/11/17,6.67,6.7171,6.401,6.52,37239,-0.1299,-1.95%,6.52,244.96k,91
20,07/10/17,6.60,6.6799,6.55,6.6499,9828,0.0999,1.53%,6.6499,65.16k,96
21,07/07/17,6.65,6.65,6.46,6.55,48075,-0.12,-1.80%,6.55,314.86k,270
22,07/06/17,6.68,6.68,6.6221,6.67,7449,-0.01,-0.15%,6.67,49.5k,60
23,07/05/17,6.69,6.7426,6.587,6.68,9442,0.04,0.60%,6.68,63.33k,63
24,06/30/17,6.66,6.777,6.63,6.65,9388,-0.15,-2.21%,6.65,63.1k,59
25,06/29/17,6.76,6.80,6.51,6.80,31396,0.07,1.04%,6.80,209.48k,136
26,06/28/17,6.90,6.90,6.665,6.73,22570,-0.14,-2.04%,6.73,152.56k,99
27,06/27/17,6.83,6.89,6.67,6.87,31611,0.09,1.33%,6.87,216.35k,139
28,06/26/17,6.75,6.92,6.74,6.78,12759,0.02,0.30%,6.78,86.82k,72
29,06/23/17,6.731,6.87,6.72,6.76,18508,-0.16,-2.31%,6.76,125.67k,80
30,06/22/17,6.85,6.949,6.74,6.92,11550,0.106,1.56%,6.92,79.27k,72
31,06/21/17,6.87,6.939,6.655,6.814,27766,0.014,0.21%,6.814,188.16k,73
32,06/20/17,6.90,6.90,6.625,6.80,10252,-0.11,-1.59%,6.80,69.7k,75
33,06/19/17,6.95,6.95,6.77,6.91,19297,-0.07,-1.00%,6.91,133.18k,73
34,06/16/17,6.63,6.98,6.63,6.98,38227,0.27,4.02%,6.98,263.37k,171
35,06/15/17,6.81,6.81,6.5256,6.71,27087,-0.16,-2.33%,6.71,180.2k,190
36,06/14/17,6.90,6.90,6.795,6.87,24359,-0.11,-1.58%,6.87,166.71k,153
37,06/13/17,6.89,7.10,6.70,6.98,61137,0.16,2.35%,6.98,422.5k,248
38,06/12/17,6.40,6.87,6.40,6.82,90637,0.26,3.96%,6.82,602.1k,209
39,06/09/17,6.47,6.84,6.47,6.56,129303,-0.11,-1.65%,6.56,870.01k,270
40,06/08/17,6.76,6.8167,6.7303,6.79,15937,0.068763,1.04%,6.67,108.04k,151
41,06/07/17,6.84,6.84,6.695,6.72,28108,-0.108056,-1.61%,6.6012,190.1k,97
