,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,3.74,3.75,3.22,3.75,2375928,-0.53,-12.38%,3.75,8.28m,10073
2,08/03/17,4.62,4.64,4.16,4.28,341906,-0.32,-6.96%,4.28,1.49m,2160
3,08/02/17,4.67,4.67,4.35,4.60,366218,-0.12,-2.54%,4.60,1.66m,2293
4,08/01/17,5.03,5.04,4.69,4.72,282983,-0.29,-5.79%,4.72,1.36m,1861
5,07/31/17,5.09,5.22,5.00,5.01,252368,-0.07,-1.38%,5.01,1.28m,1649
6,07/28/17,5.15,5.39,5.06,5.08,308652,-0.07,-1.36%,5.08,1.6m,1982
7,07/27/17,5.51,5.51,5.06,5.15,374070,-0.30,-5.50%,5.15,1.97m,1836
8,07/26/17,5.52,5.728,5.35,5.45,1053924,0.06,1.11%,5.45,5.82m,6273
9,07/25/17,4.78,5.45,4.75,5.39,1780451,0.64,13.47%,5.39,9.18m,5824
10,07/24/17,4.67,4.79,4.61,4.75,212283,0.09,1.93%,4.75,1m,1669
11,07/21/17,4.70,5.08,4.56,4.66,660817,-0.01,-0.21%,4.66,3.15m,2641
12,07/20/17,4.69,4.72,4.58,4.67,169538,0.10,2.19%,4.67,787.99k,1009
13,07/19/17,4.45,4.59,4.42,4.57,131216,0.13,2.93%,4.57,596.35k,674
14,07/18/17,4.44,4.50,4.37,4.44,107408,-0.01,-0.22%,4.44,474.95k,1022
15,07/17/17,4.38,4.57,4.3015,4.45,217199,0.09,2.06%,4.45,963.51k,991
16,07/14/17,4.29,4.47,4.29,4.36,153522,0.05,1.16%,4.36,669.4k,1006
17,07/13/17,4.32,4.44,4.215,4.31,263151,-0.01,-0.23%,4.31,1.14m,1349
18,07/12/17,4.19,4.37,4.19,4.32,175503,0.16,3.85%,4.32,754.94k,999
19,07/11/17,4.20,4.25,4.10,4.16,115146,0.00,0.00%,4.16,478.56k,1069
20,07/10/17,4.23,4.23,4.05,4.16,175054,-0.03,-0.72%,4.16,727.01k,1219
21,07/07/17,4.17,4.35,4.15,4.19,209331,0.03,0.72%,4.19,890.03k,1343
22,07/06/17,4.32,4.35,4.13,4.16,165244,-0.16,-3.70%,4.16,693.6k,1083
