,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,05/01/17,,,,29.04,0,,0.00%,29.04,,
2,04/28/17,,,,29.04,0,,0.00%,29.04,,
3,04/27/17,,,,29.04,0,,0.00%,29.04,,
4,04/26/17,,,,29.04,0,,0.00%,29.04,,
5,04/25/17,,,,29.04,0,,0.00%,29.04,,
6,04/24/17,,,,29.04,0,,0.00%,29.04,,
7,04/21/17,29.23,29.28,28.70,29.04,5925903,-0.07,-0.24%,29.04,172.12m,8148
8,04/20/17,28.54,29.21,28.49,29.11,469917,0.73,2.57%,29.11,13.6m,3011
9,04/19/17,28.50,28.76,28.27,28.38,316599,0.17,0.60%,28.38,9.03m,2589
10,04/18/17,27.76,28.26,27.50,28.21,623440,0.24,0.86%,28.21,17.41m,5480
11,04/17/17,27.48,28.01,27.18,27.97,313793,0.58,2.12%,27.97,8.63m,3129
12,04/13/17,28.03,28.06,27.35,27.39,396301,-0.74,-2.63%,27.39,10.98m,3250
13,04/12/17,28.50,29.07,28.03,28.13,478179,-0.75,-2.60%,28.13,13.54m,4041
14,04/11/17,28.55,29.18,28.47,28.88,380566,0.16,0.56%,28.88,10.97m,3436
15,04/10/17,28.80,29.12,28.40,28.72,221734,-0.10,-0.35%,28.72,6.35m,1997
16,04/07/17,28.90,29.15,28.64,28.82,154737,-0.18,-0.62%,28.82,4.47m,1997
17,04/06/17,28.80,29.15,28.61,29.00,97686,0.16,0.55%,29.00,2.82m,1124
18,04/05/17,29.80,29.89,28.79,28.84,120954,-0.62,-2.10%,28.84,3.52m,1446
19,04/04/17,29.12,29.54,29.12,29.46,73737,0.12,0.41%,29.46,2.17m,1010
20,04/03/17,30.01,30.10,29.12,29.34,114088,-0.60,-2.00%,29.34,3.35m,1513
21,03/31/17,30.12,30.30,29.78,29.94,133548,-0.19,-0.63%,29.94,4.01m,1219
22,03/30/17,29.06,30.24,29.06,30.13,109261,1.12,3.86%,30.13,3.27m,1597
23,03/29/17,29.02,29.12,28.81,29.01,47861,-0.14,-0.48%,29.01,1.39m,670
24,03/28/17,28.48,29.28,28.40,29.15,133774,0.57,1.99%,29.15,3.88m,1406
25,03/27/17,28.06,28.73,27.74,28.58,71758,-0.21,-0.73%,28.58,2.04m,1187
26,03/24/17,28.75,28.945,28.52,28.79,91150,0.19,0.66%,28.79,2.62m,1087
27,03/23/17,28.23,29.11,28.23,28.60,73505,0.27,0.95%,28.60,2.11m,1086
28,03/22/17,28.16,28.64,28.07,28.33,134906,-0.20,-0.70%,28.33,3.82m,1927
29,03/21/17,30.76,30.76,28.51,28.53,170783,-2.03,-6.64%,28.53,4.94m,2349
30,03/20/17,31.05,31.05,30.54,30.56,127731,-0.73,-2.33%,30.56,3.93m,1220
31,03/17/17,30.91,31.56,30.60,31.29,407562,0.06,0.19%,31.29,12.7m,2344
32,03/16/17,30.98,31.28,30.87,31.23,168100,0.50,1.63%,31.23,5.24m,1425
33,03/15/17,30.97,31.52,30.72,30.73,127990,-0.16,-0.52%,30.73,3.97m,2100
34,03/14/17,30.55,31.03,30.32,30.89,88301,0.08,0.26%,30.89,2.7m,984
35,03/13/17,30.43,31.19,30.41,30.81,100271,0.21,0.69%,30.81,3.09m,1236
36,03/10/17,30.77,30.94,30.10,30.60,201420,0.03,0.10%,30.60,6.13m,2884
37,03/09/17,30.78,31.07,30.46,30.57,95785,-0.18,-0.59%,30.57,2.94m,1158
38,03/08/17,31.38,31.49,30.70,30.75,329856,-0.35,-1.13%,30.75,10.21m,2312
39,03/07/17,31.48,31.59,31.07,31.10,135954,-0.42,-1.33%,31.10,4.26m,1515
40,03/06/17,31.37,31.67,31.11,31.52,90554,-0.07,-0.22%,31.52,2.85m,1027
41,03/03/17,31.39,31.87,31.2801,31.59,162807,0.35,1.12%,31.59,5.13m,1695
42,03/02/17,32.25,32.25,31.20,31.24,89937,-1.00,-3.10%,31.24,2.85m,1393
43,03/01/17,31.97,32.39,31.81,32.24,172281,1.00,3.20%,32.24,5.54m,2269
44,02/28/17,31.39,31.52,30.99,31.24,98678,-0.35,-1.11%,31.24,3.08m,1202
45,02/27/17,31.35,31.67,31.19,31.59,132833,0.22,0.70%,31.59,4.18m,1350
46,02/24/17,31.12,31.41,31.12,31.37,245193,-0.14,-0.44%,31.37,7.67m,2751
47,02/23/17,31.45,31.55,31.01,31.51,303237,0.13,0.41%,31.51,9.5m,2211
48,02/22/17,31.25,31.54,31.19,31.38,48972,-0.10,-0.32%,31.38,1.54m,589
49,02/21/17,31.34,31.64,31.18,31.48,93335,0.26,0.83%,31.48,2.93m,1055
50,02/17/17,31.36,31.46,30.89,31.22,397958,-0.20,-0.64%,31.22,12.43m,1803
51,02/16/17,31.32,31.45,31.00,31.42,116568,0.07,0.22%,31.42,3.65m,1267
52,02/15/17,31.40,31.45,30.5115,31.35,127692,0.02,0.06%,31.35,4m,1278
53,02/14/17,30.60,31.46,30.60,31.33,143059,0.52,1.69%,31.33,4.47m,1808
54,02/13/17,30.99,31.13,30.61,30.81,123805,0.09,0.29%,30.81,3.82m,1556
55,02/10/17,30.78,30.78,30.40,30.72,71266,0.14,0.46%,30.72,2.18m,863
56,02/09/17,30.36,30.75,30.20,30.58,56157,0.38,1.26%,30.58,1.72m,626
57,02/08/17,30.45,30.46,29.88,30.20,94985,-0.39,-1.27%,30.20,2.86m,835
58,02/07/17,30.72,30.92,30.345,30.59,96271,0.039991,0.13%,30.59,2.95m,813
59,02/06/17,31.04,31.2429,30.67,30.68,79874,-0.517797,-1.67%,30.55,2.47m,697
60,02/03/17,30.80,31.28,30.68,31.20,66211,0.886229,2.94%,31.0678,2.06m,658
61,02/02/17,30.63,30.80,30.125,30.31,92515,-0.448093,-1.46%,30.1816,2.81m,1088
62,02/01/17,31.84,32.09,30.68,30.76,123853,-0.597458,-1.91%,30.6297,3.85m,1453
63,01/31/17,30.72,31.65,30.72,31.36,178026,0.567585,1.85%,31.2271,5.56m,1868
64,01/30/17,31.18,31.18,30.71,30.79,97678,-0.706992,-2.25%,30.6595,3.02m,978
65,01/27/17,31.48,31.54,31.08,31.50,36701,0.069704,0.22%,31.3665,1.15m,510
66,01/26/17,31.71,31.71,31.17,31.43,69961,0.00,0.00%,31.2968,2.2m,741
67,01/25/17,31.19,31.69,31.19,31.43,76150,0.477966,1.55%,31.2968,2.39m,1059
68,01/24/17,30.75,31.09,30.60,30.95,238276,0.438136,1.44%,30.8189,7.35m,2545
69,01/23/17,30.70,30.99,30.23,30.51,72806,-0.328602,-1.07%,30.3807,2.22m,775
70,01/20/17,30.11,31.00,29.8948,30.84,164569,0.497882,1.65%,30.7093,5.06m,1349
71,01/19/17,30.92,30.92,30.29,30.34,151646,-0.54767,-1.78%,30.2114,4.62m,1511
72,01/18/17,30.69,30.95,30.54,30.89,53715,0.37839,1.25%,30.7591,1.65m,657
73,01/17/17,31.21,31.21,30.47,30.51,50865,-1.0456,-3.33%,30.3807,1.56m,809
74,01/13/17,31.42,31.94,31.32,31.56,46911,0.438135,1.41%,31.4263,1.48m,566
75,01/12/17,31.45,31.48,30.79,31.12,66806,-0.487923,-1.55%,30.9881,2.08m,901
76,01/11/17,31.72,31.80,31.42,31.61,111208,-0.119492,-0.38%,31.4761,3.52m,1197
77,01/10/17,31.29,32.17,31.29,31.73,142787,0.189195,0.60%,31.5956,4.53m,1434
78,01/09/17,32.04,32.04,31.51,31.54,107406,-0.637288,-1.99%,31.4064,3.4m,1058
79,01/06/17,32.52,32.65,32.15,32.18,90389,-0.099577,-0.31%,32.0437,2.93m,963
80,01/05/17,32.98,33.23,32.115,32.28,94570,-0.726907,-2.21%,32.1432,3.07m,1099
81,01/04/17,32.78,33.16,32.66,33.01,127042,0.33856,1.04%,32.8701,4.18m,1502
82,01/03/17,33.14,33.49,32.35,32.67,129621,-0.119492,-0.37%,32.5316,4.24m,1567
83,12/30/16,32.94,32.94,32.66,32.79,70343,-0.119491,-0.36%,32.6511,2.31m,679
84,12/29/16,33.27,33.41,32.53,32.91,55900,-0.298729,-0.90%,32.7706,1.84m,587
85,12/28/16,33.42,33.42,33.02,33.21,49187,-0.069704,-0.21%,33.0693,1.64m,654
86,12/27/16,32.85,33.30,32.81,33.28,32908,0.468009,1.43%,33.139,1.09m,562
87,12/23/16,32.66,32.82,32.49,32.81,37877,0.049788,0.15%,32.671,1.24m,446
88,12/22/16,32.58,32.91,32.46,32.76,132414,0.298729,0.92%,32.6212,4.34m,1335
89,12/21/16,33.90,33.90,32.45,32.46,283385,-1.4239,-4.22%,32.3225,9.37m,2652
90,12/20/16,32.96,33.92,32.88,33.89,231533,1.0854,3.32%,33.7464,7.77m,2217
91,12/19/16,31.99,32.90,31.66,32.80,286266,0.836441,2.63%,32.661,9.27m,2880
92,12/16/16,32.59,32.59,31.74,31.96,693901,-1.9617,-5.81%,31.8246,22.31m,3112
93,12/15/16,33.71,34.29,33.49,33.93,110578,0.448094,1.34%,33.7862,3.76m,1360
94,12/14/16,33.52,34.04,33.26,33.48,82505,-0.318644,-0.95%,33.3381,2.76m,1224
95,12/13/16,33.70,33.945,33.40,33.80,91947,0.199152,0.60%,33.6568,3.09m,1243
96,12/12/16,34.75,34.75,33.33,33.60,78846,-1.0456,-3.03%,33.4576,2.67m,1070
97,12/09/16,34.21,34.66,33.76,34.65,80043,0.458051,1.35%,34.5032,2.76m,1205
98,12/08/16,33.69,34.52,33.58,34.19,101353,0.637288,1.91%,34.0451,3.46m,1508
99,12/07/16,32.65,33.59,32.57,33.55,79119,0.896187,2.76%,33.4078,2.63m,971
100,12/06/16,32.61,32.77,32.07,32.65,161513,0.069703,0.21%,32.5117,5.25m,2038
101,12/05/16,31.93,32.58,31.79,32.58,100194,0.955933,3.04%,32.442,3.25m,1152
102,12/02/16,32.26,32.26,31.59,31.62,54736,-0.657204,-2.04%,31.486,1.74m,786
103,12/01/16,32.20,32.57,32.04,32.28,114521,0.288772,0.91%,32.1432,3.69m,1312
104,11/30/16,32.34,32.49,31.92,31.99,62302,0.00,0.00%,31.8545,2m,700
105,11/29/16,31.53,32.16,31.53,31.99,81125,0.37839,1.20%,31.8545,2.59m,841
106,11/28/16,32.06,32.30,31.48,31.61,79954,-0.736865,-2.29%,31.4761,2.54m,887
107,11/23/16,32.05,32.39,31.75,32.17,69054,0.159322,0.50%,32.0337,2.22m,818
108,11/22/16,31.72,32.08,31.615,32.01,93978,0.37839,1.20%,31.8744,2.99m,1173
109,11/21/16,31.77,31.79,31.28,31.63,69260,-0.079661,-0.25%,31.496,2.19m,816
110,11/18/16,31.10,31.73,30.975,31.71,151319,0.687077,2.22%,31.5756,4.78m,1361
111,11/17/16,30.39,31.16,29.765,31.02,237961,0.049788,0.16%,30.8886,7.36m,3165
112,11/16/16,31.38,31.43,30.69,30.97,115314,-0.468009,-1.49%,30.8388,3.58m,1593
113,11/15/16,30.82,31.61,30.51,31.44,132719,0.318644,1.03%,31.3068,4.13m,2016
114,11/14/16,31.21,32.01,30.4151,31.12,251171,0.268856,0.88%,30.9881,7.84m,2887
115,11/11/16,29.48,30.89,29.48,30.85,395783,1.2746,4.33%,30.7193,12.02m,3444
116,11/10/16,28.66,29.71,28.52,29.57,250270,1.3542,4.82%,29.4447,7.36m,2675
117,11/09/16,26.74,28.33,26.74,28.21,167547,1.6231,6.13%,28.0905,4.65m,1781
118,11/08/16,26.46,26.76,26.2601,26.58,81849,-0.009957,-0.04%,26.4674,2.18m,944
119,11/07/16,26.03,26.67,25.94,26.59,208896,1.0456,4.11%,26.4773,5.52m,2285
120,11/04/16,25.50,25.92,25.30,25.54,91722,0.049788,0.20%,25.4318,2.35m,792
121,11/03/16,25.52,25.65,25.38,25.49,58413,0.099576,0.39%,25.382,1.49m,565
122,11/02/16,25.74,25.76,25.31,25.39,238705,-0.477966,-1.86%,25.2824,6.09m,2543
123,11/01/16,26.16,26.16,25.73,25.87,245184,-0.288777,-1.11%,25.7604,6.35m,2724
124,10/31/16,25.69,26.30,25.66,26.28,195584,0.644291,2.54%,26.0492,5.11m,1166
125,10/28/16,25.82,26.12,25.59,25.63,135030,-0.218068,-0.85%,25.4049,3.49m,1227
126,10/27/16,25.75,26.23,25.70,25.85,138936,0.297365,1.17%,25.6229,3.6m,1455
127,10/26/16,25.70,25.81,25.42,25.55,86011,-0.138769,-0.54%,25.3256,2.2m,875
128,10/25/16,26.01,26.08,25.47,25.69,74557,-0.307278,-1.19%,25.4643,1.91m,773
129,10/24/16,25.71,26.15,25.58,26.00,84080,0.436135,1.72%,25.7716,2.19m,849
130,10/21/16,25.74,25.81,25.4191,25.56,57788,-0.465871,-1.81%,25.3355,1.48m,485
131,10/20/16,25.95,26.22,25.83,26.03,46243,0.118945,0.46%,25.8014,1.2m,416
132,10/19/16,25.51,26.13,25.51,25.91,73891,0.495609,1.97%,25.6824,1.91m,650
133,10/18/16,25.73,25.75,25.33,25.41,76441,-0.079298,-0.31%,25.1868,1.95m,788
134,10/17/16,25.71,25.79,25.46,25.49,93595,-0.257716,-1.01%,25.2661,2.39m,749
135,10/14/16,25.84,25.95,25.58,25.75,135445,0.148683,0.59%,25.5238,3.49m,1158
136,10/13/16,26.12,26.12,25.41,25.60,123598,-0.674028,-2.59%,25.3751,3.17m,1219
137,10/12/16,26.16,26.4099,26.11,26.28,114374,0.118947,0.46%,26.0492,3.01m,1294
138,10/11/16,26.49,26.65,26.06,26.16,82031,-0.356839,-1.36%,25.9302,2.15m,1026
139,10/10/16,26.28,26.73,26.28,26.52,92414,0.31719,1.22%,26.2871,2.45m,1108
140,10/07/16,26.37,26.37,25.92,26.20,55086,-0.168507,-0.64%,25.9699,1.44m,637
141,10/06/16,26.35,26.40,26.11,26.37,126130,0.069385,0.27%,26.1384,3.31m,1320
142,10/05/16,26.11,26.6099,26.11,26.30,148869,0.218067,0.84%,26.069,3.92m,1588
143,10/04/16,25.96,26.32,25.96,26.08,75349,0.109034,0.42%,25.8509,1.97m,787
144,10/03/16,25.91,26.02,25.74,25.97,108190,-0.118945,-0.46%,25.7419,2.8m,949
145,09/30/16,25.79,26.25,25.71,26.09,199344,0.426223,1.68%,25.8608,5.21m,1664
