,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.35,1.395,1.30,1.30,105168,0.00,0.00%,1.30,139.65k,283
2,08/03/17,1.30,1.325,1.20,1.30,137651,0.05,4.00%,1.30,178k,566
3,08/02/17,1.30,1.30,1.25,1.25,78847,-0.05,-3.85%,1.25,101.11k,312
4,08/01/17,1.30,1.30,1.25,1.30,51362,0.00,0.00%,1.30,65.87k,218
5,07/31/17,1.30,1.35,1.20,1.30,198131,0.05,4.00%,1.30,250.12k,914
6,07/28/17,1.25,1.35,1.20,1.25,596941,0.00,0.00%,1.25,759.33k,1009
7,07/27/17,1.35,1.35,1.20,1.25,290773,0.00,0.00%,1.25,377.06k,1200
8,07/26/17,1.30,1.30,1.25,1.25,158087,0.00,0.00%,1.25,202.38k,839
9,07/25/17,1.30,1.35,1.25,1.25,233963,-0.05,-3.85%,1.25,305.99k,1036
10,07/24/17,1.30,1.35,1.25,1.30,186577,0.05,4.00%,1.30,244.39k,803
11,07/21/17,1.35,1.35,1.25,1.25,252629,-0.10,-7.41%,1.25,329.2k,700
12,07/20/17,1.30,1.40,1.25,1.35,649522,-0.10,-6.90%,1.35,853.7k,764
13,07/19/17,1.45,1.61,1.45,1.45,29197,0.05,3.57%,1.45,43.74k,139
14,07/18/17,1.50,1.50,1.35,1.40,42059,0.05,3.70%,1.40,60.74k,191
15,07/17/17,1.40,1.505,1.35,1.35,45340,-0.025,-1.82%,1.35,65.95k,162
16,07/14/17,1.45,1.525,1.35,1.375,31731,-0.075,-5.17%,1.375,46.15k,147
17,07/13/17,1.5723,1.60,1.35,1.45,27405,0.05,3.57%,1.45,39.89k,119
18,07/12/17,1.40,1.40,1.35,1.40,10083,0.05,3.70%,1.40,13.96k,62
19,07/11/17,1.40,1.40,1.35,1.35,17675,0.00,0.00%,1.35,24.52k,76
20,07/10/17,1.45,1.45,1.30,1.35,66402,-0.05,-3.57%,1.35,90.72k,245
21,07/07/17,1.35,1.545,1.35,1.40,23062,0.025,1.82%,1.40,33.28k,127
22,07/06/17,1.40,1.41,1.30,1.375,19188,-0.025,-1.79%,1.375,26.17k,108
23,07/05/17,1.495,1.55,1.40,1.40,33060,0.00,0.00%,1.40,49.26k,167
24,06/30/17,1.55,1.55,1.40,1.45,22262,-0.05,-3.33%,1.45,31.72k,150
25,06/29/17,1.60,1.70,1.30,1.50,52353,-0.10,-6.25%,1.50,77.85k,228
26,06/28/17,1.65,1.70,1.55,1.60,68591,0.00,0.00%,1.60,112.49k,421
27,06/27/17,1.50,1.70,1.45,1.60,104721,0.15,10.34%,1.60,168.43k,302
28,06/26/17,1.20,1.65,1.20,1.45,275081,0.25,20.83%,1.45,404.33k,589
29,06/23/17,1.20,1.20,1.15,1.20,28523,0.00,0.00%,1.20,33.93k,96
30,06/22/17,1.20,1.25,1.15,1.20,56621,0.00,0.00%,1.20,68.18k,210
31,06/21/17,1.15,1.20,1.1389,1.20,25223,0.095,8.60%,1.20,29.22k,66
32,06/20/17,1.10,1.15,1.10,1.105,31629,0.005,0.45%,1.105,35.92k,66
33,06/19/17,1.15,1.195,1.10,1.10,17965,-0.05,-4.35%,1.10,20.53k,47
34,06/16/17,1.20,1.20,1.15,1.15,17595,0.00,0.00%,1.15,20.27k,35
35,06/15/17,1.15,1.25,1.15,1.15,13074,0.00,0.00%,1.15,15.54k,52
36,06/14/17,1.20,1.20,1.15,1.15,35276,0.00,0.00%,1.15,42k,85
37,06/13/17,1.20,1.20,1.10,1.15,26456,0.00,0.00%,1.15,31.13k,111
38,06/12/17,1.15,1.20,1.15,1.15,30177,-0.05,-4.17%,1.15,35.7k,100
39,06/09/17,1.15,1.20,1.15,1.20,13069,0.05,4.35%,1.20,15.28k,19
40,06/08/17,1.20,1.20,1.15,1.15,45865,-0.05,-4.17%,1.15,54.24k,38
41,06/07/17,1.20,1.25,1.20,1.20,19046,0.00,0.00%,1.20,23.34k,45
42,06/06/17,1.30,1.30,1.20,1.20,17930,-0.05,-4.00%,1.20,21.76k,49
43,06/05/17,1.2663,1.30,1.20,1.25,22773,0.00,0.00%,1.25,27.98k,54
44,06/02/17,1.20,1.30,1.20,1.25,27962,0.00,0.00%,1.25,35.31k,85
45,06/01/17,1.295,1.30,1.25,1.25,26823,0.05,4.17%,1.25,34.33k,34
46,05/31/17,1.30,1.35,1.20,1.20,36878,-0.1387,-10.36%,1.20,47.95k,104
47,05/30/17,1.35,1.375,1.31,1.3387,18502,-0.0613,-4.38%,1.3387,24.95k,30
48,05/26/17,1.50,1.51,1.35,1.40,30545,-0.10,-6.67%,1.40,43.47k,85
49,05/25/17,1.40,1.70,1.40,1.50,109555,0.20,15.38%,1.50,166.76k,293
50,05/24/17,1.25,1.35,1.25,1.30,26130,0.00,0.00%,1.30,33.93k,56
51,05/23/17,1.25,1.35,1.25,1.30,13545,0.00,0.00%,1.30,17.72k,84
52,05/22/17,1.255,1.35,1.225,1.30,11805,0.05,4.00%,1.30,15.21k,68
53,05/19/17,1.25,1.35,1.20,1.25,55816,0.00,0.00%,1.25,70.03k,177
54,05/18/17,1.30,1.40,1.20,1.25,126647,0.00,0.00%,1.25,161.75k,158
55,05/17/17,1.45,1.50,1.25,1.25,72822,-0.20,-13.79%,1.25,99.58k,147
56,05/16/17,1.50,1.525,1.40,1.45,12349,-0.10,-6.45%,1.45,18.4k,48
57,05/15/17,1.526,1.60,1.45,1.55,71722,0.00,0.00%,1.55,107.84k,170
58,05/12/17,1.50,1.55,1.4596,1.55,20194,0.00,0.00%,1.55,30.65k,127
59,05/11/17,1.55,1.55,1.50,1.55,7174,-0.10,-6.06%,1.55,10.9k,40
60,05/10/17,1.50,1.70,1.25,1.65,129059,0.20,13.79%,1.65,187.32k,290
