,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,12/29/16,,,,33.40,0,,0.00%,33.40,,
2,12/28/16,,,,33.40,0,,0.00%,33.40,,
3,12/27/16,,,,33.40,0,,0.00%,33.40,,
4,12/23/16,,,,33.40,0,,0.00%,33.40,,
5,12/22/16,,,,33.40,0,,0.00%,33.40,,
6,12/21/16,,,,33.40,2000,0.00,0.00%,33.40,,4
7,12/20/16,33.20,34.10,31.90,33.40,868896,0.15,0.45%,33.40,28.87m,3335
8,12/19/16,33.20,33.30,33.105,33.25,109427,0.15,0.45%,33.25,3.64m,670
9,12/16/16,33.20,33.20,33.05,33.10,294729,0.00,0.00%,33.10,9.76m,1227
10,12/15/16,33.25,33.25,33.10,33.10,229741,-0.15,-0.45%,33.10,7.61m,1209
11,12/14/16,33.35,33.45,33.15,33.25,298138,-0.15,-0.45%,33.25,9.92m,1856
12,12/13/16,33.60,33.65,33.3497,33.40,238388,-0.20,-0.60%,33.40,7.96m,1704
13,12/12/16,33.60,33.65,33.35,33.60,492397,-0.05,-0.15%,33.60,16.52m,2559
14,12/09/16,33.70,33.70,33.325,33.65,563275,0.10,0.30%,33.65,18.87m,2234
15,12/08/16,33.50,33.65,33.35,33.55,1243651,0.10,0.30%,33.55,41.63m,3527
16,12/07/16,33.85,33.95,33.35,33.45,282998,-0.40,-1.18%,33.45,9.52m,2246
17,12/06/16,33.60,33.925,33.30,33.85,174582,0.35,1.04%,33.85,5.89m,1458
18,12/05/16,33.35,33.60,33.2501,33.50,212297,0.30,0.90%,33.50,7.11m,989
19,12/02/16,33.50,33.65,33.10,33.20,228483,-0.40,-1.19%,33.20,7.6m,1707
20,12/01/16,33.85,34.075,33.425,33.60,501907,-0.20,-0.59%,33.60,16.85m,3205
21,11/30/16,34.15,34.15,33.80,33.80,246939,-0.10,-0.29%,33.80,8.38m,1930
22,11/29/16,33.95,34.05,33.80,33.90,639637,0.05,0.15%,33.90,21.7m,2141
23,11/28/16,34.10,34.35,33.775,33.85,258928,-0.30,-0.88%,33.85,8.77m,2113
24,11/23/16,34.10,34.20,34.00,34.20,311213,0.05,0.15%,34.20,10.61m,1979
25,11/22/16,34.15,34.25,34.0501,34.15,126421,0.00,0.00%,34.15,4.32m,909
26,11/21/16,34.30,34.35,34.00,34.15,415730,-0.10,-0.29%,34.15,14.18m,2808
27,11/18/16,34.30,34.35,34.10,34.25,272343,-0.15,-0.44%,34.25,9.31m,2052
28,11/17/16,33.95,34.525,33.95,34.40,682705,0.40,1.18%,34.40,23.38m,3382
29,11/16/16,34.05,34.15,33.90,34.00,380428,-0.10,-0.29%,34.00,12.95m,2602
