,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,4.04,4.20,3.95,4.00,63849,-0.02,-0.50%,4.00,259.45k,281
2,08/03/17,4.105,4.13,3.955,4.02,11752,-0.07,-1.71%,4.02,47.43k,70
3,08/02/17,4.03,4.10,3.99,4.09,34469,0.05,1.24%,4.09,138.25k,151
4,08/01/17,4.07,4.1226,4.00,4.04,26763,-0.06,-1.46%,4.04,108.76k,126
5,07/31/17,4.0929,4.10,4.0283,4.10,9028,0.00,0.00%,4.10,36.57k,129
6,07/28/17,4.14,4.22,3.93,4.10,74390,-0.08,-1.91%,4.10,304.37k,179
7,07/27/17,4.11,4.21,4.05,4.18,52194,-0.05,-1.18%,4.18,213.1k,196
8,07/26/17,4.05,4.25,4.013,4.23,8614,0.21,5.22%,4.23,35.56k,60
9,07/25/17,4.20,4.20,4.02,4.02,15065,-0.19,-4.51%,4.02,61.76k,100
10,07/24/17,4.09,4.28,3.97,4.21,16244,0.13,3.19%,4.21,66.58k,139
11,07/21/17,4.06,4.23,4.06,4.08,9770,0.02,0.49%,4.08,40.37k,72
12,07/20/17,4.09,4.1308,4.05,4.06,14859,0.02,0.50%,4.06,60.58k,97
13,07/19/17,4.12,4.444,4.04,4.04,46189,-0.16,-3.81%,4.04,197.52k,183
14,07/18/17,4.00,4.20,4.00,4.20,21373,0.20,5.00%,4.20,87.67k,54
15,07/17/17,4.12,4.12,4.00,4.00,25941,-0.10,-2.44%,4.00,104.39k,141
16,07/14/17,4.07,4.24,4.00,4.10,5508,0.08,1.99%,4.10,22.46k,58
17,07/13/17,4.13,4.185,4.02,4.02,3639,-0.10,-2.43%,4.02,14.93k,30
18,07/12/17,3.98,4.22,3.98,4.12,44544,0.15,3.78%,4.12,180.45k,210
19,07/11/17,4.19,4.27,3.93,3.97,68355,-0.19,-4.57%,3.97,273.56k,485
20,07/10/17,4.26,4.30,4.111,4.16,19630,-0.16,-3.70%,4.16,82.77k,137
21,07/07/17,4.35,4.67,4.27,4.32,22596,0.00,0.00%,4.32,98.5k,258
22,07/06/17,4.53,4.556,4.25,4.32,36029,-0.26,-5.68%,4.32,157.87k,222
23,07/05/17,4.65,4.70,4.54,4.58,17999,-0.13,-2.76%,4.58,84.17k,60
24,06/30/17,4.59,4.74,4.40,4.65,84028,0.10,2.20%,4.65,381.53k,255
25,06/29/17,4.48,4.58,4.37,4.55,16325,0.04,0.89%,4.55,73.06k,78
26,06/28/17,4.57,4.63,4.46,4.51,9255,0.01,0.22%,4.51,41.95k,66
27,06/27/17,4.85,4.85,4.50,4.50,28661,-0.33,-6.83%,4.50,135.56k,127
28,06/26/17,4.47,4.85,4.39,4.83,88856,0.33,7.33%,4.83,414.27k,261
29,06/23/17,4.2448,4.50,4.12,4.50,45380,0.22,5.14%,4.50,196.23k,154
30,06/22/17,4.20,4.36,4.1372,4.28,14643,0.10,2.39%,4.28,61.9k,83
31,06/21/17,4.44,4.45,4.12,4.18,40982,-0.22,-5.00%,4.18,174.69k,267
32,06/20/17,4.37,4.54,4.37,4.40,9704,0.04,0.92%,4.40,42.89k,105
33,06/19/17,4.50,4.625,4.35,4.36,47379,-0.15,-3.33%,4.36,211.33k,217
34,06/16/17,4.65,4.74,4.51,4.51,50158,-0.18,-3.84%,4.51,231.24k,270
35,06/15/17,4.5886,4.69,4.44,4.69,49927,-0.03,-0.64%,4.69,225.19k,290
36,06/14/17,4.71,4.75,4.6188,4.72,8194,-0.01,-0.21%,4.72,38.42k,61
37,06/13/17,4.7181,4.9742,4.7101,4.73,7396,0.02,0.42%,4.73,35.59k,51
38,06/12/17,4.77,4.89,4.5356,4.71,12160,-0.10,-2.08%,4.71,57.68k,134
39,06/09/17,4.70,4.8825,4.70,4.81,8778,0.08,1.69%,4.81,42.26k,48
40,06/08/17,4.46,4.74,4.41,4.73,19256,0.19,4.19%,4.73,90.07k,73
41,06/07/17,4.63,4.65,4.54,4.54,3923,-0.05,-1.09%,4.54,17.98k,70
42,06/06/17,4.48,4.68,4.48,4.59,9349,0.04,0.88%,4.59,42.87k,57
43,06/05/17,4.70,4.73,4.4854,4.55,6738,-0.21,-4.41%,4.55,30.89k,83
44,06/02/17,4.54,4.76,4.46,4.76,36891,0.23,5.08%,4.76,166.84k,117
45,06/01/17,4.648,4.74,4.53,4.53,9978,-0.13,-2.79%,4.53,46.77k,78
46,05/31/17,4.5492,4.74,4.5492,4.66,19686,0.08,1.75%,4.66,92.17k,158
47,05/30/17,4.45,4.59,4.40,4.58,33452,0.09,2.00%,4.58,150.05k,120
48,05/26/17,4.6201,4.66,4.49,4.49,22384,-0.17,-3.65%,4.49,101.79k,126
49,05/25/17,4.64,4.70,4.50,4.66,16631,-0.04,-0.85%,4.66,76.56k,80
50,05/24/17,4.72,4.75,4.5603,4.70,13013,0.01,0.21%,4.70,60.28k,47
51,05/23/17,4.69,4.78,4.46,4.69,34874,-0.05,-1.05%,4.69,158.39k,149
52,05/22/17,4.85,4.85,4.5699,4.74,50489,-0.17,-3.46%,4.74,236.97k,213
53,05/19/17,5.24,5.24,4.82,4.91,45754,-0.22,-4.29%,4.91,226.34k,282
54,05/18/17,5.10,5.32,5.0501,5.13,37636,0.05,0.98%,5.13,193.84k,215
55,05/17/17,5.39,5.40,4.99,5.08,38063,-0.29,-5.40%,5.08,194.57k,318
56,05/16/17,5.54,5.54,5.0425,5.37,69014,0.04,0.75%,5.37,364.58k,218
57,05/15/17,4.98,5.35,4.98,5.33,84156,0.35,7.03%,5.33,444.68k,300
58,05/12/17,4.85,4.98,4.843,4.98,6437,0.09,1.84%,4.98,31.33k,44
59,05/11/17,4.81,4.90,4.80,4.89,7637,-0.01,-0.20%,4.89,36.96k,86
60,05/10/17,5.05,5.05,4.76,4.90,27696,-0.14,-2.78%,4.90,135.75k,119
61,05/09/17,5.32,5.32,5.00,5.04,42247,-0.32,-5.97%,5.04,218.13k,273
62,05/08/17,5.15,5.36,5.1296,5.36,90121,0.22,4.28%,5.36,471.58k,240
63,05/05/17,5.04,5.15,4.9048,5.14,25803,0.18,3.63%,5.14,130.63k,183
64,05/04/17,4.9245,4.96,4.8747,4.96,42556,0.03,0.61%,4.96,210.38k,97
65,05/03/17,4.95,4.95,4.83,4.93,9059,0.066,1.36%,4.93,44.54k,98
66,05/02/17,4.83,4.93,4.83,4.864,10964,0.0026,0.05%,4.864,53.42k,82
67,05/01/17,4.83,4.93,4.701,4.8614,7653,0.0114,0.24%,4.8614,36.92k,80
68,04/28/17,4.95,4.95,4.85,4.85,31723,-0.10,-2.02%,4.85,155.47k,133
69,04/27/17,4.87,4.99,4.78,4.95,48170,0.08,1.64%,4.95,235.01k,119
70,04/26/17,4.7499,4.92,4.7375,4.87,25118,0.13,2.74%,4.87,120.15k,98
71,04/25/17,4.79,4.79,4.56,4.74,19683,0.04,0.85%,4.74,92.27k,101
72,04/24/17,4.53,4.7722,4.53,4.70,34268,0.17,3.75%,4.70,159.17k,117
73,04/21/17,4.62,4.69,4.42,4.53,50272,-0.09,-1.95%,4.53,229.91k,104
74,04/20/17,4.5932,4.6699,4.50,4.62,8873,-0.02,-0.43%,4.62,40.98k,42
75,04/19/17,4.573,4.70,4.42,4.64,23495,0.09,1.98%,4.64,108.5k,82
76,04/18/17,4.50,4.59,4.50,4.55,14693,0.03,0.66%,4.55,66.54k,65
77,04/17/17,4.23,4.7121,4.22,4.52,25308,0.25,5.85%,4.52,113.78k,148
78,04/13/17,4.30,4.3603,4.14,4.27,30587,-0.03,-0.70%,4.27,129.53k,116
79,04/12/17,4.35,4.4794,4.30,4.30,7066,-0.08,-1.83%,4.30,30.69k,48
80,04/11/17,4.54,4.68,4.10,4.38,117702,-0.22,-4.78%,4.38,512.06k,463
81,04/10/17,4.62,4.77,4.52,4.60,31612,-0.09,-1.92%,4.60,146.73k,58
82,04/07/17,4.59,4.78,4.5101,4.69,33680,0.12,2.63%,4.69,155.12k,95
83,04/06/17,4.60,4.66,4.50,4.57,14733,-0.07,-1.51%,4.57,67.25k,109
84,04/05/17,4.71,4.71,4.56,4.64,18487,0.03,0.65%,4.64,85.6k,170
85,04/04/17,4.67,4.7443,4.50,4.61,42303,-0.15,-3.15%,4.61,196.24k,210
86,04/03/17,5.04,5.10,4.72,4.76,56666,-0.27,-5.37%,4.76,274.28k,329
87,03/31/17,4.84,5.09,4.735,5.03,72547,0.16,3.29%,5.03,354.96k,341
88,03/30/17,5.02,5.20,4.8084,4.87,56049,-0.22,-4.32%,4.87,277.95k,232
89,03/29/17,4.88,5.19,4.77,5.09,87397,0.37,7.84%,5.09,436.5k,298
90,03/28/17,4.62,4.81,4.56,4.72,44445,0.12,2.61%,4.72,210.06k,162
91,03/27/17,4.30,4.71,4.23,4.60,63961,0.20,4.55%,4.60,285.66k,279
92,03/24/17,4.45,4.45,4.28,4.40,92779,-0.07,-1.57%,4.40,402.55k,356
93,03/23/17,4.87,4.88,4.36,4.47,142359,-0.40,-8.21%,4.47,655.41k,557
94,03/22/17,5.22,5.22,4.80,4.87,77561,-0.29,-5.62%,4.87,378.88k,388
95,03/21/17,5.20,5.3618,4.75,5.16,160921,0.05,0.98%,5.16,804.89k,742
96,03/20/17,5.50,5.73,4.79,5.11,392699,-0.62,-10.82%,5.11,1.99m,1179
97,03/17/17,7.70,7.79,5.61,5.73,3020147,0.63,12.35%,5.73,19.21m,10767
98,03/16/17,4.99,5.24,4.99,5.10,94102,0.10,2.00%,5.10,485.52k,335
99,03/15/17,4.99,5.14,4.99,5.00,12656,-0.02,-0.40%,5.00,63.9k,83
100,03/14/17,4.98,5.11,4.9548,5.02,37975,-0.0715,-1.40%,5.02,190.98k,190
101,03/13/17,5.00,5.13,4.88,5.0915,17395,0.0415,0.82%,5.0915,87.14k,90
102,03/10/17,5.1384,5.289,4.956,5.05,52203,-0.09,-1.75%,5.05,264.82k,180
103,03/09/17,5.242,5.31,5.11,5.14,27048,-0.03,-0.58%,5.14,140.25k,85
104,03/08/17,5.13,5.2118,5.12,5.17,12397,0.04,0.78%,5.17,63.96k,62
105,03/07/17,5.10,5.21,5.02,5.13,36490,0.05,0.98%,5.13,187.29k,143
106,03/06/17,5.06,5.15,4.92,5.08,31151,-0.08,-1.55%,5.08,157.68k,142
107,03/03/17,5.04,5.345,5.03,5.16,33473,0.13,2.58%,5.16,173.69k,188
108,03/02/17,4.97,5.06,4.66,5.03,21811,0.02,0.40%,5.03,107.49k,142
109,03/01/17,5.01,5.05,4.94,5.01,12587,0.00,0.00%,5.01,62.98k,91
110,02/28/17,4.84,5.0949,4.8201,5.01,32777,0.09,1.83%,5.01,162.33k,164
111,02/27/17,5.15,5.15,4.60,4.92,96378,-0.13,-2.57%,4.92,467.35k,352
112,02/24/17,5.25,5.4401,4.87,5.05,103319,-0.20,-3.81%,5.05,521.49k,398
113,02/23/17,5.0538,5.94,4.975,5.25,844633,0.15,2.94%,5.25,4.72m,2639
114,02/22/17,5.18,5.225,4.8201,5.10,45316,0.00,0.00%,5.10,227.31k,199
115,02/21/17,5.15,5.22,5.074,5.10,41829,-0.13,-2.49%,5.10,215.49k,157
116,02/17/17,5.14,5.29,5.06,5.23,19880,0.09,1.75%,5.23,102.61k,116
117,02/16/17,5.41,5.50,5.11,5.14,54365,-0.335,-6.12%,5.14,286.35k,224
118,02/15/17,5.4182,5.68,5.35,5.475,199353,-0.025,-0.45%,5.475,1.1m,568
119,02/14/17,5.5244,5.69,5.375,5.50,83614,-0.12,-2.14%,5.50,462.23k,232
120,02/13/17,5.63,5.63,5.505,5.62,23419,0.10,1.81%,5.62,130.83k,116
121,02/10/17,5.76,5.8899,5.01,5.52,63341,-0.20,-3.50%,5.52,351.16k,325
122,02/09/17,4.82,5.72,4.8101,5.72,95305,0.94,19.67%,5.72,497.75k,412
123,02/08/17,4.83,4.92,4.68,4.78,18511,0.02,0.42%,4.78,89.2k,82
124,02/07/17,4.82,4.86,4.53,4.76,47746,0.01,0.21%,4.76,227.81k,215
125,02/06/17,4.49,4.95,4.49,4.75,21167,0.1899,4.16%,4.75,97.79k,158
126,02/03/17,4.65,4.89,4.551,4.5601,29202,0.0101,0.22%,4.5601,136.25k,162
127,02/02/17,4.45,4.8415,4.32,4.55,64225,0.15,3.41%,4.55,293.44k,224
128,02/01/17,4.49,4.49,4.31,4.40,36903,-0.09,-2.00%,4.40,163.7k,113
129,01/31/17,4.11,4.49,4.1001,4.49,18165,0.30,7.16%,4.49,78.17k,84
130,01/30/17,4.49,4.49,4.10,4.19,40436,-0.3099,-6.89%,4.19,172.66k,241
131,01/27/17,3.98,4.4999,3.98,4.4999,132342,0.5449,13.78%,4.4999,553.14k,285
132,01/26/17,3.8201,3.99,3.81,3.955,26957,0.085,2.20%,3.955,105.78k,98
133,01/25/17,3.70,3.8999,3.5536,3.87,23889,0.20,5.45%,3.87,88.51k,101
