,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,2.56,2.58,2.51,2.52,805966,-0.05,-1.95%,2.52,2.05m,2757
2,08/03/17,2.45,2.64,2.45,2.57,2569606,0.11,4.47%,2.57,6.6m,5350
3,08/02/17,2.51,2.52,2.43,2.46,1616139,0.00,0.00%,2.46,3.99m,5387
4,08/01/17,2.41,2.52,2.34,2.46,3069470,0.17,7.42%,2.46,7.53m,6849
5,07/31/17,2.30,2.349,2.28,2.29,931317,-0.01,-0.43%,2.29,2.15m,2917
6,07/28/17,2.28,2.36,2.271,2.30,923689,0.00,0.00%,2.30,2.15m,3357
7,07/27/17,2.39,2.40,2.28,2.30,1476403,-0.08,-3.36%,2.30,3.42m,4870
8,07/26/17,2.39,2.41,2.36,2.38,871626,-0.02,-0.83%,2.38,2.08m,3347
9,07/25/17,2.39,2.42,2.36,2.40,1083036,0.01,0.42%,2.40,2.6m,3969
10,07/24/17,2.35,2.41,2.34,2.39,1067119,0.03,1.27%,2.39,2.53m,4474
11,07/21/17,2.40,2.42,2.35,2.36,952978,-0.02,-0.84%,2.36,2.27m,3726
12,07/20/17,2.36,2.44,2.34,2.38,972555,0.01,0.42%,2.38,2.32m,3289
13,07/19/17,2.37,2.43,2.34,2.37,777648,0.01,0.42%,2.37,1.84m,2952
14,07/18/17,2.39,2.40,2.34,2.36,837514,-0.04,-1.67%,2.36,1.98m,3059
15,07/17/17,2.45,2.53,2.39,2.40,1124206,-0.08,-3.23%,2.40,2.75m,4624
16,07/14/17,2.54,2.58,2.46,2.48,896402,-0.07,-2.75%,2.48,2.24m,3573
17,07/13/17,2.50,2.57,2.45,2.55,997179,0.03,1.19%,2.55,2.52m,3971
18,07/12/17,2.56,2.56,2.49,2.52,509798,-0.01,-0.40%,2.52,1.29m,2472
19,07/11/17,2.45,2.54,2.45,2.53,1033417,0.07,2.85%,2.53,2.6m,3318
20,07/10/17,2.51,2.55,2.46,2.46,742144,-0.06,-2.38%,2.46,1.86m,2998
21,07/07/17,2.51,2.58,2.49,2.52,1069055,0.02,0.80%,2.52,2.71m,3779
22,07/06/17,2.56,2.60,2.48,2.50,1139796,-0.08,-3.10%,2.50,2.89m,4746
23,07/05/17,2.56,2.62,2.49,2.58,1320591,0.02,0.78%,2.58,3.41m,5900
24,06/30/17,2.51,2.57,2.45,2.47,1019757,-0.03,-1.20%,2.47,2.54m,3820
25,06/29/17,2.54,2.58,2.45,2.50,1057985,-0.06,-2.34%,2.50,2.64m,4041
26,06/28/17,2.53,2.58,2.46,2.56,940555,0.05,1.99%,2.56,2.39m,3837
27,06/27/17,2.61,2.64,2.51,2.51,1089889,-0.10,-3.83%,2.51,2.8m,4324
28,06/26/17,2.65,2.68,2.60,2.61,1093334,-0.01,-0.38%,2.61,2.88m,4410
29,06/23/17,2.57,2.64,2.50,2.62,3625821,0.04,1.55%,2.62,9.46m,6215
