,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,16.00,16.05,16.00,16.05,1232,-0.30,-1.83%,16.05,19.74k,32
2,08/03/17,16.10,16.35,16.05,16.35,955,0.214,1.33%,16.35,15.44k,23
3,08/02/17,16.63,16.63,16.136,16.136,1441,-0.2386,-1.46%,16.136,23.63k,31
4,08/01/17,16.3675,16.75,16.3675,16.3746,1369,-0.2754,-1.65%,16.3746,22.65k,28
5,07/31/17,16.55,16.65,16.25,16.65,4236,0.40,2.46%,16.65,69.8k,61
6,07/28/17,16.50,16.75,16.10,16.25,10065,0.10,0.62%,16.25,164.52k,77
7,07/27/17,16.30,16.65,16.15,16.15,15110,-0.25,-1.52%,16.15,246.18k,125
8,07/26/17,16.65,16.70,16.40,16.40,1945,-0.20,-1.20%,16.40,32.22k,24
9,07/25/17,16.60,16.80,16.30,16.60,15000,0.05,0.30%,16.60,248.31k,75
10,07/24/17,16.1985,16.80,16.1985,16.55,21318,0.40,2.48%,16.55,349.12k,107
11,07/21/17,16.15,16.15,15.75,16.15,3917,0.00,0.00%,16.15,62.91k,31
12,07/20/17,15.405,16.15,15.40,16.15,22343,0.4264,2.71%,16.15,353.32k,54
13,07/19/17,15.90,16.0214,15.30,15.7236,19026,-0.1214,-0.77%,15.7236,298.1k,64
14,07/18/17,16.15,16.15,15.20,15.845,24298,0.495,3.22%,15.845,376.87k,88
15,07/17/17,15.239,15.50,15.239,15.35,11442,-0.145,-0.94%,15.35,175.8k,37
16,07/14/17,15.495,15.495,15.495,15.495,842,0.145,0.94%,15.495,13.05k,19
17,07/13/17,,,,15.35,160,0.00,0.00%,15.35,,11
18,07/12/17,15.65,15.65,15.35,15.35,3174,-0.10,-0.65%,15.35,49.32k,21
19,07/11/17,15.5255,15.655,15.30,15.45,3036,-0.2365,-1.51%,15.45,47.07k,39
20,07/10/17,15.80,15.95,15.6865,15.6865,895,0.0365,0.23%,15.6865,14.16k,11
21,07/07/17,15.65,15.70,15.65,15.65,1315,-0.30,-1.88%,15.65,20.59k,25
22,07/06/17,15.50,15.95,15.50,15.95,892,0.50,3.24%,15.95,13.95k,19
23,07/05/17,15.75,15.75,15.45,15.45,4306,-0.45,-2.83%,15.45,67.17k,37
24,06/30/17,15.15,15.95,15.15,15.90,8263,0.75,4.95%,15.90,128.63k,39
25,06/29/17,15.65,16.1205,15.10,15.15,11971,-0.55,-3.50%,15.15,183.89k,60
26,06/28/17,16.15,16.25,15.35,15.70,7097,-0.40,-2.48%,15.70,112.13k,48
27,06/27/17,15.90,16.25,15.7737,16.10,13026,0.65,4.21%,16.10,208.5k,103
28,06/26/17,15.90,15.90,15.10,15.45,19549,-0.45,-2.83%,15.45,304.36k,115
29,06/23/17,16.05,16.20,15.75,15.90,7675,-0.05,-0.31%,15.90,121.88k,73
30,06/22/17,16.15,16.20,15.60,15.95,16013,-0.15,-0.93%,15.95,254.35k,106
31,06/21/17,16.55,16.55,15.50,16.10,24297,-0.45,-2.72%,16.10,386.69k,139
32,06/20/17,16.65,16.81,15.85,16.55,15142,-0.10,-0.60%,16.55,245.57k,114
33,06/19/17,17.20,17.20,16.1242,16.65,25940,-0.70,-4.03%,16.65,436.06k,155
34,06/16/17,17.25,17.65,16.05,17.35,83626,0.641833,3.84%,17.35,1.42m,411
35,06/15/17,19.65,20.40,18.4815,18.80,335860,-0.222183,-1.31%,16.7082,6.6m,1221
36,06/14/17,18.95,19.645,18.945,19.05,86777,0.088874,0.53%,16.9304,1.67m,348
37,06/13/17,17.15,19.345,17.025,18.95,256381,1.7867,11.87%,16.8415,4.77m,1070
38,06/12/17,16.00,16.95,16.00,16.9396,23069,1.1461,8.24%,15.0548,381.72k,121
39,06/09/17,,,,15.65,123,0.00,0.00%,13.9087,,6
40,06/08/17,15.5951,15.70,15.534,15.65,1178,0.133309,0.97%,13.9087,18.41k,19
41,06/07/17,15.55,15.55,15.50,15.50,1290,-0.178012,-1.28%,13.7754,20.03k,19
42,06/06/17,15.60,15.7003,15.60,15.7003,316,-0.091184,-0.65%,13.9534,4.95k,7
43,06/05/17,,,,15.8029,21,0.00,0.00%,14.0445,,2
44,06/02/17,15.64,15.85,15.64,15.8029,704,0.047014,0.34%,14.0445,11.06k,16
45,06/01/17,16.20,16.20,15.75,15.75,1487,-0.044437,-0.32%,13.9975,23.57k,8
46,05/31/17,15.80,15.80,15.70,15.80,1317,0.222183,1.61%,14.042,20.77k,14
47,05/30/17,16.75,16.75,15.55,15.55,3227,-0.844296,-5.76%,13.8198,51.76k,34
48,05/26/17,16.60,16.60,15.85,16.50,958,0.844296,6.11%,14.6641,15.74k,10
49,05/25/17,16.45,16.45,15.55,15.55,3254,-0.044437,-0.32%,13.8198,51.7k,16
50,05/24/17,,,,15.60,2,0.00,0.00%,13.8642,,2
51,05/23/17,,,,15.60,57,0.00,0.00%,13.8642,,3
52,05/22/17,15.90,15.90,15.5734,15.60,4428,-0.222183,-1.58%,13.8642,69.37k,25
53,05/19/17,15.6278,15.85,15.50,15.85,3386,0.004445,0.03%,14.0864,53.51k,9
54,05/18/17,15.85,16.15,15.75,15.845,1632,0.151083,1.08%,14.082,25.9k,16
55,05/17/17,15.80,15.90,15.675,15.675,4608,0.066655,0.48%,13.9309,72.94k,28
56,05/16/17,15.60,15.60,15.60,15.60,149,-0.222183,-1.58%,13.8642,2.32k,1
57,05/15/17,15.85,15.85,15.85,15.85,168,0.26662,1.93%,14.0864,2.66k,1
58,05/12/17,,,,15.55,321,0.00,0.00%,13.8198,,10
59,05/11/17,15.45,15.8295,15.45,15.55,4984,-0.133576,-0.96%,13.8198,77.93k,38
60,05/10/17,15.50,15.7003,15.50,15.7003,576,0.22245,1.62%,13.9534,8.96k,9
61,05/09/17,15.55,15.5827,15.45,15.45,3244,-0.232848,-1.67%,13.7309,50.4k,24
