,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,4.50,4.55,4.45,4.50,81882,-0.05,-1.10%,4.50,369.53k,269
2,08/03/17,4.40,4.55,4.35,4.55,98554,0.10,2.25%,4.55,438.63k,570
3,08/02/17,4.50,4.549,4.45,4.45,49555,0.00,0.00%,4.45,221.66k,355
4,08/01/17,4.50,4.6277,4.35,4.45,105355,0.05,1.14%,4.45,467.8k,751
5,07/31/17,4.50,4.5999,4.40,4.40,77151,-0.05,-1.12%,4.40,343.49k,343
6,07/28/17,4.50,4.55,4.20,4.45,228192,-0.05,-1.11%,4.45,995.33k,968
7,07/27/17,4.70,4.80,4.50,4.50,147525,-0.20,-4.26%,4.50,681.96k,554
8,07/26/17,4.65,4.75,4.60,4.70,101930,0.05,1.08%,4.70,473.17k,371
9,07/25/17,4.85,4.85,4.65,4.65,100947,-0.05,-1.06%,4.65,474.82k,433
10,07/24/17,4.75,4.9747,4.65,4.70,91754,-0.05,-1.05%,4.70,434.64k,499
11,07/21/17,4.90,4.90,4.70,4.75,175530,0.00,0.00%,4.75,843.25k,832
12,07/20/17,4.85,5.05,4.75,4.75,159344,-0.10,-2.06%,4.75,767.58k,678
13,07/19/17,4.95,4.9517,4.70,4.85,305730,-0.05,-1.02%,4.85,1.48m,1058
14,07/18/17,4.90,5.05,4.85,4.90,69767,-0.10,-2.00%,4.90,344.35k,353
15,07/17/17,5.00,5.25,4.875,5.00,127076,0.00,0.00%,5.00,627.1k,566
16,07/14/17,5.20,5.25,4.95,5.00,82035,-0.20,-3.85%,5.00,412.17k,408
17,07/13/17,5.50,5.50,5.15,5.20,137272,-0.20,-3.70%,5.20,721.17k,595
18,07/12/17,5.10,5.40,5.10,5.40,123365,0.35,6.93%,5.40,652.88k,563
19,07/11/17,4.95,5.15,4.85,5.05,174641,0.10,2.02%,5.05,871.11k,925
20,07/10/17,5.35,5.50,4.90,4.95,200743,-0.40,-7.48%,4.95,1.03m,954
21,07/07/17,4.70,5.35,4.65,5.35,317241,0.65,13.83%,5.35,1.64m,1150
22,07/06/17,4.80,4.85,4.70,4.70,134792,-0.15,-3.09%,4.70,643.44k,788
23,07/05/17,4.95,5.00,4.80,4.85,134087,-0.15,-3.00%,4.85,654.14k,869
24,06/30/17,4.95,5.05,4.75,5.05,151058,0.15,3.06%,5.05,747k,1023
25,06/29/17,5.20,5.20,4.875,4.90,145647,-0.15,-2.97%,4.90,721.07k,763
26,06/28/17,5.05,5.05,4.8573,5.05,134694,0.00,0.00%,5.05,672.13k,697
27,06/27/17,5.15,5.15,4.95,5.05,127324,-0.05,-0.98%,5.05,642.46k,743
28,06/26/17,4.95,5.25,4.95,5.10,214160,0.15,3.03%,5.10,1.1m,1120
29,06/23/17,4.70,5.00,4.45,4.95,689494,0.25,5.32%,4.95,3.38m,1548
30,06/22/17,4.75,4.80,4.65,4.70,150847,0.00,0.00%,4.70,712.58k,941
31,06/21/17,4.65,4.75,4.60,4.70,115266,0.10,2.17%,4.70,543.93k,849
32,06/20/17,4.70,4.80,4.50,4.60,240647,-0.10,-2.13%,4.60,1.13m,1047
33,06/19/17,4.50,4.75,4.45,4.70,221998,0.15,3.30%,4.70,1.02m,1317
34,06/16/17,4.45,4.55,4.35,4.55,274772,0.05,1.11%,4.55,1.23m,1066
35,06/15/17,4.40,4.70,4.40,4.50,279302,0.05,1.12%,4.50,1.27m,1125
36,06/14/17,4.45,4.50,4.40,4.45,243675,0.00,0.00%,4.45,1.08m,1400
37,06/13/17,4.25,4.50,4.25,4.45,340922,0.15,3.49%,4.45,1.49m,1368
38,06/12/17,4.25,4.30,4.15,4.30,616593,0.15,3.61%,4.30,2.61m,2069
39,06/09/17,4.10,4.30,4.05,4.15,340366,0.00,0.00%,4.15,1.42m,1255
40,06/08/17,4.25,4.25,4.00,4.15,467161,-0.05,-1.19%,4.15,1.9m,1666
41,06/07/17,4.30,4.585,4.05,4.20,751009,-0.10,-2.33%,4.20,3.23m,2505
42,06/06/17,4.45,4.50,4.15,4.30,1164791,-0.05,-1.15%,4.30,4.99m,3875
43,06/05/17,5.50,5.60,4.15,4.35,3720987,-1.20,-21.62%,4.35,17.38m,9634
44,06/02/17,5.35,6.10,5.35,5.55,688573,0.25,4.72%,5.55,3.95m,2164
45,06/01/17,5.45,5.70,5.25,5.30,280916,-0.10,-1.85%,5.30,1.54m,1330
46,05/31/17,5.45,5.65,5.05,5.40,387883,0.05,0.93%,5.40,2.08m,1322
47,05/30/17,5.25,5.65,5.20,5.35,341841,0.20,3.88%,5.35,1.85m,1322
48,05/26/17,5.10,5.30,5.10,5.15,287052,0.00,0.00%,5.15,1.49m,1127
49,05/25/17,5.15,5.25,5.10,5.15,121980,0.00,0.00%,5.15,629.7k,626
50,05/24/17,5.15,5.25,5.00,5.15,235855,-0.05,-0.96%,5.15,1.21m,912
51,05/23/17,5.40,5.40,5.20,5.20,202280,-0.10,-1.89%,5.20,1.06m,1183
52,05/22/17,5.30,5.35,5.20,5.30,135189,0.00,0.00%,5.30,715.11k,766
53,05/19/17,5.45,5.5947,5.20,5.30,265222,-0.15,-2.75%,5.30,1.42m,1040
54,05/18/17,5.45,5.575,5.35,5.45,177308,-0.05,-0.91%,5.45,968.79k,969
55,05/17/17,5.60,5.65,5.30,5.50,190660,-0.15,-2.65%,5.50,1.04m,886
56,05/16/17,5.75,5.7819,5.50,5.65,123378,-0.05,-0.88%,5.65,694.83k,622
57,05/15/17,5.85,5.866,5.65,5.70,146125,-0.05,-0.87%,5.70,842.96k,785
58,05/12/17,5.90,5.90,5.60,5.75,134847,-0.10,-1.71%,5.75,771.59k,647
59,05/11/17,5.75,6.0999,5.65,5.85,290578,0.15,2.63%,5.85,1.7m,1212
60,05/10/17,5.05,5.85,4.80,5.70,459198,0.15,2.70%,5.70,2.47m,1704
61,05/09/17,5.55,5.70,5.2166,5.55,276569,0.10,1.83%,5.55,1.53m,1242
62,05/08/17,5.30,5.50,5.20,5.45,188232,0.20,3.81%,5.45,1.01m,653
63,05/05/17,5.30,5.30,5.20,5.25,83971,0.05,0.96%,5.25,440.47k,445
64,05/04/17,5.15,5.25,5.125,5.20,82346,0.05,0.97%,5.20,429.84k,553
65,05/03/17,5.05,5.20,5.05,5.15,91587,0.05,0.98%,5.15,470.2k,391
66,05/02/17,5.20,5.25,5.00,5.10,125367,-0.05,-0.97%,5.10,642.43k,792
67,05/01/17,5.30,5.30,5.00,5.15,181117,-0.15,-2.83%,5.15,923.38k,761
68,04/28/17,5.30,5.45,5.20,5.30,102087,0.00,0.00%,5.30,538.64k,527
69,04/27/17,5.45,5.50,5.275,5.30,126758,-0.10,-1.85%,5.30,680.4k,568
70,04/26/17,5.35,5.40,5.25,5.40,95535,0.10,1.89%,5.40,512.94k,325
71,04/25/17,5.45,5.50,5.20,5.30,174616,-0.10,-1.85%,5.30,933.49k,721
72,04/24/17,5.35,5.40,5.15,5.40,140670,0.10,1.89%,5.40,750.14k,600
73,04/21/17,5.20,5.30,5.05,5.30,170436,0.00,0.00%,5.30,880.74k,618
74,04/20/17,5.40,5.40,5.10,5.30,270733,-0.05,-0.93%,5.30,1.42m,1055
75,04/19/17,5.15,5.40,5.0824,5.35,230574,0.25,4.90%,5.35,1.22m,1010
76,04/18/17,5.00,5.25,4.90,5.10,316174,0.10,2.00%,5.10,1.6m,1272
77,04/17/17,5.70,5.70,4.90,5.00,467872,-0.60,-10.71%,5.00,2.42m,1910
78,04/13/17,5.50,5.70,5.35,5.60,414395,0.00,0.00%,5.60,2.28m,1670
79,04/12/17,5.55,5.90,5.40,5.60,573319,0.10,1.82%,5.60,3.26m,2077
80,04/11/17,5.45,5.55,5.10,5.50,305272,0.15,2.80%,5.50,1.63m,1427
81,04/10/17,5.10,5.50,5.05,5.35,408049,0.35,7.00%,5.35,2.12m,1795
82,04/07/17,4.75,5.15,4.65,5.00,298994,0.30,6.38%,5.00,1.48m,1036
83,04/06/17,4.65,4.75,4.5045,4.70,145651,0.10,2.17%,4.70,681.52k,851
84,04/05/17,4.50,4.75,4.50,4.60,267110,0.00,0.00%,4.60,1.23m,1310
85,04/04/17,4.55,4.60,4.40,4.60,125050,0.10,2.22%,4.60,568.32k,642
86,04/03/17,4.75,4.75,4.35,4.50,265200,-0.15,-3.23%,4.50,1.2m,1168
87,03/31/17,4.80,4.85,4.50,4.65,413256,-0.05,-1.06%,4.65,1.9m,1548
88,03/30/17,4.55,4.70,4.35,4.70,422397,0.15,3.30%,4.70,1.9m,1772
89,03/29/17,4.40,4.63,4.35,4.55,496457,0.20,4.60%,4.55,2.24m,1961
90,03/28/17,4.25,4.40,4.10,4.35,417137,0.15,3.57%,4.35,1.77m,2055
91,03/27/17,4.30,4.30,4.00,4.20,926852,-0.10,-2.33%,4.20,3.82m,3913
92,03/24/17,3.50,4.40,3.50,4.30,2562148,0.75,21.13%,4.30,10.67m,7543
93,03/23/17,3.45,3.55,3.40,3.55,173098,0.15,4.41%,3.55,605.85k,786
94,03/22/17,3.40,3.45,3.35,3.40,211066,0.00,0.00%,3.40,717.3k,1211
95,03/21/17,3.70,3.75,3.35,3.40,438369,-0.30,-8.11%,3.40,1.52m,1504
96,03/20/17,3.90,3.90,3.70,3.70,122085,-0.20,-5.13%,3.70,461.08k,741
97,03/17/17,3.80,3.90,3.70,3.90,264419,0.05,1.30%,3.90,1.01m,1077
98,03/16/17,3.90,3.95,3.75,3.85,247328,0.05,1.32%,3.85,953.82k,1113
99,03/15/17,3.65,3.85,3.55,3.80,268941,0.20,5.56%,3.80,998.1k,1115
100,03/14/17,3.65,3.65,3.55,3.60,139932,-0.05,-1.37%,3.60,501.68k,532
101,03/13/17,3.50,3.70,3.50,3.65,98344,0.20,5.80%,3.65,353.99k,685
102,03/10/17,3.95,4.15,3.45,3.45,828599,-0.20,-5.48%,3.45,3.15m,1504
103,03/09/17,3.70,3.70,3.60,3.65,184752,0.00,0.00%,3.65,678.81k,704
104,03/08/17,3.55,3.7846,3.55,3.65,229448,0.10,2.82%,3.65,844.51k,1035
105,03/07/17,3.60,3.60,3.50,3.55,76298,0.00,0.00%,3.55,272.65k,421
106,03/06/17,3.65,3.65,3.50,3.55,93724,-0.15,-4.05%,3.55,336.33k,559
107,03/03/17,3.70,3.70,3.65,3.70,100903,0.05,1.37%,3.70,371.15k,410
108,03/02/17,3.70,3.70,3.60,3.65,71914,-0.05,-1.35%,3.65,263.88k,292
109,03/01/17,3.70,3.75,3.60,3.70,139418,0.05,1.37%,3.70,512.42k,888
110,02/28/17,3.70,3.75,3.65,3.65,206585,0.00,0.00%,3.65,762.65k,780
111,02/27/17,3.50,3.65,3.45,3.65,118464,0.15,4.29%,3.65,422.16k,651
112,02/24/17,3.30,3.55,3.30,3.50,137819,0.10,2.94%,3.50,473.93k,673
113,02/23/17,3.40,3.45,3.15,3.40,306419,-0.05,-1.45%,3.40,1m,1014
114,02/22/17,3.65,3.70,3.40,3.45,215815,-0.20,-5.48%,3.45,768.12k,770
115,02/21/17,3.65,3.80,3.60,3.65,179329,-0.05,-1.35%,3.65,659.51k,979
116,02/17/17,3.65,3.75,3.60,3.70,71752,0.05,1.37%,3.70,264.72k,372
117,02/16/17,3.65,3.70,3.65,3.65,55192,0.00,0.00%,3.65,202.77k,297
118,02/15/17,3.55,3.65,3.55,3.65,81265,0.00,0.00%,3.65,294.16k,359
119,02/14/17,3.65,3.70,3.50,3.65,74115,0.05,1.39%,3.65,267.39k,411
120,02/13/17,3.75,3.80,3.55,3.60,96215,-0.15,-4.00%,3.60,354.67k,586
