,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,59.10,59.70,58.85,59.12,104978,0.26,0.44%,59.12,6.21m,1620
2,08/03/17,58.90,59.92,58.64,58.86,113048,-0.03,-0.05%,58.86,6.68m,1492
3,08/02/17,60.01,60.65,58.83,58.89,165906,-1.02,-1.70%,58.89,9.83m,1914
4,08/01/17,60.69,60.94,59.79,59.91,202207,-0.67,-1.11%,59.91,12.18m,2364
5,07/31/17,61.74,61.74,59.98,60.58,424117,-1.43,-2.31%,60.58,25.7m,3815
6,07/28/17,57.65,62.09,57.65,62.01,514244,4.34,7.53%,62.01,31.31m,5423
7,07/27/17,57.80,58.30,57.49,57.67,178594,-0.14,-0.24%,57.67,10.32m,1999
8,07/26/17,57.53,57.89,57.13,57.81,124168,0.41,0.71%,57.81,7.15m,1536
9,07/25/17,56.91,58.40,56.65,57.40,324017,0.75,1.32%,57.40,18.65m,2512
10,07/24/17,57.55,57.55,56.19,56.65,280655,-0.99,-1.72%,56.65,15.9m,2724
11,07/21/17,57.95,57.95,57.03,57.64,194698,-0.31,-0.53%,57.64,11.19m,1864
12,07/20/17,57.27,58.15,56.78,57.95,368593,0.83,1.45%,57.95,21.32m,2413
13,07/19/17,56.30,57.31,56.25,57.12,130951,0.82,1.46%,57.12,7.46m,2305
14,07/18/17,55.75,56.52,55.20,56.30,201567,0.35,0.63%,56.30,11.3m,2289
15,07/17/17,55.85,56.675,55.75,55.95,118865,0.09,0.16%,55.95,6.67m,1414
16,07/14/17,56.10,56.19,55.50,55.86,79053,-0.24,-0.43%,55.86,4.42m,1161
17,07/13/17,55.83,56.30,55.565,56.10,99728,0.22,0.39%,56.10,5.58m,1336
18,07/12/17,56.02,56.31,55.62,55.88,75593,0.20,0.36%,55.88,4.23m,962
19,07/11/17,56.75,56.83,55.18,55.68,148365,-0.96,-1.69%,55.68,8.24m,1756
20,07/10/17,57.45,57.45,56.47,56.64,88846,-0.90,-1.56%,56.64,5.04m,1067
21,07/07/17,56.89,57.68,56.73,57.54,85345,0.76,1.34%,57.54,4.91m,1045
22,07/06/17,57.62,57.62,56.53,56.78,118338,-1.15,-1.99%,56.78,6.72m,1313
23,07/05/17,58.13,58.13,57.50,57.93,143815,-0.26,-0.45%,57.93,8.33m,2419
24,06/30/17,57.72,58.468,57.53,58.06,199192,0.64,1.11%,58.06,11.56m,2226
25,06/29/17,57.10,57.98,56.78,57.42,194562,0.45,0.79%,57.42,11.18m,2184
26,06/28/17,57.01,57.77,56.84,56.97,165270,0.25,0.44%,56.97,9.44m,1985
27,06/27/17,56.41,56.82,56.03,56.72,102887,0.28,0.50%,56.72,5.82m,1736
28,06/26/17,56.72,57.04,56.1947,56.44,102113,-0.11,-0.19%,56.44,5.77m,1397
29,06/23/17,55.56,56.65,55.00,56.55,834275,0.99,1.78%,56.55,47.1m,1217
30,06/22/17,54.90,55.90,54.62,55.56,107218,0.67,1.22%,55.56,5.94m,1381
31,06/21/17,54.97,55.4108,54.541,54.89,197597,-0.04,-0.07%,54.89,10.83m,2195
32,06/20/17,56.80,56.80,54.66,54.93,190893,-2.03,-3.56%,54.93,10.53m,2121
33,06/19/17,56.83,57.40,56.52,56.96,159271,0.37,0.65%,56.96,9.07m,1680
34,06/16/17,56.98,57.07,56.29,56.59,297701,-0.88,-1.53%,56.59,16.87m,1774
35,06/15/17,56.79,57.48,56.53,57.47,131021,0.09,0.16%,57.47,7.48m,1507
36,06/14/17,57.42,57.53,56.93,57.38,128407,0.03,0.05%,57.38,7.36m,1587
37,06/13/17,57.64,57.64,56.69,57.35,157878,-0.19,-0.33%,57.35,9.04m,1782
38,06/12/17,57.21,58.11,57.01,57.54,204229,0.28,0.49%,57.54,11.78m,2448
39,06/09/17,56.09,57.34,55.74,57.26,188102,1.48,2.65%,57.26,10.72m,1938
40,06/08/17,55.88,56.49,55.63,55.78,124470,0.12,0.22%,55.78,6.97m,1940
41,06/07/17,55.60,56.05,55.23,55.66,124790,0.08,0.14%,55.66,6.95m,1810
42,06/06/17,55.52,55.99,55.22,55.58,185308,-0.06,-0.11%,55.58,10.29m,1998
43,06/05/17,55.44,55.93,55.00,55.64,121515,0.27,0.49%,55.64,6.76m,1375
44,06/02/17,55.23,55.85,55.06,55.37,169725,0.31,0.56%,55.37,9.4m,1853
45,06/01/17,54.50,55.0772,54.075,55.06,132036,0.78,1.44%,55.06,7.23m,1410
46,05/31/17,54.19,54.53,53.58,54.28,173224,0.05,0.09%,54.28,9.39m,1735
47,05/30/17,53.88,54.53,53.39,54.23,232749,0.25,0.46%,54.23,12.63m,1837
48,05/26/17,53.55,54.23,53.45,53.98,145214,0.63,1.18%,53.98,7.82m,1470
49,05/25/17,53.42,53.92,53.31,53.35,126326,0.54,1.02%,53.35,6.76m,1521
50,05/24/17,53.25,53.649,52.51,52.81,182722,-0.44,-0.83%,52.81,9.65m,2208
51,05/23/17,52.54,53.52,52.00,53.25,215446,0.08,0.15%,53.25,11.43m,2622
52,05/22/17,52.80,53.8263,52.725,53.17,157404,0.51,0.97%,53.17,8.39m,2053
53,05/19/17,52.18,52.86,51.56,52.66,313408,0.64,1.23%,52.66,16.42m,3231
