,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,32.50,32.77,31.725,32.61,4742316,-0.935,-2.79%,32.61,152.91m,31291
2,08/03/17,31.90,33.77,31.03,33.545,12056300,-3.615,-9.73%,33.545,394.36m,69178
3,08/02/17,37.05,37.56,37.00,37.16,3068072,0.16,0.43%,37.16,114.09m,22183
4,08/01/17,36.94,37.08,36.50,37.00,1661067,0.22,0.60%,37.00,61.37m,13252
5,07/31/17,36.67,37.17,36.56,36.78,1619031,-0.16,-0.43%,36.78,59.57m,13531
6,07/28/17,36.33,36.98,36.09,36.94,1537759,0.41,1.12%,36.94,56.41m,11510
7,07/27/17,36.09,36.745,36.01,36.53,2188884,0.52,1.44%,36.53,79.68m,14684
8,07/26/17,35.85,36.01,35.61,36.01,1617544,0.27,0.76%,36.01,57.99m,9561
9,07/25/17,35.49,36.00,35.42,35.74,1300378,0.29,0.82%,35.74,46.58m,8698
10,07/24/17,35.25,35.50,35.08,35.45,1037828,0.17,0.48%,35.45,36.7m,8915
11,07/21/17,34.97,35.31,34.74,35.28,1329805,0.02,0.06%,35.28,46.73m,11084
12,07/20/17,35.10,35.33,34.91,35.26,919299,0.07,0.20%,35.26,32.38m,8260
13,07/19/17,34.51,35.26,34.38,35.19,2542485,0.69,2.00%,35.19,88.87m,13383
14,07/18/17,34.58,34.68,34.24,34.50,2401702,-0.25,-0.72%,34.50,82.78m,16715
15,07/17/17,35.23,35.47,34.73,34.75,3879641,-0.38,-1.08%,34.75,135.27m,21486
16,07/14/17,35.53,35.59,35.05,35.13,3543944,-0.52,-1.46%,35.13,125.09m,21860
17,07/13/17,35.55,35.94,35.225,35.65,4133767,0.13,0.37%,35.65,147.13m,23648
18,07/12/17,38.23,38.23,34.54,35.52,11423407,-2.48,-6.53%,35.52,408.83m,60511
19,07/11/17,38.10,38.29,37.97,38.00,1018039,-0.11,-0.29%,38.00,38.74m,8216
20,07/10/17,38.17,38.45,37.855,38.11,1385624,-0.04,-0.10%,38.11,52.72m,11844
