,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,6.85,6.96,6.56,6.74,15588,-0.06,-0.88%,6.74,106.27k,114
2,08/03/17,6.712,6.94,6.712,6.80,4078,-0.04,-0.58%,6.80,27.77k,77
3,08/02/17,6.7851,7.0699,6.77,6.84,11670,-0.06,-0.87%,6.84,80.07k,65
4,08/01/17,6.78,6.92,6.56,6.90,43011,0.18,2.68%,6.90,291.58k,315
5,07/31/17,6.8203,6.9698,6.71,6.72,14266,-0.10,-1.47%,6.72,97.64k,102
6,07/28/17,6.7332,7.05,6.661,6.82,10680,-0.18,-2.57%,6.82,72.94k,54
7,07/27/17,7.04,7.09,7.00,7.00,16989,-0.01,-0.14%,7.00,119.21k,79
8,07/26/17,6.905,7.06,6.905,7.01,8093,0.01,0.14%,7.01,56.66k,52
9,07/25/17,6.63,7.08,6.63,7.00,7825,-0.02,-0.28%,7.00,54.72k,55
10,07/24/17,7.05,7.08,6.97,7.02,5627,0.0099,0.14%,7.02,39.7k,62
11,07/21/17,6.73,7.05,6.64,7.0101,35429,0.1301,1.89%,7.0101,244.85k,231
12,07/20/17,6.90,6.90,6.74,6.88,5885,-0.03,-0.43%,6.88,40.47k,58
13,07/19/17,6.99,6.99,6.90,6.91,6946,-0.08,-1.14%,6.91,48.01k,68
14,07/18/17,6.90,6.99,6.89,6.99,8609,0.0599,0.86%,6.99,59.69k,58
15,07/17/17,7.03,7.049,6.92,6.9301,10091,-0.0899,-1.28%,6.9301,70.66k,59
16,07/14/17,6.92,7.08,6.92,7.02,7008,0.03,0.43%,7.02,49.35k,47
17,07/13/17,6.92,7.07,6.91,6.99,6078,-0.03,-0.43%,6.99,42.49k,61
18,07/12/17,6.99,7.08,6.90,7.02,11361,0.00,0.00%,7.02,79.7k,92
19,07/11/17,7.25,7.49,7.02,7.02,10251,0.12,1.74%,7.02,73.66k,122
20,07/10/17,7.07,7.22,6.87,6.90,45301,-0.15,-2.13%,6.90,318.76k,239
21,07/07/17,6.98,7.08,6.94,7.05,12290,0.05,0.71%,7.05,86.51k,97
22,07/06/17,6.85,7.05,6.85,7.00,10927,0.09,1.30%,7.00,76.33k,144
23,07/05/17,6.908,7.05,6.631,6.91,30712,-0.02,-0.29%,6.91,212.87k,225
24,06/30/17,7.07,7.08,7.00,7.00,22816,0.07,1.01%,7.00,160.95k,160
25,06/29/17,7.05,7.08,6.93,6.93,17713,0.01,0.14%,6.93,124.09k,84
26,06/28/17,6.95,7.08,6.92,6.92,25518,0.02,0.29%,6.92,179.47k,130
27,06/27/17,6.90,6.9001,6.88,6.90,7103,0.00,0.00%,6.90,49.01k,37
28,06/26/17,6.964,7.04,6.90,6.90,7251,0.00,0.00%,6.90,50.59k,38
29,06/23/17,7.01,7.08,6.86,6.90,27189,-0.14,-1.99%,6.90,188.55k,118
30,06/22/17,6.97,7.08,6.9688,7.04,14098,0.09,1.29%,7.04,99.7k,68
31,06/21/17,6.9205,7.03,6.90,6.95,4835,0.03,0.43%,6.95,33.61k,75
32,06/20/17,6.86,6.92,6.86,6.92,2604,0.02,0.29%,6.92,17.98k,65
33,06/19/17,6.92,7.04,6.90,6.90,1911,-0.06,-0.86%,6.90,13.24k,20
