,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,13.50,13.70,13.00,13.175,404374,-0.325,-2.41%,13.175,5.31m,3089
2,08/03/17,14.95,14.975,13.075,13.50,911721,-1.50,-10.00%,13.50,12.57m,6023
3,08/02/17,14.45,15.00,14.20,15.00,467972,0.70,4.90%,15.00,6.91m,3707
4,08/01/17,14.20,14.45,13.55,14.30,445688,0.25,1.78%,14.30,6.29m,3610
5,07/31/17,14.40,15.00,14.05,14.05,498734,-0.15,-1.06%,14.05,7.21m,3248
6,07/28/17,13.85,14.20,13.65,14.20,188988,0.30,2.16%,14.20,2.65m,1569
7,07/27/17,14.25,14.45,13.90,13.90,416736,-0.35,-2.46%,13.90,5.89m,3169
8,07/26/17,14.35,14.475,14.20,14.25,210245,-0.10,-0.70%,14.25,3.01m,1756
9,07/25/17,14.45,14.575,14.15,14.35,458763,-0.05,-0.35%,14.35,6.61m,3082
10,07/24/17,14.50,14.60,14.10,14.40,326567,-0.10,-0.69%,14.40,4.68m,2549
11,07/21/17,14.00,14.50,13.85,14.50,347661,0.65,4.69%,14.50,4.98m,2258
12,07/20/17,13.70,14.05,13.65,13.85,480174,0.10,0.73%,13.85,6.62m,2278
13,07/19/17,13.75,13.90,13.50,13.75,392315,0.05,0.36%,13.75,5.38m,2185
14,07/18/17,13.80,13.925,13.575,13.70,492185,-0.20,-1.44%,13.70,6.76m,2604
15,07/17/17,13.80,14.075,13.65,13.90,357161,0.05,0.36%,13.90,4.96m,2734
16,07/14/17,13.75,13.925,13.5412,13.85,235629,0.15,1.09%,13.85,3.25m,1812
17,07/13/17,13.50,13.875,13.05,13.70,306577,0.25,1.86%,13.70,4.14m,2800
18,07/12/17,13.20,13.525,13.20,13.45,332962,0.35,2.67%,13.45,4.46m,2830
19,07/11/17,12.65,13.15,12.65,13.10,448171,0.35,2.75%,13.10,5.84m,2984
20,07/10/17,12.75,12.80,12.45,12.75,291628,-0.05,-0.39%,12.75,3.7m,2238
21,07/07/17,12.85,13.00,12.75,12.80,220963,0.05,0.39%,12.80,2.84m,1986
22,07/06/17,12.95,13.00,12.60,12.75,410800,-0.30,-2.30%,12.75,5.25m,3219
23,07/05/17,12.35,13.15,12.35,13.05,492827,0.65,5.24%,13.05,6.32m,3906
24,06/30/17,12.50,12.75,12.00,12.10,587047,-0.45,-3.59%,12.10,7.17m,3979
25,06/29/17,13.10,13.15,12.45,12.55,759132,-0.65,-4.92%,12.55,9.58m,5138
26,06/28/17,13.40,13.525,12.95,13.20,837928,-0.15,-1.12%,13.20,11.08m,4499
27,06/27/17,13.90,13.95,13.30,13.35,602943,-0.55,-3.96%,13.35,8.19m,4227
28,06/26/17,14.45,14.60,13.85,13.90,519471,-0.55,-3.81%,13.90,7.3m,3535
29,06/23/17,14.40,14.65,14.20,14.45,1187043,0.00,0.00%,14.45,17.15m,4008
30,06/22/17,14.35,14.65,14.20,14.45,533153,0.20,1.40%,14.45,7.68m,3307
31,06/21/17,14.00,14.25,13.75,14.25,634558,0.25,1.79%,14.25,8.92m,4247
32,06/20/17,14.10,14.60,13.95,14.00,364257,-0.05,-0.36%,14.00,5.19m,2983
