,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,33.20,33.22,33.0761,33.18,15699,0.09,0.27%,33.18,521.16k,243
2,08/03/17,33.20,33.20,33.0739,33.09,3943,-0.11,-0.33%,33.09,130.69k,62
3,08/02/17,33.50,33.5093,33.13,33.20,13009,-0.38,-1.13%,33.20,431.99k,72
4,08/01/17,33.61,33.64,33.4377,33.58,14241,0.01,0.03%,33.58,478.16k,73
5,07/31/17,33.68,33.68,33.46,33.57,7986,0.015,0.04%,33.57,268.31k,48
6,07/28/17,33.66,33.7226,33.45,33.555,4585,-0.076,-0.23%,33.555,153.76k,47
7,07/27/17,33.68,33.8199,33.60,33.631,18593,-0.049,-0.15%,33.631,626.16k,89
8,07/26/17,33.95,33.95,33.68,33.68,138900,-0.35,-1.03%,33.68,4.7m,349
9,07/25/17,33.85,34.05,33.75,34.03,13705,0.4201,1.25%,34.03,465.59k,91
10,07/24/17,33.58,33.6099,33.4821,33.6099,14053,-0.020085,-0.06%,33.6099,470.94k,86
11,07/21/17,33.81,33.81,33.6124,33.68,17889,-0.099852,-0.30%,33.63,602.6k,44
12,07/20/17,33.76,33.8739,33.7236,33.78,21599,0.089867,0.27%,33.7298,730.11k,97
13,07/19/17,33.37,33.72,33.37,33.69,14327,0.34948,1.05%,33.64,479.85k,76
14,07/18/17,33.50,33.50,33.214,33.34,119388,-0.128509,-0.38%,33.2905,3.98m,280
15,07/17/17,33.30,33.608,33.30,33.4687,14156,0.083576,0.25%,33.419,473.94k,55
16,07/14/17,33.33,33.48,33.29,33.385,13238,0.146781,0.44%,33.3354,441.55k,97
17,07/13/17,33.23,33.31,33.15,33.238,7629,-0.101848,-0.31%,33.1886,253.66k,48
18,07/12/17,33.41,33.593,33.28,33.34,10659,0.179733,0.54%,33.2905,356.6k,57
19,07/11/17,33.10,33.165,32.9399,33.16,8190,-0.029956,-0.09%,33.1108,270.98k,52
20,07/10/17,33.21,33.41,33.08,33.19,22605,-0.169747,-0.51%,33.1407,753.31k,58
21,07/07/17,33.11,33.36,33.00,33.36,8250,0.319924,0.97%,33.3105,274.18k,63
22,07/06/17,33.06,33.246,33.0396,33.0396,20931,-0.184925,-0.56%,32.9905,694.59k,116
23,07/05/17,33.60,33.60,33.14,33.2248,4678,-0.285675,-0.85%,33.1755,155.63k,60
24,06/30/17,33.40,33.40,33.22,33.2505,6102,-0.019471,-0.06%,33.2011,203.15k,71
25,06/29/17,33.51,33.51,33.0462,33.27,56360,-0.185924,-0.56%,33.2206,1.87m,218
26,06/28/17,33.4599,33.575,33.39,33.4562,7196,0.351578,1.06%,33.4065,240.81k,53
27,06/27/17,33.23,33.273,33.0636,33.1041,7541,-0.075788,-0.23%,33.0549,250.17k,51
28,06/26/17,32.93,33.1832,32.93,33.18,10334,0.187526,0.57%,33.1307,340.92k,55
29,06/23/17,33.04,33.13,32.98,33.0922,7996,0.165054,0.50%,32.9432,264.57k,53
30,06/22/17,32.97,33.0286,32.8334,32.9264,9777,-0.023494,-0.07%,32.7781,322.43k,45
31,06/21/17,33.22,33.2426,32.95,32.95,5924,-0.272965,-0.83%,32.8016,195.9k,38
32,06/20/17,33.61,33.61,33.18,33.2242,7877,-0.343248,-1.03%,33.0746,262.62k,46
33,06/19/17,33.68,33.68,33.4805,33.569,8181,0.0886,0.27%,33.4179,274.63k,45
34,06/16/17,33.48,33.48,33.32,33.48,5131,-0.109506,-0.33%,33.3293,171.31k,37
35,06/15/17,33.41,33.71,33.41,33.59,10495,-0.05973,-0.18%,33.4388,352.17k,75
36,06/14/17,33.99,33.99,33.63,33.65,8305,-0.215127,-0.64%,33.4985,280.2k,63
37,06/13/17,33.83,33.9865,33.799,33.8661,6573,0.137479,0.41%,33.7136,222.7k,38
38,06/12/17,33.9964,34.11,33.728,33.728,9041,0.057739,0.17%,33.5761,306.42k,73
39,06/09/17,33.38,33.8136,33.35,33.67,23206,0.343745,1.04%,33.5184,777.17k,84
40,06/08/17,32.97,33.46,32.953,33.3247,25764,0.363058,1.11%,33.1747,857.49k,65
41,06/07/17,33.0331,33.17,32.95,32.96,8031,-0.11946,-0.36%,32.8116,265.47k,51
42,06/06/17,33.11,33.1999,32.867,33.08,5612,-0.105523,-0.32%,32.9311,185.13k,58
43,06/05/17,33.41,33.41,33.186,33.186,9822,-0.213036,-0.64%,33.0366,327.02k,69
44,06/02/17,33.34,33.6496,33.34,33.40,6275,0.276947,0.84%,33.2496,209.96k,44
45,06/01/17,32.74,33.14,32.74,33.1218,8297,0.505813,1.56%,32.9727,273.76k,64
46,05/31/17,32.63,32.643,32.21,32.6137,8732,-0.026182,-0.08%,32.4669,283.42k,83
47,05/30/17,32.67,32.68,32.53,32.64,3634,-0.13937,-0.43%,32.493,118.59k,44
48,05/26/17,32.76,32.81,32.61,32.78,5207,-0.049775,-0.15%,32.6324,170.39k,43
49,05/25/17,32.95,32.95,32.7221,32.83,4777,0.049775,0.15%,32.6822,156.73k,51
50,05/24/17,32.87,32.9508,32.64,32.78,5811,0.00,0.00%,32.6324,190.49k,52
51,05/23/17,32.88,32.8899,32.674,32.78,9879,-0.05973,-0.18%,32.6324,324.22k,79
52,05/22/17,32.66,32.87,32.66,32.84,20250,0.189145,0.58%,32.6921,663.68k,79
53,05/19/17,32.60,32.78,32.60,32.68,10822,0.159133,0.49%,32.503,353.9k,72
54,05/18/17,32.52,32.5689,32.38,32.52,14580,-0.099458,-0.31%,32.3439,473.79k,74
55,05/17/17,32.76,32.76,32.44,32.62,19856,-0.556768,-1.69%,32.4433,647.95k,120
56,05/16/17,33.30,33.30,33.06,33.1798,18757,-0.119549,-0.36%,33.0001,621.91k,62
57,05/15/17,33.39,33.4638,33.2663,33.30,9660,0.169079,0.51%,33.1196,322.58k,58
58,05/12/17,33.42,33.42,33.10,33.13,15851,-0.348103,-1.05%,32.9506,526.35k,89
59,05/11/17,33.53,33.70,33.24,33.48,46282,-0.248647,-0.74%,33.2987,1.55m,254
60,05/10/17,33.49,33.7766,33.49,33.73,16660,0.11935,0.36%,33.5473,560.78k,83
61,05/09/17,33.48,33.7062,33.48,33.61,61803,0.139241,0.42%,33.428,2.08m,247
62,05/08/17,33.56,33.5899,33.401,33.47,5506,-0.069619,-0.21%,33.2887,184.35k,53
63,05/05/17,33.3741,33.54,33.27,33.54,19228,0.158735,0.48%,33.3583,642.32k,105
64,05/04/17,33.48,33.496,33.19,33.3804,47700,-0.047542,-0.14%,33.1996,1.59m,162
65,05/03/17,33.63,33.63,33.41,33.4282,16229,-0.210651,-0.63%,33.2471,544.25k,50
66,05/02/17,33.52,33.684,33.52,33.64,16713,0.057088,0.17%,33.4578,561.34k,109
67,05/01/17,33.74,33.74,33.4624,33.5826,7310,0.072206,0.22%,33.4007,245.45k,54
68,04/28/17,33.95,33.95,33.51,33.51,10098,-0.527129,-1.56%,33.3285,340.76k,151
69,04/27/17,34.19,34.2093,33.901,34.04,22861,-0.079566,-0.23%,33.8556,777.2k,121
70,04/26/17,33.84,34.2552,33.84,34.12,8472,0.268636,0.80%,33.9352,289.11k,63
71,04/25/17,33.8796,33.94,33.7794,33.8499,9909,0.329706,0.99%,33.6666,335.58k,64
72,04/24/17,33.58,33.63,33.4855,33.5184,8783,0.346526,1.05%,33.3369,294.55k,45
73,04/21/17,33.06,33.2599,33.03,33.19,13344,0.029819,0.09%,32.9903,442.03k,69
74,04/20/17,32.95,33.2307,32.904,33.16,9049,0.438745,1.35%,32.9605,299k,47
75,04/19/17,32.8463,32.9056,32.6974,32.7186,16859,0.098007,0.30%,32.5218,552.76k,115
76,04/18/17,32.39,32.6299,32.3601,32.62,10330,0.159036,0.49%,32.4238,334.95k,61
77,04/17/17,32.29,32.46,32.1813,32.46,8897,0.347895,1.09%,32.2647,287.16k,68
78,04/13/17,32.40,32.43,32.0901,32.11,17881,-0.427412,-1.32%,31.9168,576.23k,72
79,04/12/17,32.92,32.92,32.49,32.54,11634,-0.407533,-1.24%,32.3442,379.17k,98
80,04/11/17,32.5399,32.95,32.5399,32.95,22896,0.278315,0.86%,32.7518,751.47k,43
81,04/10/17,32.59,32.6885,32.4131,32.67,13233,0.149097,0.46%,32.4735,431.18k,71
82,04/07/17,32.4273,32.56,32.3524,32.52,15998,0.069579,0.22%,32.3244,519.65k,58
83,04/06/17,32.19,32.5498,32.19,32.45,12342,0.186073,0.58%,32.2548,399.9k,61
84,04/05/17,32.77,32.82,32.2196,32.2628,4856,-0.142337,-0.44%,32.0687,158.34k,45
85,04/04/17,32.44,32.5999,32.36,32.406,11195,-0.127629,-0.39%,32.211,363.66k,66
86,04/03/17,33.07,33.07,32.5204,32.5344,9808,-0.532377,-1.62%,32.3387,321.32k,81
87,03/31/17,32.98,33.1599,32.9176,33.07,5106,0.149097,0.46%,32.871,168.88k,50
88,03/30/17,32.67,32.96,32.67,32.92,6985,0.283286,0.87%,32.722,229.42k,53
89,03/29/17,32.52,32.668,32.50,32.635,19594,0.134187,0.42%,32.4387,637.76k,67
90,03/28/17,32.03,32.5517,32.03,32.50,10909,0.248497,0.78%,32.3045,353.15k,89
91,03/27/17,31.99,32.2664,31.89,32.25,12386,-0.004965,-0.02%,32.056,397.78k,90
92,03/24/17,32.51,32.628,32.296,32.33,18100,-0.228085,-0.71%,32.0609,588.51k,78
93,03/23/17,32.2523,32.7199,32.2523,32.56,8773,0.238002,0.74%,32.289,286.18k,57
94,03/22/17,32.39,32.4177,32.07,32.32,22189,-0.079334,-0.25%,32.051,714.05k,168
95,03/21/17,33.13,33.13,32.3714,32.40,57289,-0.694175,-2.11%,32.1304,1.86m,149
96,03/20/17,33.46,33.46,33.06,33.10,10992,-0.30742,-0.93%,32.8245,366.33k,80
97,03/17/17,33.37,33.4491,33.1397,33.41,15965,0.228086,0.69%,33.132,531.69k,72
98,03/16/17,33.35,33.35,33.1173,33.18,14218,-0.02975,-0.09%,32.9039,472.48k,72
99,03/15/17,32.90,33.21,32.90,33.21,6157,0.48592,1.50%,32.9336,203.15k,46
100,03/14/17,32.5654,32.771,32.4601,32.72,14300,-0.001485,-0.00%,32.4477,466.33k,88
101,03/13/17,32.7844,32.80,32.6785,32.7215,19716,-0.018346,-0.06%,32.4492,645.04k,75
102,03/10/17,32.69,32.8492,32.5588,32.74,14085,0.238002,0.74%,32.4675,460.38k,75
103,03/09/17,32.67,32.8242,32.50,32.50,8617,-0.257837,-0.79%,32.2295,281.8k,77
104,03/08/17,32.89,33.015,32.76,32.76,66106,-0.069415,-0.21%,32.4874,2.18m,106
105,03/07/17,33.00,33.0599,32.83,32.83,17184,-0.327256,-1.00%,32.5568,566.42k,121
106,03/06/17,33.25,33.25,33.06,33.16,15435,-0.247919,-0.75%,32.884,511.53k,85
107,03/03/17,33.59,33.59,33.2507,33.41,21146,-0.060492,-0.18%,33.132,706.02k,89
108,03/02/17,33.92,33.92,33.471,33.471,12916,-0.39568,-1.18%,33.1924,434.89k,84
109,03/01/17,33.72,33.9292,33.72,33.87,20152,0.505755,1.53%,33.5881,682.01k,86
110,02/28/17,33.86,33.86,33.2749,33.36,17580,-0.545422,-1.62%,33.0824,588.54k,84
111,02/27/17,33.73,33.9609,33.64,33.91,14442,0.212715,0.64%,33.6278,488.62k,90
112,02/24/17,33.35,33.7466,33.35,33.6955,9104,-0.004462,-0.01%,33.4151,305.78k,50
113,02/23/17,34.18,34.18,33.51,33.70,11610,-0.320313,-0.95%,33.4195,390.99k,57
114,02/22/17,34.06,34.06,33.89,34.023,12156,0.002975,0.01%,33.7399,413.22k,46
115,02/21/17,33.78,34.06,33.67,34.02,65174,0.331716,0.99%,33.7369,2.21m,175
116,02/17/17,33.7224,33.7863,33.6287,33.6855,5533,-0.13458,-0.40%,33.4052,186.42k,47
117,02/16/17,34.04,34.04,33.6897,33.8362,20697,-0.122717,-0.36%,33.5397,699.39k,92
118,02/15/17,33.79,34.0077,33.746,33.96,30675,0.114985,0.34%,33.6625,1.04m,106
